Mth,Year,Gaps,Good,Minimum,Maximum,Mean,StDev
1,1897,218,526,0.12,1.04,0.542,0.196
2,1897,0,672,0.06,1.1,0.524,0.19
3,1897,0,744,0.12,1.01,0.557,0.171
4,1897,0,720,0.3,1.07,0.655,0.161
5,1897,0,744,0.24,1.28,0.648,0.198
6,1897,0,720,0.18,1.58,0.729,0.215
7,1897,22,722,0.3,1.37,0.641,0.215
8,1897,0,744,0.06,0.91,0.518,0.154
9,1897,0,720,0.06,1.01,0.547,0.174
10,1897,0,744,0.03,0.85,0.465,0.16
11,1897,0,720,-0.06,0.98,0.499,0.198
12,1897,0,744,0.03,1.01,0.498,0.196
1,1898,0,744,0.03,1.13,0.527,0.218
2,1898,1,671,0.18,1.16,0.664,0.19
3,1898,742,2,0.37,0.43,0.4,0.03
4,1898,0,720,0.09,1.22,0.62,0.202
5,1898,0,744,0.43,1.34,0.827,0.194
6,1898,0,720,0.34,1.71,0.781,0.221
7,1898,0,744,0.24,1.65,0.736,0.232
8,1898,0,744,0.15,1.19,0.622,0.188
9,1898,0,720,0.27,1.22,0.569,0.156
10,1898,0,744,0.24,1.07,0.628,0.167
11,1898,0,720,0.12,1.01,0.534,0.185
12,1898,0,744,0.09,0.98,0.541,0.192
1,1899,0,744,0.09,1.1,0.585,0.185
2,1899,0,672,0.21,1.13,0.646,0.172
3,1899,0,744,0.12,1.07,0.704,0.167
4,1899,0,720,0.27,1.1,0.732,0.188
5,1899,0,744,0.24,1.16,0.638,0.189
6,1899,0,720,0.24,1.37,0.705,0.207
7,1899,0,744,0.24,1.4,0.695,0.199
8,1899,0,744,0.12,1.22,0.599,0.223
9,1899,1,719,0.12,0.94,0.414,0.173
10,1899,744,0,,,,
11,1899,720,0,,,,
12,1899,744,0,,,,
1,1900,1,743,0,1.1,0.519,0.195
2,1900,0,672,0.09,1.04,0.538,0.173
3,1900,0,744,0.18,0.88,0.526,0.142
4,1900,1,719,0.3,1.16,0.686,0.17
5,1900,744,0,,,,
6,1900,2,718,0.27,1.31,0.803,0.202
7,1900,1,743,0.3,1.34,0.714,0.189
8,1900,744,0,,,,
9,1900,1,719,0.18,1.16,0.56,0.17
10,1900,0,744,0.24,1.04,0.611,0.147
11,1900,1,719,0.21,1.1,0.546,0.17
12,1900,673,71,0.15,0.82,0.55,0.178
1,1901,42,702,0.09,0.94,0.478,0.19
2,1901,16,656,0.06,0.98,0.516,0.171
3,1901,0,744,0.21,1.19,0.607,0.153
4,1901,17,703,0.34,1.04,0.677,0.147
5,1901,24,720,0.37,1.43,0.745,0.209
6,1901,29,691,0.24,1.37,0.777,0.211
7,1901,0,744,0.18,1.34,0.714,0.22
8,1901,0,744,0.3,1.19,0.639,0.147
9,1901,26,694,0.27,0.88,0.558,0.135
10,1901,29,715,0.09,1.16,0.528,0.18
11,1901,58,662,0.15,0.98,0.558,0.158
12,1901,75,669,0.12,1.07,0.599,0.173
1,1902,744,0,,,,
2,1902,672,0,,,,
3,1902,744,0,,,,
4,1902,720,0,,,,
5,1902,744,0,,,,
6,1902,720,0,,,,
7,1902,744,0,,,,
8,1902,744,0,,,,
9,1902,720,0,,,,
10,1902,744,0,,,,
11,1902,720,0,,,,
12,1902,744,0,,,,
1,1903,1,743,0.09,0.91,0.515,0.174
2,1903,0,672,0.09,0.91,0.558,0.174
3,1903,0,744,0.06,0.79,0.457,0.154
4,1903,0,720,0.24,1.01,0.567,0.153
5,1903,0,744,0.27,0.91,0.617,0.141
6,1903,0,720,0.15,1.1,0.672,0.169
7,1903,0,744,0.24,1.19,0.631,0.179
8,1903,0,744,0.24,1.19,0.663,0.18
9,1903,0,720,0.34,1.16,0.697,0.165
10,1903,0,744,0.27,1.04,0.64,0.137
11,1903,0,720,0.34,1.04,0.614,0.154
12,1903,0,744,0.34,1.16,0.69,0.18
1,1904,0,744,0.18,1.16,0.656,0.196
2,1904,0,696,0.27,1.22,0.677,0.181
3,1904,0,744,0.27,0.76,0.469,0.109
