"","2013","2012","2011","2010","2009","2008","2007","2006","2005","2004","2003","2002","2001","2000","1999","1998","1997","1996","1995","1994","1993","1992","1991","1990","1989","1988","1987","1986","1985","1984","1983","1982","1981","1980","1979","1978","1977","1976","1975","1974","1973","1972","1971","1970","1969","1968","1967","1966","1965","1964","1963","1962","1961","1960","1959","1958","1957","1956","1955","1954","1953","1952","1951","1950","1949","1948","1947","1946","1945","1944","1943","1942","1941","1940","1939","1938","1937","1936","1935","1934","1933","1932","1931"
"Jan",20.42,19.87,20,19.52,19.77,19.38,19.52,18.63,19.18,19,18.82,19,19.35,19.57,18.93,19.38,19.81,18.83,19.15,18.18,18.98,19.24,19.07,19.38,18.75,18.74,18.07,18.7,19.56,19.54,19.93,18.51,19.37,19.39,19.8,19.74,19.37,19.08,18.88,19.79,19.9,18.93,19.08,18.94,19.5,19.5,19.87,19.97,19.52,19.7,19.19,19.22,20.1,18.27,18.59,19.69,19.29,18.97,19.01,18.65,18.31,19.22,18.61,19.54,19.4,18.93,18.69,19.61,19.31,18.88,19.05,19.14,19.47,19.03,19.14,19.04,18.58,18.6,18.65,19.29,18.2,18.87,18.74
"Feb",20.57,20.35,20.6,20.05,19.89,20.43,19.76,19.02,19.4,19.87,19.55,19.52,19.86,20.74,19.69,19.42,20.3,20.03,19.64,19.06,19.63,20.17,19.93,19.88,20.05,19.88,18.97,19.09,20.7,20.23,20.22,19.28,19.17,19.53,20.15,19.96,20.02,20.25,20.1,20.07,20.08,19.98,19.93,19.69,19.92,19.86,19.98,20.07,19.92,19.41,19.58,20.06,20.89,18.71,18.88,20.01,19.5,19.93,19.58,19.19,19.39,19.9,19.61,20.25,20.02,19.87,19.27,19.72,19.52,19.49,19.33,19.72,19.9,19.32,19.63,19.88,19.38,19.44,19.24,20.27,19.66,20.1,19.22
"Mar",20.56,20.65,20.45,19.92,19.74,20.33,19.96,19.41,19.33,19.4,19.62,19.18,19.33,20.43,20.01,19.54,20.18,19.9,19.55,19.42,18.96,20.15,19.73,20.13,20.31,19.99,19.14,19.49,20.37,19.7,19.83,19.03,19.04,19.62,19.91,20.14,19.19,20.5,19.41,20.03,19.52,19.7,19.8,19.37,19.57,19.16,20.23,20.07,20.03,19.45,20.25,19.81,20.83,18.6,19.47,19.72,19.51,19.55,19.47,19.3,19.36,19.72,19.28,20.41,19.42,20.32,18.92,19.68,19.29,18.85,19.26,19.89,19.55,19.32,19.36,19.49,19.36,19.45,19,19.45,19.6,19.55,18.76
"Apr",19.99,19.91,20.27,19.39,19.1,19.52,19.18,18.8,19.05,19.41,19.36,19.29,19.03,19.44,19.99,19.43,19.73,19.66,19.43,19.74,18.55,19.57,19.5,19.39,19.87,19.83,19.23,19.1,19.94,19.66,19.53,18.91,19.07,19.37,19.54,19.98,18.54,19.54,18.82,19.7,18.87,19.24,19.44,19.15,19.35,18.35,19.47,19.87,19.57,18.73,19.96,19.93,19.63,18.56,18.6,18.95,19.2,18.6,19,18.55,19.36,19.37,19.24,19.69,19.47,19.61,19.58,19.6,19.39,18.98,19.04,18.8,18.87,18.92,19.12,19.27,19.33,18.8,18.68,18.94,18.68,19.11,18.52
"May",19.2,19.54,19.26,18.56,18.85,19.3,18.63,18.69,18.54,19.15,18.43,18.76,18.21,19.07,19.25,18.8,19.06,19.7,18.78,19.39,17.92,18.8,19.28,19,19.05,18.47,18.08,18.25,19.46,18.66,18.83,18.21,18.49,18.42,18.19,19.06,17.68,19.49,18.13,18.94,18.12,18.69,18.86,18.22,18.81,17.22,18.9,18.86,19.55,18.65,19.23,19.04,19.33,18.11,18.53,18.44,18.1,17.71,18.44,17.41,18.34,18.52,18.39,19.26,18.15,19.42,18.06,17.73,18.72,18.06,18.4,19.66,18.12,18.47,18.61,18.97,18.58,18.05,18.11,18.3,18.08,19.09,17.87
"Jun",17.83,18.61,18.79,17.93,18.18,18.65,18.11,17.87,18.05,17.66,17.62,17.91,17.9,18.25,18.66,18.09,18.33,18.53,17.78,17.7,17.64,17.73,18.61,18.18,18.93,18.38,18.19,18.06,18.75,18.12,17.95,17.67,17.18,18.21,17.69,18.38,17.11,18.3,17.87,17.82,17.66,18.01,17.7,17.14,17.52,16.83,18.68,17.9,18.35,17.75,18.48,18.38,18.4,17.35,17.83,17.4,17.9,17.29,17.57,16.91,17.97,17.91,17.52,18.5,17.91,18.19,17.13,18.14,18.12,17.68,17.65,18.23,17.59,17.72,18.26,17.76,17.4,16.8,17.13,17.49,17.42,17.57,16.62
"Jul",17.45,17.67,17.76,17.18,16.94,17.9,16.85,16.84,17.13,17.72,16.53,17.04,17.56,17.21,17.5,17.16,17.25,17.95,17.22,17.14,16.62,17.11,17.84,17.21,17.35,17.18,17.49,17.09,18.18,17.54,16.8,16.58,16.22,16.99,17.14,16.65,16.95,17.2,16.88,16.72,16.76,16.12,17.36,16.83,17.47,16.92,17.32,16.98,17.93,17.14,17.49,17.53,16.92,17.02,17.49,16.16,17.08,16.36,17.13,16.88,16.57,17.19,16.77,16.91,16.86,16.61,17,16.4,17,16.63,16.91,17.09,16.89,16.81,16.88,16.5,16.64,16.32,16.27,16.26,16.08,16.57,16.02
"Aug",16.35,16.91,16.74,16.83,16.19,16.45,15.9,16.66,16.23,16.04,16.1,16.28,17.23,16.46,16.24,16.37,16.6,16.94,17.18,16.79,16.13,16.37,16.92,15.92,16.8,16.44,16.65,15.91,17.18,16.63,16.16,15.78,15.68,16.08,16.5,16.11,16.39,16.44,16.23,16.05,15.96,15.8,16.2,15.97,16.75,15.76,16.63,16.44,17.14,16.52,16.77,16.93,16.15,16.1,16.64,15.79,16.56,15.16,16.02,16.08,16.05,16.34,15.91,16.48,16.84,16.44,15.72,16.19,16.15,16.13,16.43,16.73,15.98,16.1,15.84,15.7,15.61,15.69,15.15,16.03,15.79,15.41,14.67
"Sep",16.44,16.25,16.3,16.26,15.7,16.25,16.23,16.23,15.98,16.24,15.61,15.83,15.93,16.14,16.49,16.76,16.38,16.96,15.87,16.66,16.05,15.56,16.57,15.81,16.5,16.24,16.94,15.98,16.5,16.59,15.9,15.82,15.62,16.16,16.03,15.97,16.44,16.52,16.13,16.6,15.45,15.48,16.26,15.64,16.57,15.6,15.87,16.37,16.2,16.23,16.57,16.62,16.17,16.04,16.56,16.3,15.94,15.63,15.8,16.17,16.18,15.82,15.97,15.98,16.4,16.47,15.89,15.45,15.92,15.54,16.16,16.46,16.06,16.34,15.58,15.56,16.43,15.88,15.63,15.48,15.75,15.67,15.77
"Oct",16.68,16.54,17.15,16.82,15.81,16.59,16.42,16.18,15.98,16.29,16.2,15.69,15.75,16.29,16.47,16.11,16.92,16.86,16.4,16.44,16.02,15.84,17.04,15.98,16.24,16.6,16.27,15.9,16.36,17.04,16.21,16.24,16.56,15.67,16.52,16.57,17.09,16.84,16.76,16.28,16.26,16.3,15.87,16.27,16.47,16.57,16.66,16.41,16.8,16.25,16.85,16.45,16.24,16.37,16.59,15.82,16.3,16.01,16.35,16.91,15.76,16.18,16.19,15.61,16.22,16.59,15.62,15.94,15.83,16.44,16.36,15.89,16.64,16.59,16.42,16.35,15.97,16.33,15.69,15.92,15.91,15.81,15.87
