"","2013","2012","2011","2010","2009","2008","2007","2006","2005","2004","2003","2002","2001","2000","1999","1998","1997","1996","1995","1994","1993","1992","1991","1990","1989","1988","1987","1986","1985","1984","1983","1982","1981","1980","1979","1978","1977","1976","1975","1974","1973","1972","1971","1970","1969","1968","1967","1966","1965","1964","1963","1962","1961","1960","1959","1958","1957","1956","1955","1954","1953","1952","1951","1950","1949","1948","1947","1946","1945","1944","1943","1942","1941","1940","1939","1938","1937","1936","1935","1934","1933","1932","1931"
"Jan",21.72,21.96,21.56,20.71,21.44,21.48,20.86,20.47,20.79,20.39,20.72,20.61,21.1,22.01,20.93,21.53,21.59,21.36,21.41,20.56,20.73,20.72,20.71,20.81,21.12,20.76,19.95,20.88,20.39,21.33,21.53,20.27,20.47,21.04,20.5,21.31,20.46,20.45,20.48,20.8,21.1,20.32,20.57,20.34,20.23,20.02,20.77,20.93,20.63,20.62,20.53,21.31,20.81,19.74,20.49,20.97,20.52,20.72,20.53,20.23,19.53,20.37,20.1,20.97,20.77,20.55,19.97,20.91,21.15,20.85,20.79,20.51,21.16,20.33,20.45,20.38,20.35,19.93,19.94,20.59,20.09,20.53,20.53
"Feb",22.56,22.73,22.74,21.6,21.81,22.53,21.57,20.95,21.2,21.75,21.59,21.32,21.69,22.57,21.67,22.16,21.76,22.47,21.88,20.93,21.11,21.78,21.25,21.83,22.42,22,20.8,21.34,21.69,22.35,21.99,21,20.61,21.4,20.73,21.38,21.21,21.3,21.41,20.89,21.16,21.77,21.23,20.88,20.16,20.49,21.96,21.13,21.1,20.99,21.19,21.92,22.03,20.47,20.92,22.07,20.95,21.17,20.93,20.85,20.52,20.99,20.56,21.75,21.31,21.26,21.13,21.24,21.56,21.25,21.37,20.9,21.49,20.54,21.16,21.4,21.31,20.84,20.55,21.64,21.64,21.69,20.99
"Mar",22,22.79,23,21.6,21.84,22.45,21.95,21.47,21.65,21.89,21.92,21.47,21.59,22.25,21.74,22.51,21.66,22.27,22.07,21.7,21.32,21.89,21.45,22,22.66,22.08,21.48,21.46,22.15,22.08,22.55,20.86,20.84,21.78,20.89,22.06,20.44,21.68,21.43,21.13,21.03,21.63,21.25,21.16,20.41,19.87,21.38,21.21,20.95,20.92,21.58,21.5,22.16,20.45,21.5,21.48,21.08,21.23,20.82,20.81,20.69,21.18,20.34,21.58,21.2,21.79,20.59,21.51,21.63,20.29,21.44,21.41,21.53,20.99,20.96,21.31,21.24,21.33,20.64,21.21,21.54,21.34,20.88
"Apr",21.8,21.93,22.42,21.18,21.15,21.71,21.3,20.67,21.09,21.31,21.28,21.42,21.31,21.8,21.76,22.06,21.26,21.39,21.83,21.57,20.79,21.51,21.27,21.54,21.91,22.34,21.2,20.92,21.41,21.84,22.2,20.39,20.62,20.85,20.36,21.6,20.13,21.11,20.79,20.82,19.93,20.48,20.43,20.43,20.02,19.45,20.63,20.35,20.64,20.24,21.67,21.33,20.59,19.87,20.53,20.52,20.35,20.38,20.31,19.89,20.29,20.62,19.85,21.14,20.99,21.09,20.23,21.29,21.58,20.8,21.09,20.81,20.88,20.54,20.54,20.97,20.83,20.75,20.36,20.41,20.7,20.74,20.69
"May",21.08,20.73,21.57,20.45,20.85,21.18,20.47,20.52,20.69,20.84,21.04,20.39,20.9,20.99,21.5,21.37,20.7,21.05,21.03,21.42,20.33,20.65,20.4,20.44,21.46,21.18,20.25,20.4,20.29,21.08,21.01,19.59,20.54,20.22,19.85,20.63,19.08,20.52,20.16,20.23,18.97,20.13,19.64,18.88,19.39,18.64,20.14,19.59,19.91,19.81,20.74,20.82,19.93,19.03,20.09,20.02,19.84,19.45,19.65,19,19.84,20.1,19.52,20.49,19.79,20.53,19.99,20.16,20.91,20.04,20.4,20.63,19.97,20.32,19.94,20.67,20.02,19.75,19.91,19.45,20.09,19.97,19.55
"Jun",19.84,20.47,20.21,19.83,19.13,20.2,19.65,19.5,19.67,19.48,19.56,19.66,19.78,19.94,20.23,19.9,19.52,20.1,19.09,19.13,19.36,19.42,20.15,19.58,19.93,20.02,19.43,19.27,19.76,19.7,20.09,18.7,18.22,19.26,18.83,19.22,18.14,19.58,19.53,18.61,18.21,18.73,18.39,17.95,18.14,18.04,19.23,18.53,18.65,19.11,18.96,18.95,18.73,18.41,18.98,18.96,18.58,18.17,18.34,17.84,18.47,18.85,18.21,19.27,19.48,19.24,19.11,19.13,19.8,19.61,18.89,19.49,19.04,19.12,19.95,19.57,19.19,18.04,18.55,18.69,18.82,18.76,18.41
"Jul",19.06,19.12,18.95,18.83,18.13,19.17,18.88,18.86,19.05,18.89,18.62,19.18,19.22,19.3,20.12,19.53,18.34,18.3,18.7,19.33,18.44,18.28,18.41,18.08,19.29,18.88,19.17,18.36,18.62,18.94,18.53,17.88,17.22,17.68,18.15,18.07,18.1,18.25,18.12,17.77,17.36,17.3,18.37,17.58,17.98,17.88,17.48,17.78,18.24,17.68,17.75,18.28,17.78,17.56,19.44,18.19,17.91,17.55,17.96,17.39,17.49,18.2,17.73,18.59,18.86,18.1,17.59,17.36,18.97,18.72,18.48,18.54,18.31,18.29,18.34,18.44,18.04,17.52,18.03,17.79,18.18,18.03,17.18
"Aug",18.71,18.5,18.77,18.48,17.53,18.71,18.6,18.36,18.16,18.09,18.42,18.38,18.59,18.59,19,18.68,18.39,18.28,18.56,18.93,17.82,18.24,18.03,18.29,18.7,18.82,18.25,17.86,17.97,18.37,18.65,17.67,16.89,17.51,17.74,17.93,17.46,18.13,17.63,17.05,17.21,17.06,17.01,17.51,17.66,16.96,18.01,17.19,16.93,17.15,17.04,18.02,17.16,17.08,18.65,17.54,16.88,16.46,17.28,16.97,17.53,17.53,17.15,18.02,18.16,17.8,17.23,17.27,18.27,18.27,18.12,18.35,17.42,17.59,17.57,17.61,17.2,17.32,16.87,17.06,17.39,17.38,16.52
"Sep",18.58,17.73,18.26,18.25,17.41,18.38,18.42,17.96,17.89,17.78,17.41,17.97,18.25,18.55,18.34,18.75,18.33,18.46,18.2,18.67,17.61,17.88,18.56,17.97,18.47,18.32,18.57,17.56,18.56,18.29,18.44,17.53,16.91,17.19,16.91,17.63,17.59,17.79,18.01,17.51,17.15,16.63,16.92,17.41,17.84,16.68,17.79,16.86,17.16,16.88,17.85,17.87,17.45,17.08,18.26,17.94,16.9,17.01,17.21,17.37,17.59,16.72,17.21,18.28,18.18,17.58,17.01,17.24,17.75,18.12,17.93,17.93,17.63,18.14,17.36,17.28,17.68,17.04,16.78,17.02,17.49,17.32,17
"Oct",18.24,18.47,18.9,18.78,17.91,18.65,18.62,18.02,17.46,17.99,17.8,17.38,18.14,18.55,18.44,18.14,18.99,18.74,18.6,18.4,17.99,17.52,18.15,18.15,18.31,19.03,18.33,17.41,17.95,18.58,19.14,17.73,17.44,17.37,18.08,18.01,18.09,18.01,18.06,17.33,17.61,17.36,17.1,17.45,17.98,17.08,18.26,17.14,17.96,17.16,17.77,17.96,17.54,18.1,18.04,17.66,17.26,17.32,17.31,17.44,17.7,17.5,17.67,18.06,17.96,17.65,17.19,17.35,17.57,18.38,18.22,18.03,18.21,18.62,18.09,18.46,17.31,17.74,17.16,17.5,17.75,17.56,17.4
