"","Month","X2013","X2012","X2011","X2010","X2009","X2008","X2007","X2006","X2005","X2004","X2003","X2002","X2001","X2000","X1999","X1998","X1997","X1996","X1995","X1994","X1993","X1992","X1991","X1990","X1989","X1988","X1987","X1986","X1985","X1984","X1983","X1982","X1981","X1980","X1979","X1978","X1977","X1976","X1975","X1974","X1973","X1972","X1971","X1970","X1969","X1968","X1967","X1966","X1965","X1964","X1963","X1962","X1961","X1960","X1959","X1958","X1957","X1956","X1955","X1954","X1953","X1952","X1951","X1950","X1949","X1948","X1947","X1946","X1945","X1944","X1943","X1942","X1941","X1940","X1939","X1938","X1937","X1936","X1935","X1934","X1933","X1932","X1931"
"1","Jan",20.75,20.5142857142857,20.3757142857143,19.6828571428571,20.1142857142857,19.9742857142857,19.8785714285714,19.1371428571429,19.5028571428571,19.2185714285714,19.3085714285714,19.3242857142857,19.8614285714286,20.3528571428571,19.5757142857143,20.0014285714286,20.2757142857143,19.5828571428571,19.7485714285714,18.8257142857143,19.5442857142857,19.54,19.2642857142857,19.81,19.5271428571429,19.1385714285714,18.5114285714286,19.4114285714286,19.5914285714286,19.9428571428571,20.2585714285714,19.0371428571429,19.6342857142857,19.8614285714286,19.8371428571429,20.1271428571429,19.5628571428571,19.4728571428571,19.3071428571429,19.9185714285714,20.1214285714286,19.2585714285714,19.4628571428571,19.4,19.5371428571429,19.4171428571429,19.9128571428571,19.9771428571429,19.7085714285714,19.8314285714286,19.5514285714286,19.7671428571429,20.1642857142857,18.5871428571429,19.0557142857143,19.95,19.5,19.4871428571429,19.3442857142857,18.9714285714286,18.5771428571429,19.4657142857143,19.1242857142857,19.7771428571429,19.5928571428571,19.25,18.93,19.8785714285714,19.6928571428571,19.4057142857143,19.3714285714286,19.3971428571429,19.8614285714286,19.2128571428571,19.4785714285714,19.3285714285714,19.03,18.9,18.8971428571429,19.4485714285714,18.67,19.1728571428571,19.1785714285714
"2","Feb",21.1171428571429,20.9871428571429,21.1814285714286,20.3228571428571,20.4185714285714,20.9385714285714,20.1842857142857,19.4628571428571,19.8014285714286,20.2914285714286,20.0528571428571,19.9371428571429,20.3457142857143,21.2,20.3171428571429,20.2171428571429,20.6828571428571,20.7514285714286,20.3,19.4985714285714,19.9771428571429,20.6285714285714,20.0057142857143,20.3785714285714,20.6485714285714,20.2114285714286,19.3157142857143,19.7971428571429,20.6128571428571,20.7928571428571,20.5128571428571,19.68,19.5728571428571,20.1157142857143,20.0185714285714,20.3357142857143,20.2357142857143,20.4128571428571,20.3642857142857,20.1757142857143,20.2528571428571,20.3214285714286,20.2057142857143,19.9671428571429,19.6228571428571,19.8742857142857,20.4214285714286,20.0928571428571,20.0285714285714,19.6171428571429,20.0057142857143,20.5342857142857,21.0985714285714,19.17,19.4,20.6342857142857,19.7642857142857,20.1442857142857,19.8,19.5457142857143,19.54,19.9614285714286,19.77,20.4342857142857,20.1242857142857,20.0371428571429,19.6842857142857,20.0171428571429,19.9285714285714,19.8885714285714,19.76,19.8414285714286,20.1814285714286,19.4471428571429,19.9614285714286,20.17,19.7942857142857,19.6942857142857,19.4685714285714,20.43,20.1242857142857,20.2742857142857,19.63
"3","Mar",20.8428571428571,21.2471428571429,21.1671428571429,20.3485714285714,20.2757142857143,20.9185714285714,20.5171428571429,19.94,19.9285714285714,20.0885714285714,20.2228571428571,19.8214285714286,20.0171428571429,20.9214285714286,20.6457142857143,20.4242857142857,20.52,20.4985714285714,20.2342857142857,19.9728571428571,19.5885714285714,20.5785714285714,19.9428571428571,20.7,20.88,20.3528571428571,19.6585714285714,20.1414285714286,20.7614285714286,20.3814285714286,20.6257142857143,19.4542857142857,19.54,20.2428571428571,20.0214285714286,20.6557142857143,19.4871428571429,20.6942857142857,19.9471428571429,20.2985714285714,19.8714285714286,20.2557142857143,20.2114285714286,19.99,19.6271428571429,19.2228571428571,20.3228571428571,20.0871428571429,20.1328571428571,19.6871428571429,20.7642857142857,20.1728571428571,21.0785714285714,19.0785714285714,20.0485714285714,20.2028571428571,19.8085714285714,20.0457142857143,19.6185714285714,19.6214285714286,19.6028571428571,19.98,19.4057142857143,20.42,19.9028571428571,20.4971428571429,19.31,20.1071428571429,19.7957142857143,19.1228571428571,19.7928571428571,20.3285714285714,20.0142857142857,19.68,19.7414285714286,19.8771428571429,19.7785714285714,19.8828571428571,19.3542857142857,19.8171428571429,20.0185714285714,19.8657142857143,19.3057142857143
"4","Apr",20.41,20.57,20.82,19.8214285714286,19.5485714285714,20.08,19.7042857142857,19.2171428571429,19.5442857142857,19.8328571428571,19.8142857142857,19.7757142857143,19.6342857142857,20.0914285714286,20.5014285714286,20.14,19.9585714285714,19.8771428571429,20.0685714285714,20,19.0314285714286,19.9085714285714,19.8571428571429,20.0614285714286,20.3657142857143,20.48,19.52,19.4442857142857,20.1471428571429,20.1342857142857,20.4328571428571,19.03,19.5971428571429,19.7842857142857,19.4357142857143,20.5214285714286,18.8685714285714,19.8414285714286,19.2542857142857,19.8814285714286,19.0957142857143,19.5457142857143,19.5142857142857,19.4128571428571,19.46,18.2785714285714,19.6328571428571,19.6028571428571,19.6,18.8714285714286,20.3242857142857,20.1471428571429,19.76,18.7728571428571,19.1685714285714,19.3614285714286,19.4571428571429,19.1971428571429,19.2942857142857,18.6471428571429,19.3971428571429,19.4985714285714,19.1671428571429,19.8828571428571,19.72,19.8142857142857,19.4942857142857,19.9042857142857,19.8685714285714,19.3457142857143,19.4828571428571,19.3728571428571,19.3428571428571,19.1757142857143,19.39,19.5757142857143,19.5914285714286,19.2157142857143,19.0371428571429,19.2071428571429,19.1128571428571,19.3928571428571,19.0328571428571
"5","May",19.6071428571429,19.7614285714286,19.8957142857143,19.0742857142857,19.3157142857143,19.7185714285714,18.9471428571429,19.2328571428571,18.9857142857143,19.4414285714286,19.22,19.0142857142857,18.9257142857143,19.5585714285714,20.1557142857143,19.4885714285714,19.4542857142857,19.6571428571429,19.4514285714286,19.8157142857143,18.6242857142857,19.11,19.25,19.3471428571429,19.63,19.18,18.5342857142857,18.5742857142857,19.39,19.0885714285714,19.4371428571429,18.4128571428571,19.0757142857143,18.97,18.6042857142857,19.4414285714286,17.7971428571429,19.6114285714286,18.8042857142857,19.1628571428571,18.2342857142857,19.0271428571429,18.7642857142857,18.1957142857143,18.7985714285714,17.4057142857143,18.9471428571429,18.7457142857143,19.2357142857143,18.5785714285714,19.5371428571429,19.3942857142857,19.4771428571429,18.1542857142857,18.8257142857143,18.79,18.6271428571429,18.09,18.6428571428571,17.7571428571429,18.6985714285714,18.9485714285714,18.5871428571429,19.5542857142857,18.5742857142857,19.3314285714286,18.5257142857143,18.3442857142857,19.23,18.4785714285714,18.87,19.6571428571429,18.5257142857143,18.8457142857143,18.8485714285714,19.2771428571429,18.8485714285714,18.3942857142857,18.45,18.4628571428571,18.5014285714286,18.89,18.1457142857143
"6","Jun",18.3128571428571,19.0542857142857,19.1085714285714,18.4057142857143,18.2785714285714,18.9071428571429,18.4385714285714,18.1642857142857,18.4457142857143,18.04,18.1214285714286,18.3557142857143,18.2628571428571,18.5828571428571,18.9828571428571,18.3957142857143,18.5157142857143,18.7257142857143,18.0585714285714,18.0471428571429,17.9385714285714,18.0671428571429,18.7614285714286,18.4742857142857,18.9857142857143,18.88,18.1514285714286,18.31,18.8157142857143,18.6914285714286,18.7057142857143,17.8014285714286,17.3842857142857,18.3428571428571,17.7257142857143,18.2914285714286,17.04,18.6528571428571,18.1814285714286,17.9771428571429,17.6757142857143,18.1814285714286,17.7057142857143,17.1828571428571,17.5728571428571,16.6928571428571,18.5257142857143,17.5442857142857,18.0714285714286,17.93,18.3928571428571,18.1071428571429,18.3342857142857,17.3742857142857,17.9228571428571,17.8871428571429,17.94,17.3514285714286,17.6757142857143,16.9814285714286,17.7585714285714,17.9957142857143,17.58,18.7385714285714,18.2842857142857,18.3042857142857,17.6571428571429,18.1185714285714,18.4471428571429,18.0471428571429,17.8128571428571,18.3,17.8571428571429,17.9685714285714,18.6442857142857,18.1385714285714,17.7614285714286,16.9271428571429,17.3614285714286,17.67,17.6028571428571,17.6414285714286,16.9957142857143
"7","Jul",17.6057142857143,17.9985714285714,17.7942857142857,17.4385714285714,17.1028571428571,18.1485714285714,17.3414285714286,17.2985714285714,17.54,17.8142857142857,16.9214285714286,17.41,17.7871428571429,17.6885714285714,18.1357142857143,17.7757142857143,17.3814285714286,17.78,17.5357142857143,17.6042857142857,16.9071428571429,17.1,17.7214285714286,17.28,17.81,17.4814285714286,17.5557142857143,17.0942857142857,18.1542857142857,17.5557142857143,17.5085714285714,16.7228571428571,16.1685714285714,16.9242857142857,17.1485714285714,16.9328571428571,17.0157142857143,17.3414285714286,17.22,16.7357142857143,16.7457142857143,16.5428571428571,17.3028571428571,16.83,17.2685714285714,16.9828571428571,17.0657142857143,16.83,17.6685714285714,16.9957142857143,17.1371428571429,17.3242857142857,16.8328571428571,16.8042857142857,17.9685714285714,16.6542857142857,17.0771428571429,16.48,17.2,16.7742857142857,16.5414285714286,17.3371428571429,16.8057142857143,17.2557142857143,17.3428571428571,16.8828571428571,17.0028571428571,16.4542857142857,17.3814285714286,17.0542857142857,17.1714285714286,17.2342857142857,17.1114285714286,16.9928571428571,17.0914285714286,16.8671428571429,16.7457142857143,16.4785714285714,16.6185714285714,16.5057142857143,16.6314285714286,16.7314285714286,16.1771428571429
"8","Aug",16.9271428571429,17.2271428571429,17.2314285714286,17.0542857142857,16.51,17.01,16.6771428571429,16.92,16.5328571428571,16.4757142857143,16.6642857142857,16.8885714285714,17.4042857142857,16.9728571428571,17.08,17.1128571428571,17.13,16.8457142857143,17.4071428571429,17.4085714285714,16.3671428571429,16.6428571428571,17.0314285714286,16.51,17.2128571428571,16.8828571428571,16.8714285714286,16.1571428571429,17.2028571428571,16.8714285714286,16.84,16.1214285714286,15.5714285714286,16.3642857142857,16.5514285714286,16.4442857142857,16.3385714285714,16.86,16.43,16.1014285714286,16.3328571428571,16.0614285714286,16.0914285714286,16.1628571428571,16.7,15.8285714285714,16.7257142857143,16.5942857142857,16.7228571428571,16.3271428571429,16.6357142857143,16.8457142857143,16.33,16.0714285714286,17.0742857142857,16.1542857142857,16.4928571428571,15.3542857142857,16.2042857142857,16.1228571428571,16.2171428571429,16.5157142857143,16.0885714285714,16.9357142857143,17.0514285714286,16.5957142857143,16.0471428571429,16.1471428571429,16.5671428571429,16.6814285714286,16.7357142857143,16.8357142857143,16.3114285714286,16.2942857142857,16.1728571428571,16.0871428571429,15.8971428571429,15.9757142857143,15.4742857142857,16.1471428571429,16.0185714285714,15.7742857142857,14.9942857142857
"9","Sep",16.9285714285714,16.6085714285714,16.7357142857143,16.6228571428571,15.9542857142857,16.7614285714286,16.79,16.6028571428571,16.3542857142857,16.3928571428571,15.9614285714286,16.3085714285714,16.5242857142857,16.7242857142857,16.8642857142857,17.2142857142857,16.8157142857143,17.0628571428571,16.4942857142857,17.1042857142857,16.2471428571429,16.0042857142857,16.8957142857143,16.4142857142857,16.8528571428571,16.6642857142857,17.1957142857143,16.0785714285714,17.02,16.9014285714286,16.7585714285714,16.2,15.6228571428571,16.1757142857143,15.9642857142857,16.3642857142857,16.3457142857143,16.7,16.5257142857143,16.7057142857143,15.85,15.6942857142857,16.17,15.9728571428571,16.4985714285714,15.6028571428571,16.2571428571429,16.2828571428571,16.2614285714286,16.3057142857143,16.8114285714286,16.77,16.4,16.0028571428571,16.9171428571429,16.6457142857143,16.1271428571429,15.98,15.9771428571429,16.29,16.45,15.9014285714286,16.02,16.4785714285714,16.8557142857143,16.3857142857143,15.9271428571429,15.7757142857143,16.2042857142857,16.17,16.4828571428571,16.5371428571429,16.3342857142857,16.5957142857143,15.9257142857143,15.8057142857143,16.5114285714286,15.9557142857143,15.7485714285714,15.7914285714286,16.0285714285714,15.9257142857143,15.7228571428571
"10","Oct",16.8828571428571,16.9228571428571,17.4757142857143,17.2571428571429,16.2442857142857,17.0128571428571,16.7342857142857,16.6457142857143,16.2014285714286,16.5557142857143,16.3657142857143,16.0242857142857,16.1714285714286,16.9214285714286,17.09,16.7914285714286,17.38,17.2557142857143,16.97,16.7971428571429,16.3185714285714,16.2428571428571,17.0171428571429,16.4442857142857,16.6557142857143,17.0228571428571,16.7485714285714,16.12,16.6457142857143,17.2114285714286,17.0757142857143,16.5842857142857,16.3885714285714,15.8257142857143,16.5785714285714,16.71,17.1142857142857,17.1057142857143,17.0842857142857,16.34,16.53,16.3557142857143,15.8842857142857,16.4842857142857,16.6785714285714,16.3128571428571,16.8457142857143,16.2685714285714,16.8542857142857,16.32,16.8571428571429,16.6685714285714,16.4528571428571,16.6271428571429,16.9085714285714,16.17,16.31,16.1528571428571,16.34,16.6657142857143,16.1457142857143,16.3242857142857,16.4585714285714,16.2828571428571,16.49,16.5185714285714,15.9085714285714,16.2571428571429,16.1028571428571,16.7585714285714,16.6685714285714,16.3142857142857,16.9228571428571,16.96,16.7171428571429,16.7814285714286,16.1557142857143,16.52,15.9157142857143,16.1771428571429,16.2085714285714,16.0342857142857,15.9528571428571
