"","Month","X2013","X2012","X2011","X2010","X2009","X2008","X2007","X2006","X2005","X2004","X2003","X2002","X2001","X2000","X1999","X1998","X1997","X1996","X1995","X1994","X1993","X1992","X1991","X1990","X1989","X1988","X1987","X1986","X1985","X1984","X1983","X1982","X1981","X1980","X1979","X1978","X1977","X1976","X1975","X1974","X1973","X1972","X1971","X1970","X1969","X1968","X1967","X1966","X1965","X1964","X1963","X1962","X1961","X1960","X1959","X1958","X1957","X1956","X1955","X1954","X1953","X1952","X1951","X1950","X1949","X1948","X1947","X1946","X1945","X1944","X1943","X1942","X1941","X1940","X1939","X1938","X1937","X1936","X1935","X1934","X1933","X1932","X1931"
"1","Jan",22.252,22.44,21.924,21.038,21.782,21.916,21.34,20.756,20.826,20.768,21.026,20.792,21.526,22.366,21.014,21.37,21.954,21.436,21.41,21.252,20.736,21.074,21.112,20.918,21.67,20.798,19.936,21.23,20.566,21.614,21.59,20.414,20.824,21.288,20.9,21.688,20.7,20.786,21.068,21.124,21.486,20.486,21.004,20.328,20.91,20.48,20.932,21.2,21.038,20.69,20.87,21.554,21.312,20.156,20.824,21.316,20.712,20.914,20.76,20.622,19.854,20.726,20.436,21.414,20.854,20.838,20.256,21.2,21.444,21.144,21.08,20.798,21.45,20.62,20.738,20.674,20.64,20.218,20.23,20.884,20.376,20.82,20.824
"2","Feb",23.038,23.066,23.206,21.91,22.224,22.866,21.762,21.222,21.304,21.952,21.884,21.496,21.962,22.794,21.946,22.338,22.142,22.606,22.228,21.114,21.066,22.036,21.538,22.016,22.706,22.466,20.878,21.436,21.892,22.686,22.154,21.186,21.08,21.866,21.068,21.64,21.448,21.71,21.606,21.402,21.482,22.046,21.666,21.256,20.654,20.99,22.172,21.51,21.304,21.202,21.522,22.504,22.464,20.854,21.466,22.414,21.206,21.578,21.172,21.212,20.81,21.22,20.86,22.152,21.656,21.542,21.412,21.522,21.842,21.538,21.658,21.184,21.774,20.822,21.45,21.682,21.594,21.122,20.84,21.928,21.922,21.974,21.272
"3","Mar",22.24,23.332,23.444,21.856,22.156,22.824,22.362,21.806,21.934,22.206,22.054,21.778,21.81,22.528,21.828,22.74,21.994,22.558,22.166,22.308,21.066,22.044,21.674,22.332,22.992,22.432,21.764,21.478,22.468,21.984,22.654,21.374,21.214,22.202,21.29,22.27,20.58,21.9,21.388,21.428,21.306,21.996,21.54,21.362,20.852,20.328,21.542,21.562,21.374,21.366,22.092,21.802,22.63,20.882,21.948,21.926,21.452,21.462,21.19,21.214,21.072,21.438,20.708,21.948,21.658,22.076,20.876,21.798,21.916,20.576,21.73,21.7,21.818,21.276,21.248,21.6,21.53,21.618,20.926,21.498,21.83,21.622,21.17
"4","Apr",22.258,22.528,22.67,21.554,21.536,22.048,21.7,21.024,21.48,21.7,21.558,21.794,21.686,22.35,22.434,22.364,21.862,21.822,22.284,21.838,20.938,21.764,21.58,21.934,22.342,22.484,21.808,20.946,21.758,21.978,22.344,20.686,21.132,21.368,20.964,21.998,20.44,21.29,21.224,21.102,20.39,21.014,21.02,20.778,20.442,19.68,21.248,20.81,21.164,20.706,22.238,21.628,21.118,20.5,21.164,21.178,20.872,20.888,20.96,20.33,20.796,21.008,20.372,21.6,21.554,21.486,20.62,21.686,21.976,21.188,21.484,21.206,21.276,20.936,20.936,21.358,21.226,21.146,20.754,20.806,21.096,21.136,21.086
"5","May",21.538,21.342,22.036,20.708,21.196,21.58,20.898,21.314,21.238,21.458,21.63,20.852,21.544,21.57,22.838,21.892,21.354,21.416,21.462,21.92,20.562,20.754,20.872,20.892,22.144,21.244,20.514,20.384,20.456,21,21.47,20.146,21.27,20.644,20.358,21.226,19.22,20.966,20.754,20.512,19.558,20.554,20.214,19.62,20.014,19.05,20.904,20.334,20.608,20.252,21.086,21.394,20.596,19.534,20.8,20.74,20.49,19.876,20.392,19.448,20.33,20.606,20.128,21.292,20.346,20.96,20.414,20.59,21.336,20.466,20.828,21.058,20.398,20.748,20.368,21.098,20.446,20.176,20.338,19.876,20.514,20.396,19.974
"6","Jun",20.258,20.848,20.556,20.084,19.422,20.582,19.89,19.894,20.354,20.072,20.134,20.108,20.278,20.246,21.096,20.866,19.884,20.756,19.7,19.898,19.854,19.542,20.728,19.664,19.912,20.452,19.886,19.928,20.148,20.646,20.636,19.346,19.082,19.624,19.37,19.658,18.434,19.76,19.76,18.852,19.038,18.958,18.742,18.612,18.652,18.13,20.052,19.156,19.402,19.75,19.264,19.428,19.096,18.824,19.782,19.602,19.404,18.556,18.792,18.42,18.98,19.36,19.074,19.938,19.98,19.702,19.572,19.598,20.268,20.078,19.354,19.954,19.508,19.584,20.412,20.038,19.658,18.502,19.014,19.158,19.288,19.224,18.872
"7","Jul",19.338,19.552,19.15,19.006,18.434,19.394,19.256,19.066,19.37,19.764,19.006,19.466,19.674,19.704,20.36,20.246,19.184,19.13,19.186,19.832,18.7,18.63,18.856,18.476,19.684,19.338,19.696,18.882,18.918,19.546,18.814,18.554,18.02,18.456,18.77,18.554,18.658,18.766,18.742,18.024,17.864,17.898,18.808,18.408,18.404,18.25,18.224,18.188,18.852,18.494,17.952,18.918,18.062,18.024,19.75,18.636,18.516,17.97,18.562,18.106,18.174,18.668,18.398,19.132,19.114,18.58,18.07,17.838,19.446,19.202,18.96,19.02,18.79,18.766,18.822,18.916,18.522,18.004,18.512,18.266,18.664,18.512,17.662
"8","Aug",19.104,18.776,19.124,18.82,17.95,19.036,19.206,18.692,18.49,18.61,18.796,18.73,18.966,18.946,19.404,19.146,18.836,18.712,18.834,19.278,18.126,18.68,18.608,18.67,19,19.144,18.782,18.136,18.382,19.034,18.86,18.058,17.376,18.156,18.304,18.338,17.926,18.566,18.038,17.582,17.732,17.392,17.648,17.982,18.258,17.492,18.57,17.648,17.628,17.732,17.818,18.412,17.442,17.498,18.998,18,17.374,17.092,17.686,17.418,18.064,17.924,17.456,18.7,18.652,18.214,17.648,17.684,18.686,18.686,18.534,18.766,17.836,18.004,17.984,18.028,17.614,17.734,17.286,17.476,17.808,17.794,16.938
"9","Sep",18.826,18.016,18.66,18.584,17.78,18.68,18.764,18.428,18.162,18.186,17.81,18.328,18.634,18.87,18.912,19.334,18.8,18.894,18.64,18.984,18.046,18.312,19,18.382,18.704,18.896,18.688,17.832,18.966,18.654,18.844,17.96,17.366,17.786,17.474,17.97,17.902,18.19,18.068,17.896,17.772,17.146,17.528,17.856,18.048,17.108,18.1,17.288,17.554,17.522,18.204,18.262,17.862,17.406,18.812,18.434,17.446,17.304,17.66,17.738,18.012,17.146,17.6,18.544,18.624,17.978,17.412,17.638,18.154,18.516,18.326,18.328,18.026,18.544,17.758,17.684,18.076,17.442,17.182,17.422,17.894,17.716,17.396
"10","Oct",18.412,18.808,19.236,19.036,18.408,19.11,19.072,18.358,17.762,18.064,17.96,17.6,18.526,18.994,18.878,18.45,19.36,18.97,18.81,18.704,18.01,17.944,18.622,18.136,18.252,19.388,18.674,17.738,18.378,19.036,19.768,17.99,18.096,17.806,18.358,18.244,18.608,18.468,18.57,17.78,18.06,17.758,17.418,18.124,18.17,17.986,18.688,17.374,18.434,17.284,18.114,18.008,18.03,18.484,18.564,18.154,17.83,17.6,17.684,17.982,18.054,17.81,17.958,18.598,18.31,18.024,17.564,17.724,17.948,18.762,18.594,18.404,18.592,19.002,18.464,18.834,17.684,18.114,17.534,17.882,18.126,17.936,17.774
