"Year","FishName","OtoWidth","Ages","Site","FSLann","FSLsumm","FSLaut","FSLwin","FSLspr","TannS","TsummS","TautS","TwinS","TsprS","TannW","TsummW","TautW","TwinW","TsprW"
1938,"X060149",61.3465,1,"West",0.668833333333333,0.589333333333333,0.695,0.740666666666667,0.650333333333333,18.9758333333333,20.03,20.41,17.87,17.5933333333333,20.1333333333333,20.9566666666667,21.5333333333333,19.2133333333333,18.83
1939,"X060149",41.311,2,"West",0.734833333333333,0.641666666666667,0.802666666666667,0.87,0.625,18.8258333333333,19.8733333333333,20.0066666666667,18.0566666666667,17.3666666666667,19.9025,20.7466666666667,21.0333333333333,19.29,18.54
1940,"X060149",33.7995,3,"West",0.5955,0.593,0.624666666666667,0.651666666666667,0.512666666666667,18.8808333333333,19.78,20.0466666666667,17.7133333333333,17.9833333333333,20.0333333333333,20.72,21.17,19,19.2433333333333
1940,"X060089",28.063,1,"West",0.5955,0.593,0.624666666666667,0.651666666666667,0.512666666666667,18.8808333333333,19.78,20.0466666666667,17.7133333333333,17.9833333333333,20.0333333333333,20.72,21.17,19,19.2433333333333
1941,"X060149",30.2145,4,"West",0.63025,0.512,0.740666666666667,0.748666666666667,0.519666666666667,18.9316666666667,20.2433333333333,20.2233333333333,17.6766666666667,17.5833333333333,20.0441666666667,21.18,21.3466666666667,18.93,18.72
1941,"X060089",23.99,2,"West",0.63025,0.512,0.740666666666667,0.748666666666667,0.519666666666667,18.9316666666667,20.2433333333333,20.2233333333333,17.6766666666667,17.5833333333333,20.0441666666667,21.18,21.3466666666667,18.93,18.72
1942,"X060089",22.447,3,"West",0.561333333333333,NA,NA,NA,NA,19.0366666666667,19.9366666666667,20.49,18.1333333333333,17.5866666666667,20.1783333333333,20.8833333333333,21.5033333333333,19.4633333333333,18.8633333333333
1942,"X060149",24.805,5,"West",0.561333333333333,NA,NA,NA,NA,19.0366666666667,19.9366666666667,20.49,18.1333333333333,17.5866666666667,20.1783333333333,20.8833333333333,21.5033333333333,19.4633333333333,18.8633333333333
1943,"X060089",18.3475,4,"West",0.671090909090909,NA,0.784,0.698666666666667,0.543666666666667,18.9441666666667,20.01,20.3733333333333,17.89,17.5033333333333,20.1341666666667,21.05,21.53,19.1633333333333,18.7933333333333
1943,"X060149",22.328,6,"West",0.671090909090909,NA,0.784,0.698666666666667,0.543666666666667,18.9441666666667,20.01,20.3733333333333,17.89,17.5033333333333,20.1341666666667,21.05,21.53,19.1633333333333,18.7933333333333
1944,"X060089",19.957,5,"West",0.668916666666667,0.617666666666667,0.693,0.723666666666667,0.641333333333333,19.0775,20.22,19.84,18.2366666666667,18.0133333333333,20.235,21.2,20.9266666666667,19.5433333333333,19.27
1944,"X060149",23.773,7,"West",0.668916666666667,0.617666666666667,0.693,0.723666666666667,0.641333333333333,19.0775,20.22,19.84,18.2366666666667,18.0133333333333,20.235,21.2,20.9266666666667,19.5433333333333,19.27
