"","P","r"
"SouthFOX...1.",0.587476877333962,0.0769904032349586
"xxxstd",NA,1
"samp.depth",0.642365535085963,0.0659324526786804
"Years",0.587476877333962,0.0769904032349586
"AnnEsts",0.0216104729524655,0.317969471216202
"SummerDat",0.153222144267909,0.200919523835182
"AutumnDat",0.117246226870949,0.219902947545052
"SpringDat",0.672472306331323,0.0600322969257832
"FSL_Years",0.587476877333962,0.0769904032349586
"FSL_AnnEsts",0.111360208946439,0.23276786506176
"FSL_SummerDat",0.00239858043181185,0.415969461202621
"FSL_AutumnDat",0.00566415267478781,0.382059127092361
"FSL_SpringDat",0.466144951557205,0.104355596005917
