"","P","r"
"SouthFOX...1.",0.471577625983473,0.10104376077652
"xxxstd",NA,1
"samp.depth",0.637121592650555,0.0663064047694206
"Year",0.471577625983473,0.10104376077652
"Annual",0.300944839573934,0.144789159297943
"Summer",0.908991278365905,0.016084348782897
"Autumn",0.803051372510907,0.0350837670266628
"Winter",0.51926927559182,0.090501144528389
"Spring",0.0120331702022123,0.342596441507339
"FSL_Year",0.471577625983473,0.10104376077652
"FSL_Annual",0.00217800076310803,0.411943316459656
"FSL_Summer",0.0181019560942031,0.326655626296997
"FSL_Autumn",0.026965668271572,0.30677056312561
"FSL_Winter",0.00710279195194108,0.369006335735321
"FSL_Spring",0.00131355943844258,0.433824479579926
