"","P","r"
"SouthFOX...1.",0.471577625983473,0.10104376077652
"xxxstd",NA,1
"samp.depth",0.637121592650555,0.0663064047694206
"Years",0.471577625983473,0.10104376077652
"AnnEsts",0.0174935426622007,0.3252192735672
"SummerDat",0.670063802961131,-0.0598996244370937
"AutumnDat",0.803051372510907,0.0350837670266628
"SpringDat",0.22681704617658,0.168844893574715
"FSL_Years",0.471577625983473,0.10104376077652
"FSL_AnnEsts",0.000592452790615594,0.473350793123245
"FSL_SummerDat",0.0482761139051078,0.275248974561691
"FSL_AutumnDat",0.026965668271572,0.30677056312561
"FSL_SpringDat",0.0342727746181457,0.294175177812576
