"","P","r"
"SouthFOX...1.",0.471577625983473,0.10104376077652
"xxxstd",NA,1
"samp.depth",0.637121592650555,0.0663064047694206
"Year",0.471577625983473,0.10104376077652
"Jan",0.251008497011294,-0.160478800535202
"Feb",0.852775994891263,0.0261092949658632
"Mar",0.78458898090113,-0.0384496115148067
"Apr",0.709880578893897,0.0523127913475037
"May",0.606319114961187,0.0724204927682877
"Jun",0.727057256985886,0.049086257815361
"Jul",0.351259218067695,0.130605325102806
"Aug",0.69127079460993,0.0558390505611897
"Sep",0.0126875183893349,0.340193569660187
"Oct",0.165930280617272,0.19310736656189
"Nov",0.0449098745385548,0.276670396327972
"Dec",0.241522358339828,0.163690701127052
"FSL_X",0.471577625983473,0.10104376077652
"FSL_Jan",0.173254156676046,0.19175423681736
"FSL_Feb",0.0470117357827757,0.276757299900055
"FSL_Mar",0.140444620383757,0.20521967113018
"FSL_Apr",0.0116067159654452,0.344223648309708
"FSL_May",0.0738054401262798,0.25004917383194
"FSL_Jun",0.0159725679444729,0.329531073570251
"FSL_Jul",0.0308154628837951,0.299823075532913
"FSL_Aug",0.0163176140784849,0.331636399030685
"FSL_Sep",0.00467353626104527,0.382764160633087
"FSL_Oct",0.00314261685408557,0.401914030313492
"FSL_Nov",0.00467353626104527,0.382764160633087
"FSL_Dec",0.0875817429271999,0.236947774887085
