"","P","r"
"SouthFOX...1.",0.587476877333962,0.0769904032349586
"xxxstd",NA,1
"samp.depth",0.642365535085963,0.0659324526786804
"Year",0.587476877333962,0.0769904032349586
"Annual",0.0496756605109252,0.273616462945938
"Summer",0.0906122094634967,0.237067341804504
"Autumn",0.117246226870949,0.219902947545052
"Winter",0.168195970128926,0.193992301821709
"Spring",0.215952563835248,0.174513190984726
"FSL_Year",0.587476877333962,0.0769904032349586
"FSL_Annual",0.0266822251916321,0.307314187288284
"FSL_Summer",0.00734045483182877,0.371104449033737
"FSL_Autumn",0.00566415267478781,0.382059127092361
"FSL_Winter",0.379788463625012,0.125610575079918
"FSL_Spring",0.125647582651928,0.217267423868179
