"","P","r"
"SouthFOX...1.",0.587476877333962,0.0769904032349586
"xxxstd",NA,1
"samp.depth",0.642365535085963,0.0659324526786804
"Year",0.587476877333962,0.0769904032349586
"Jan",0.335994031185763,0.136107131838799
"Feb",0.10538611926098,0.227129936218262
"Mar",0.0683143163116873,0.254798144102097
"Apr",0.176885462283577,0.1901765614748
"May",0.248653561737697,0.162867367267609
"Jun",0.0712189952748885,0.252249747514725
"Jul",0.313606235605252,0.142489746212959
"Aug",0.48274681065485,0.0995118692517281
"Sep",0.539761229407919,0.0869850516319275
"Oct",0.450183378729026,0.107015006244183
"Nov",0.13305271357316,0.211089879274368
"Dec",0.276876802420337,0.153627201914787
"FSL_X",0.587476877333962,0.0769904032349586
"FSL_Jan",0.0648298881690674,0.260525703430176
"FSL_Feb",0.000679876925750333,0.460170239210129
"FSL_Mar",0.0125304536707587,0.343974232673645
"FSL_Apr",0.00539213224940926,0.380498588085175
"FSL_May",0.0385074594256611,0.290691912174225
"FSL_Jun",0.311267276759333,0.143173038959503
"FSL_Jul",0.644452900460628,0.0661903843283653
"FSL_Aug",0.405998495305757,0.118891045451164
"FSL_Sep",0.445300141309501,0.108165308833122
"FSL_Oct",0.112896950157669,0.224708557128906
"FSL_Nov",0.445300141309501,0.108165308833122
"FSL_Dec",0.9173542454172,0.0147476214915514
