"","P","r"
"WestFOX...1.",0.168335847143769,0.19588004052639
"xxxstd",NA,1
"samp.depth",0.141719523371458,0.208660051226616
"Years",0.168335847143769,0.19588004052639
"AnnEsts",0.00746904063099429,0.370357424020767
"SummerDat",0.00415321093120236,0.394708722829819
"AutumnDat",0.020373796353472,0.323997169733047
"SpringDat",0.0354625898204266,0.295204490423203
"FSL_Years",0.168335847143769,0.19588004052639
"FSL_AnnEsts",0.230932075418097,0.178135633468628
"FSL_SummerDat",0.215405983404136,0.178299784660339
"FSL_AutumnDat",0.438718957661009,0.111998349428177
"FSL_SpringDat",0.933397359040168,-0.0121250031515956
