"","P","r"
"WestFOX...1.",0.0501636192074395,0.278519749641418
"xxxstd",NA,1
"samp.depth",0.0383249591907791,0.293865084648132
"Year",0.0501636192074395,0.278519749641418
"Annual",0.202888372882052,0.183186024427414
"Summer",0.599708210764116,0.0760363638401031
"Autumn",0.474501432256675,0.103486321866512
"Winter",0.209565131833069,0.180554255843163
"Spring",0.0480797763204177,0.280989110469818
"FSL_Year",0.0501636192074395,0.278519749641418
"FSL_Annual",0.522231459805957,0.092645175755024
"FSL_Summer",0.692582998388595,-0.0579268112778664
"FSL_Autumn",0.696108832032672,0.0572285279631615
"FSL_Winter",0.576369249027449,0.0817912444472313
"FSL_Spring",0.137203487195114,0.21538582444191
