"","P","r"
"WestFOX...1.",0.0501636192074395,0.278519749641418
"xxxstd",NA,1
"samp.depth",0.0383249591907791,0.293865084648132
"Years",0.0501636192074395,0.278519749641418
"AnnEsts",0.014876708346685,0.342584818601608
"SummerDat",0.801456761418304,-0.0364728048443794
"AutumnDat",0.474501432256675,0.103486321866512
"SpringDat",0.0101821202823931,0.360215455293655
"FSL_Years",0.0501636192074395,0.278519749641418
"FSL_AnnEsts",0.229035104782075,0.180860623717308
"FSL_SummerDat",0.702871012686229,-0.0558927953243256
"FSL_AutumnDat",0.696108832032672,0.0572285279631615
"FSL_SpringDat",0.0208191091920842,0.329407811164856
