"","P","r"
"WestFOX...1.",0.0501636192074395,0.278519749641418
"xxxstd",NA,1
"samp.depth",0.0383249591907791,0.293865084648132
"Year",0.0501636192074395,0.278519749641418
"Jan",0.360047758023141,-0.132213890552521
"Feb",0.866311973666392,-0.0244217161089182
"Mar",0.865713371283726,0.0245320796966553
"Apr",0.266525979704362,0.160167068243027
"May",0.529285786736741,0.0910862907767296
"Jun",0.286903408445494,0.153594106435776
"Jul",0.301031772378755,0.149214521050453
"Aug",0.175883476596044,0.194505006074905
"Sep",0.652032920784164,0.0653573349118233
"Oct",0.0363659550679694,0.296770513057709
"Nov",0.013262440859894,0.348026961088181
"Dec",0.0153853681163418,0.340974509716034
"FSL_X",0.0501636192074395,0.278519749641418
"FSL_Jan",0.282029795160273,-0.15677598118782
"FSL_Feb",0.599472828350826,-0.0768965482711792
"FSL_Mar",0.950951787894123,0.00892461370676756
"FSL_Apr",0.388693538496664,0.124578729271889
"FSL_May",0.929686157860434,0.0129391821101308
"FSL_Jun",0.234741310665381,0.171126946806908
"FSL_Jul",0.969723918123163,0.00556572154164314
"FSL_Aug",0.832169236708739,0.0310690831393003
"FSL_Sep",0.289694859118437,0.152717858552933
"FSL_Oct",0.271029762512824,0.160361513495445
"FSL_Nov",0.289694859118437,0.152717858552933
"FSL_Dec",0.345953290625459,0.136105924844742
