"","P","r"
"WestFOX...1.",0.168335847143769,0.19588004052639
"xxxstd",NA,1
"samp.depth",0.141719523371458,0.208660051226616
"Year",0.168335847143769,0.19588004052639
"Jan",0.00813155919152431,0.366676837205887
"Feb",0.010951221897517,0.353447675704956
"Mar",0.0356665600399062,0.294892400503159
"Apr",0.0366008889067075,0.293481379747391
"May",0.034662886789635,0.296442598104477
"Jun",0.0449856099275934,0.281991869211197
"Jul",0.0316162373187412,0.301387578248978
"Aug",0.0575167697584158,0.267723590135574
"Sep",0.0419481571469245,0.285933494567871
"Oct",0.00264633671288372,0.412261724472046
"Nov",0.0409324248477494,0.287303805351257
"Dec",0.179266713823592,0.191058769822121
"FSL_X",0.168335847143769,0.19588004052639
"FSL_Jan",0.130551700960121,0.216750457882881
"FSL_Feb",0.339924678204384,0.137800455093384
"FSL_Mar",0.458186338972722,0.106216751039028
"FSL_Apr",0.255467519525419,0.1621994972229
"FSL_May",0.815820477603279,0.033785555511713
"FSL_Jun",0.322367413712468,0.141379699110985
"FSL_Jul",0.949406951250608,-0.00920606590807438
"FSL_Aug",0.748230930909721,0.0465450696647167
"FSL_Sep",0.283238087081886,0.153168767690659
"FSL_Oct",0.293388339594943,0.151566877961159
"FSL_Nov",0.283238087081886,0.153168767690659
"FSL_Dec",0.733038928521872,0.0489463731646538
