"","(Intercept)","FinFSLdat_AnnEsts","FinFSLdat_SpringDat","FinFSLdat_SummerDat","FinSouthSST_AnnEsts","FSL_months_Apr","FSL_months_Jan","FSL_months_May","FSL_months_Oct","FSLdat_Autumn","s(Ages)","SST_South_Months_Jun","df","logLik","AICc","delta","weight"
"1016",13.7788932007935,11.6856545070285,-1.74070325388182,4.77914875422073,NA,2.9867887465102,-2.24373863460707,-0.122456726892517,-4.4482489702614,-4.99233031280846,"+",NA,13,-2249.31482168598,4525.04564337197,0,0.140486445833121
"1024",6.15763620838623,10.6408477934022,-1.88839029749945,4.03242642770887,0.473046207981316,2.67750892770751,-1.59775779329526,-0.1799774029768,-4.36703894703763,-4.62341036525281,"+",NA,14,-2248.63994464393,4525.76043848695,0.714795114982735,0.0982694755654464
"2040",9.42297583401719,10.7995416789454,-1.72034233938225,4.006475907057,NA,2.739720698861,-1.80740485907139,0.373229942275891,-3.44013640716256,-6.31999116760966,"+",0.300484974740438,14,-2249.09408898668,4526.66872717243,1.6230838004667,0.0624002394650025
"952",13.8000699578494,11.6594987854642,-1.74379999616147,4.80281064152388,NA,3.04744109437814,-2.26010162781834,NA,-4.45431683369221,-5.18670030307392,"+",NA,12,-2251.62416589822,4527.60449618,2.55885280803614,0.0390828835064998
"984",13.7269837883588,12.1183765948309,-2.05209174192094,2.36080802742627,NA,3.18938861287458,NA,-0.609420448722821,-4.1582514713461,-4.81960777141663,"+",NA,12,-2251.63368876841,4527.62354192039,2.57789854842122,0.0387124687850247
"2048",4.48901629605476,10.1885020035032,-1.83963991195427,3.60121627711513,0.367376432078751,2.55542929960209,-1.40434236720724,0.216426074118999,-3.60498415428536,-5.7333007043236,"+",0.232546183225301,15,-2248.63159964388,4527.81302746645,2.76738409448353,0.0352131279408604
"992",5.45113771014176,10.8460189225449,-2.11524259983657,2.30589334380384,0.514686093487869,2.78937839980864,NA,-0.5194216325296,-4.1607340347815,-4.47230156342876,"+",NA,13,-2250.84655302555,4528.1091060511,3.06346267912886,0.0303677039495685
"1000",13.3592344299119,12.259017732023,-1.64991639856432,5.05462880163163,NA,NA,-2.40335890112262,-1.55496815432172,-4.77026668658158,-0.345404032532131,"+",NA,12,-2251.90834657205,4528.17285752767,3.12721415570013,0.0294149760860575
"960",6.19250911776964,10.6029728221592,-1.89287134076183,4.06753006210531,0.472812760852277,2.76687121769491,-1.62208427349425,NA,-4.37599696489348,-4.90933038385177,"+",NA,13,-2250.94975816498,4528.31551632995,3.26987295798335,0.0273899055297213
"1008",5.4547662940452,11.1072232101241,-1.81377555523127,4.24596992762218,0.493438866173175,NA,-1.71229847690931,-1.46022250964747,-4.65076717296698,-0.462526123493198,"+",NA,13,-2251.18229179153,4528.78058358305,3.73494021108309,0.0217071328139558
"888",14.3857703822404,6.42665151660781,-0.399433139940493,4.01627790154034,NA,3.66467015139588,-1.76300972973094,-0.42378742020989,NA,-5.75237986695707,"+",NA,12,-2252.30560217718,4528.96736873793,3.92172536596172,0.0197716349085657
"1012",14.1886143636368,11.5947493717585,-2.36681400153805,NA,NA,3.44372731536884,0.915240410905038,-1.04396200179505,-3.84710586701286,-3.46866715617049,"+",NA,12,-2252.33225560514,4529.02067559383,3.97503222186606,0.0192516140168181
"2008",9.08060934664765,11.0809905095332,-1.96558359991544,2.03751078850747,NA,2.88308524559614,NA,0.0218256731210773,-3.14071426855879,-6.27499757258328,"+",0.321266685312761,13,-2251.32901131482,4529.07402262963,4.02837925766471,0.0187448937941546
"1976",9.40259611590159,10.8866032176163,-1.71119945483367,3.94328577324257,NA,2.55906108074223,-1.76284214153895,NA,-3.43185772250117,-5.72127707768657,"+",0.297502277601161,13,-2251.41375972674,4529.24351945348,4.19787608151455,0.0172217474610319
"1020",5.28590604334846,10.4008466066087,-2.42457759755275,NA,0.547982935901741,3.00270796392357,1.09177649575254,-0.943771493319891,-3.86183869976305,-3.31704593209,"+",NA,13,-2251.45334337309,4529.32268674619,4.27704337422165,0.0165533637030799
"760",13.3455478415824,11.847299344885,-1.64785543625432,4.37368892857314,NA,0.935193932550336,-2.18375371370222,-2.14586525842609,-4.60765867260042,NA,"+",NA,12,-2252.50407429059,4529.36431296475,4.31866959278341,0.0162123973289502
"896",6.55383153095336,5.45300491498709,-0.576113419165712,3.26433986880771,0.485419174269686,3.33458292128433,-1.1091674883808,-0.477143934766935,NA,-5.35957545461964,"+",NA,13,-2251.60041027885,4529.6168205577,4.57117718573318,0.0142894631115386
"2024",8.88419485950058,11.2922000664677,-1.63660421536654,4.23085937349953,NA,NA,-1.93783199765339,-0.91889848009067,-3.69866045679839,-2.11842785777813,"+",0.311183257588135,13,-2251.6460370768,4529.7080741536,4.66243078163552,0.0136521309413192
"1912",8.8127258827033,6.80577316510591,-0.751191756390262,3.27245438480585,NA,3.1676301113683,-1.35702731748337,0.275784564307862,NA,-7.18539827564017,"+",0.372681581816074,13,-2251.7497633162,4529.9155266324,4.86988326043593,0.0123070144825584
"768",5.57758810880816,10.7656555859377,-1.80604342756231,3.64005444305085,0.4841864291919,0.773805465680582,-1.5271021728913,-2.05168755369578,-4.51247906322666,NA,"+",NA,13,-2251.80162862504,4530.01925725008,4.97361387811179,0.0116849778702063
"2016",3.80092996055552,10.3485990637236,-2.035805800737,2.07427664959181,0.399292719005244,2.6479959617535,NA,-0.0633821729998607,-3.39243772019902,-5.64825337183224,"+",0.242393452102247,14,-2250.81235225556,4530.10525371021,5.05961033823678,0.0111931932057868
"920",13.8334961849412,12.0008629468071,-2.07958459301531,2.39172683221544,NA,3.50846793502318,NA,NA,-4.17858913255533,-5.8102244212208,"+",NA,11,-2253.93954332463,4530.18011287504,5.13446950306843,0.0107819804265674
"2036",9.04174029562507,10.5804943512457,-2.22530550633037,NA,NA,3.07015209953894,0.828643231793043,-0.293600118816588,-2.78690394516289,-5.30060133572809,"+",0.349729981269634,13,-2251.90122339674,4530.21844679348,5.17280342151298,0.0105772905550177
"1984",4.46062528736259,10.2367582572533,-1.8347466826912,3.563322008619,0.368607220274958,2.4502244121658,-1.37723885363943,NA,-3.60072277131379,-5.38491205418535,"+",0.230598687751427,14,-2250.94979646163,4530.38014212234,5.3344987503724,0.00975579666407105
"928",5.52382045054294,10.7431039764491,-2.13880465842101,2.33211523643411,0.515809966797243,3.06033912542474,NA,NA,-4.1780603087435,-5.31552290831347,"+",NA,12,-2253.14901152076,4530.65418742508,5.60854405311602,0.00850657153557194
"936",13.5694852219682,12.0192467001118,-1.67084374069385,5.5413104493317,NA,NA,-2.72900269968329,NA,-4.98084377604641,-2.01179228765469,"+",NA,11,-2254.17928151291,4530.65958925159,5.61394587961968,0.00848362702330073
