"","df","logLik","AICc","Delta","Weight"
"1/2/3/5/6/7/8/9/10",13,-2249.31482168598,4525.04564337197,0,0.155682039270091
"1/2/3/4/5/6/7/8/9/10",14,-2248.63994464393,4525.76043848695,0.714795114982735,0.108898707368567
"1/2/3/5/6/7/8/9/10/11",14,-2249.09408898668,4526.66872717243,1.6230838004667,0.0691497067439034
"1/2/3/5/6/8/9/10",12,-2251.62416589822,4527.60449618,2.55885280803614,0.0433102493892889
"1/2/3/5/7/8/9/10",12,-2251.63368876841,4527.62354192039,2.57789854842122,0.0428997690837125
"1/2/3/4/5/6/7/8/9/10/11",15,-2248.63159964388,4527.81302746645,2.76738409448353,0.0390219251003311
"1/2/3/4/5/7/8/9/10",13,-2250.84655302555,4528.1091060511,3.06346267912886,0.0336524000645237
"1/2/3/6/7/8/9/10",12,-2251.90834657205,4528.17285752767,3.12721415570013,0.0325966212256382
"1/2/3/4/5/6/8/9/10",13,-2250.94975816498,4528.31551632995,3.26987295798335,0.0303525106852468
"1/2/3/4/6/7/8/9/10",13,-2251.18229179153,4528.78058358305,3.73494021108309,0.0240550658331668
"1/2/3/5/6/7/9/10",12,-2252.30560217718,4528.96736873793,3.92172536596172,0.0219102164911025
"1/2/5/6/7/8/9/10",12,-2252.33225560514,4529.02067559383,3.97503222186606,0.0213339479948058
"1/2/3/5/7/8/9/10/11",13,-2251.32901131482,4529.07402262963,4.02837925766471,0.0207724188228218
"1/2/3/5/6/8/9/10/11",13,-2251.41375972674,4529.24351945348,4.19787608151455,0.0190845226998821
"1/2/4/5/6/7/8/9/10",13,-2251.45334337309,4529.32268674619,4.27704337422165,0.0183438437978293
"1/2/3/5/6/7/8/10",12,-2252.50407429059,4529.36431296475,4.31866959278341,0.0179659970943111
"1/2/3/4/5/6/7/9/10",13,-2251.60041027885,4529.6168205577,4.57117718573318,0.0158350703805377
"1/2/3/6/7/8/9/10/11",13,-2251.6460370768,4529.7080741536,4.66243078163552,0.0151288017340233
"1/2/3/5/6/7/9/10/11",13,-2251.7497633162,4529.9155266324,4.86988326043593,0.0136381919309651
"1/2/3/4/5/6/7/8/10",13,-2251.80162862504,4530.01925725008,4.97361387811179,0.0129488732729455
"1/2/3/4/5/7/8/9/10/11",14,-2250.81235225556,4530.10525371021,5.05961033823678,0.0124038951507889
"1/2/3/5/8/9/10",11,-2253.93954332463,4530.18011287504,5.13446950306843,0.0119482039012654
"1/2/5/6/7/8/9/10/11",13,-2251.90122339674,4530.21844679348,5.17280342151298,0.0117213739289375
"1/2/3/4/5/6/8/9/10/11",14,-2250.94979646163,4530.38014212234,5.3344987503724,0.0108110238703815
"1/2/3/4/5/8/9/10",12,-2253.14901152076,4530.65418742508,5.60854405311602,0.00942667739938316
"1/2/3/6/8/9/10",11,-2254.17928151291,4530.65958925159,5.61394587961968,0.0094012511140269
"1/2/3/4/6/7/8/9/10/11",14,-2251.15545386837,4530.79145693583,5.74581356386261,0.00880138359240237
"1/2/3/7/8/9/10",11,-2254.26365920056,4530.82834462688,5.78270125491144,0.00864054007903854
"1/2/3/6/7/8/10",11,-2254.39277465403,4531.08657553382,6.04093216185538,0.00759393298118585
"1/2/3/4/5/6/7/9/10/11",14,-2251.33292623908,4531.14640167724,6.10075830527512,0.00737013898939336
"1/2/3/4/7/8/9/10",12,-2253.4061051116,4531.16837460676,6.12273123479645,0.00728961038941617
"1/2/4/5/6/7/8/9/10/11",14,-2251.34784174276,4531.17623268461,6.13058931263913,0.00726102541897844
"1/2/3/5/6/7/8/10/11",13,-2252.40667742478,4531.22935484957,6.18371147759899,0.00707070349121725
"1/2/3/4/6/8/9/10",12,-2253.44162667498,4531.23941773353,6.1937743615581,0.00703521700580564
"1/2/3/5/7/9/10",11,-2254.52239424702,4531.3458147198,6.30017134783611,0.0066707349652383
"1/2/3/5/6/9/10",11,-2254.61878041221,4531.53858705019,6.49294367822404,0.00605778291999683
"1/2/5/6/8/9/10",11,-2254.65760701014,4531.61624024605,6.57059687408491,0.00582708736056936
"1/2/3/5/8/9/10/11",12,-2253.63229065658,4531.62074569671,6.57510232474579,0.00581397530774137
"1/2/3/4/6/7/8/10",12,-2253.6688095076,4531.69378339876,6.64814002679668,0.00560548568052301
"1/2/3/5/6/8/10",11,-2254.6973948544,4531.69581593457,6.6501725626058,0.00559979189903016
"1/2/3/4/5/7/9/10",12,-2253.73630368729,4531.82877175814,6.78312838616694,0.00523963334932822
"1/2/4/5/6/8/9/10",12,-2253.7720547972,4531.90027397795,6.85463060598431,0.00505561958888563
"1/2/3/5/7/8/10",11,-2254.80906709402,4531.91916041382,6.87351704184948,0.00500810297927827
"1/2/3/6/8/9/10/11",12,-2253.86503825602,4532.0862408956,7.04059752363537,0.00460672390935614
"1/2/3/7/8/9/10/11",12,-2253.90390208578,4532.16396855512,7.11832518314895,0.00443112333272687
"1/2/3/5/7/9/10/11",12,-2253.90471065278,4532.16558568912,7.1199423171538,0.00442754192071726
"1/2/3/4/5/6/9/10",12,-2253.91496099473,4532.18608637302,7.14044300105252,0.00438238990915485
