"","Estimate","Std. Error","Adjusted SE","z value","Pr(>|z|)"
"(Intercept)",9.59283766895517,6.49262039379559,6.49854014320923,1.47615271392597,0.1399029
"FinFSLdat_AnnEsts",10.671452455146,5.39276150613663,5.39958139441958,1.97634810472064,0.0481154
"FinFSLdat_SpringDat",-1.74487273000803,2.2455972309483,2.24860156894638,0.77598128281375,0.43776
"FinFSLdat_SummerDat",3.83270795182976,3.83120716587965,3.83621038591018,0.999087006778021,0.3177525
"FSL_months_Apr",2.79340772855371,3.94915260581073,3.95447520993687,0.70639151347678,0.4799447
"FSL_months_Jan",-1.5671037551152,3.17788198372203,3.18190204268522,0.492505342431193,0.6223621
"FSL_months_May",-0.554738386705844,3.89643852837576,3.90164342178144,0.14218069842286,0.8869373
"FSL_months_Oct",-4.12948064454212,3.49242904556638,3.49718320921613,1.18080191900147,0.2376814
"FSLdat_Autumn",-4.55975990232553,7.28495609147429,7.29448185890111,0.625097161186503,0.5319073
"s(Ages).1",9.2872073174602,1.22023554791084,1.22192863306629,7.60044986764492,0
"s(Ages).2",-13.1346989197449,3.01768052204419,3.02186983969004,4.346546878767,1.38e-05
"s(Ages).3",-7.81221993716977,0.988775834591666,0.990147368014593,7.88995677768103,0
"s(Ages).4",8.20344156433764,2.12631599852258,2.12926758345547,3.85270579803067,0.0001168
"s(Ages).5",6.36821954654127,1.05525089034524,1.05671430487947,6.02643450281258,0
"s(Ages).6",-7.54738028666156,1.92930088797027,1.93197948761111,3.90655301210981,9.36e-05
"s(Ages).7",5.34671323220751,1.20450235995256,1.20617419331923,4.43278695715919,9.3e-06
"s(Ages).8",-20.4196860101003,6.2778325806285,6.2865483570391,3.24815540267598,0.0011616
"s(Ages).9",-9.14744987268115,2.16582556147252,2.16883311265052,4.21768268813551,2.47e-05
"FinSouthSST_AnnEsts",0.46696355815197,0.447634417163635,0.44824716039475,1.04175463764397,0.2975255
"SST_South_Months_Jun",0.291510975301099,0.287078578705315,0.287468316004541,1.01406297345302,0.3105527
