"","Estimate","Std. Error","Adjusted SE","Lower CI","Upper CI"
"(Intercept)",9.59283766895517,6.49262039379559,6.49854014320923,-3.14406696382269,22.329742301733
"FinFSLdat_AnnEsts",10.671452455146,5.39276150613663,5.39958139441958,0.0884673904910276,21.2544375198009
"FinFSLdat_SpringDat",-1.74487273000803,2.2455972309483,2.24860156894638,-6.1520508207232,2.66230536070715
"FinFSLdat_SummerDat",3.83270795182976,3.83120716587965,3.83621038591018,-3.6861262416727,11.3515421453322
"FSL_months_Apr",2.79340772855371,3.94915260581073,3.95447520993687,-4.95722126067902,10.5440367177864
"FSL_months_Jan",-1.5671037551152,3.17788198372203,3.18190204268522,-7.80351716111267,4.66930965088227
"FSL_months_May",-0.554738386705844,3.89643852837576,3.90164342178144,-8.20181897391509,7.0923422005034
"FSL_months_Oct",-4.12948064454212,3.49242904556638,3.49718320921613,-10.9838337819439,2.7248724928597
"FSLdat_Autumn",-4.55975990232553,7.28495609147429,7.29448185890111,-18.8566816316525,9.73716182700142
"s(Ages).1",9.2872073174602,1.22023554791084,1.22192863306629,6.89227120497202,11.6821434299484
"s(Ages).2",-13.1346989197449,3.01768052204419,3.02186983969004,-19.0574549715052,-7.21194286798458
"s(Ages).3",-7.81221993716977,0.988775834591666,0.990147368014593,-9.7528731178655,-5.87156675647404
"s(Ages).4",8.20344156433764,2.12631599852258,2.12926758345547,4.03015378731629,12.376729341359
"s(Ages).5",6.36821954654127,1.05525089034524,1.05671430487947,4.29709756702922,8.43934152605331
"s(Ages).6",-7.54738028666156,1.92930088797027,1.93197948761111,-11.3339905012495,-3.76077007207364
"s(Ages).7",5.34671323220751,1.20450235995256,1.20617419331923,2.98265525422016,7.71077121019487
"s(Ages).8",-20.4196860101003,6.2778325806285,6.2865483570391,-32.7410943769664,-8.09827764323426
"s(Ages).9",-9.14744987268115,2.16582556147252,2.16883311265052,-13.3982846619541,-4.89661508340823
"FinSouthSST_AnnEsts",0.46696355815197,0.447634417163635,0.44824716039475,-0.411584732394089,1.34551184869803
"SST_South_Months_Jun",0.291510975301099,0.287078578705315,0.287468316004541,-0.271916570764182,0.854938521366379
