"","df","logLik","AICc","Delta","Weight"
"1/2/4/5/6/10/11",11,-3291.64725380058,6605.52427261422,0,0.0604466999834009
"1/2/4/5/6/9/10/11",12,-3290.95880053206,6606.1893780676,0.665105453385877,0.043345775956644
"1/2/4/5/6/11",10,-3293.22603594287,6606.64337623356,1.11910361934497,0.0345431813611312
"1/2/3/4/5/6/10/11",12,-3291.51003688584,6607.29185077516,1.76757816094141,0.0249774371724152
"1/2/4/5/6/10/11/12",12,-3291.54038723014,6607.35255146376,1.82827884954168,0.0242307517504665
"1/2/4/5/6",9,-3294.59965311402,6607.35569197955,1.83141936533593,0.0241927330785488
"1/2/4/5/6/7/10/11/12",13,-3290.74679047161,6607.81093055088,2.28665793666642,0.0192677558302097
"1/2/3/4/5/6/9/10/11",13,-3290.7864796065,6607.89030882066,2.36603620644473,0.0185180120270215
"1/2/4/5/6/7/10/11",12,-3291.84035507436,6607.9524871522,2.42821453797933,0.017951159621841
"1/2/3/4/5/6/11",11,-3292.90911379282,6608.0479925987,2.5237199844787,0.0171140881457153
"1/2/4/5/6/9/10/11/12",13,-3290.87961796715,6608.07658554198,2.55231292776443,0.0168711577314162
"1/2/4/5/6/8/10/11",12,-3291.9471924569,6608.16616191729,2.64188930306773,0.0161322009443532
"1/2/4/5/6/7/8/10/11/12",14,-3289.97895581718,6608.32440378095,2.80013116672944,0.0149049951444079
"1/2/4/5/6/9/11",11,-3293.09368426533,6608.41713354371,2.89286092949715,0.0142297027081671
"1/2/4/5/6/7/9/10/11/12",14,-3290.05228151687,6608.47105518033,2.94678256611223,0.0138511837967354
"1/2/4/5/6/7/9/10/11",13,-3291.08066198375,6608.47867357518,2.95440096095808,0.0137985222658727
"1/2/4/5/6/7/11",11,-3293.12781767592,6608.4854003649,2.96112775067922,0.0137521903469464
"1/2/4/5/6/11/12",11,-3293.18192974186,6608.59362449678,3.06935188256011,0.0130278066142112
"1/2/4/5/6/7/12",11,-3293.22864434602,6608.68705370509,3.16278109087398,0.0124332139901528
"1/2/4/5/6/8/9/10/11",13,-3291.26905786098,6608.85546532964,3.33119271541818,0.0114291330583446
"1/2/4/5/6/7",10,-3294.37773179895,6608.94676794572,3.42249533150607,0.0109191084037192
"1/2/4/5/6/7/8/10/12",13,-3291.35557606349,6609.02850173466,3.5042291204436,0.0104818734214277
"1/2/4/5/6/7/10/12",12,-3292.3989587966,6609.06969459667,3.5454219824569,0.0102681923264521
"1/2/3/4/5/6/10/11/12",13,-3291.41816731131,6609.15368423029,3.62941161607068,0.00984591035606362
