"","Estimate","Std. Error","Adjusted SE","z value","Pr(>|z|)"
"(Intercept)",-9.05422046771759,8.9776433538772,8.98544098254532,1.00765454754039,0.3136203
"FinFSLdat_AnnEsts",-6.16457049102427,5.98686746219628,5.99240161949037,1.02873119701689,0.303606
"FinWestSST_AnnEsts",1.71929691539554,0.778643253275079,0.779223332718979,2.20642381099693,0.0273543
"FSL_months_Apr",3.5294380875925,2.43710914081111,2.43945774276419,1.44681255416756,0.1479494
"FSLdat_Spring",5.83906884842821,4.33211142796571,4.3364076114476,1.34652213805127,0.1781342
"SST_West_Months_Sep",0.763687078211794,0.493779859570909,0.494228236288987,1.5452113459686,0.1222952
"WestSST_Spring",-1.36246287353293,0.970702442478155,0.97135086484402,1.40264751167099,0.160722
"s(Ages).1",16.6302193477837,1.54670314244867,1.54833570527416,10.7407064831842,0
"s(Ages).2",-18.8603243595817,4.21913625937114,4.22359814947332,4.46546373308112,8e-06
"s(Ages).3",-12.2547957078533,1.32815557993455,1.32955535060184,9.21721363635291,0
"s(Ages).4",12.5250409007255,2.9844276494628,2.98758297500895,4.19236587083845,2.76e-05
"s(Ages).5",11.1611807110855,1.42151993865947,1.42302194344473,7.84329487152353,0
"s(Ages).6",-10.3484920102645,2.65622988993599,2.65903923382202,3.89181621641209,9.95e-05
"s(Ages).7",10.0877058088857,1.75248929055316,1.75434174414688,5.7501372480829,0
"s(Ages).8",-26.6978126678592,9.0669291643751,9.07651757768252,2.94141585022698,0.0032672
"s(Ages).9",-14.7871936157128,2.78581501661973,2.78875828476656,5.3024292913757,1e-07
"SST_West_Months_Oct",0.334098021912907,0.467701646858846,0.468078350101928,0.713765167391644,0.4753724
"FinWestSST_SummerDat",0.309136969717594,0.349345984030388,0.349699966581081,0.884006288990932,0.3766928
"WestSST_Winter",-0.787112794160732,1.27069571099005,1.27144253847472,0.619070677865622,0.5358698
"SST_West_Months_Jul",0.679623166515533,0.66336788026894,0.663796278013596,1.02384299072797,0.3059094
"SST_West_Months_Jun",0.145835786675755,0.592297486174577,0.592715011995716,0.246047060938638,0.8056458
