,Estimate,Std. Error,Adjusted SE,Lower CI,Upper CI
(Intercept),-9.054220468,8.977643354,8.985440983,-26.66536118,8.556920243
FinFSLdat_AnnEsts,-6.164570491,5.986867462,5.992401619,-17.90946185,5.580320864
FinWestSST_AnnEsts,1.719296915,0.778643253,0.779223333,0.192047247,3.246546583
FSL_months_Apr,3.529438088,2.437109141,2.439457743,-1.25181123,8.310687405
FSLdat_Spring,5.839068848,4.332111428,4.336407611,-2.660133892,14.33827159
SST_West_Months_Sep,0.763687078,0.49377986,0.494228236,-0.204982465,1.732356621
WestSST_Spring,-1.362462874,0.970702442,0.971350865,-3.266275585,0.541349838
s(Ages).1,16.63021935,1.546703142,1.548335705,13.59553713,19.66490157
s(Ages).2,-18.86032436,4.219136259,4.223598149,-27.13842462,-10.5822241
s(Ages).3,-12.25479571,1.32815558,1.329555351,-14.86067631,-9.648915105
s(Ages).4,12.5250409,2.984427649,2.987582975,6.669485869,18.38059593
s(Ages).5,11.16118071,1.421519939,1.423021943,8.372108953,13.95025247
s(Ages).6,-10.34849201,2.65622989,2.659039234,-15.56011314,-5.136870878
s(Ages).7,10.08770581,1.752489291,1.754341744,6.649259174,13.52615244
s(Ages).8,-26.69781267,9.066929164,9.076517578,-44.48746023,-8.908165111
s(Ages).9,-14.78719362,2.785815017,2.788758285,-20.25305942,-9.321327816
SST_West_Months_Oct,0.334098022,0.467701647,0.46807835,-0.583318686,1.25151473
FinWestSST_SummerDat,0.30913697,0.349345984,0.349699967,-0.37626237,0.99453631
WestSST_Winter,-0.787112794,1.270695711,1.271442538,-3.279094378,1.70486879
SST_West_Months_Jul,0.679623167,0.66336788,0.663796278,-0.621393631,1.980639964
SST_West_Months_Jun,0.145835787,0.592297486,0.592715012,-1.01586429,1.307535863
