,x
(Intercept),-9.054220468
FinFSLdat_AnnEsts,-6.164570491
FinWestSST_AnnEsts,1.641400118
FSL_months_Apr,3.214541991
FSLdat_Spring,5.616855346
SST_West_Months_Sep,0.449204114
WestSST_Spring,-0.97379998
s(Ages).1,16.63021935
s(Ages).2,-18.86032436
s(Ages).3,-12.25479571
s(Ages).4,12.5250409
s(Ages).5,11.16118071
s(Ages).6,-10.34849201
s(Ages).7,10.08770581
s(Ages).8,-26.69781267
s(Ages).9,-14.78719362
SST_West_Months_Oct,0.105268744
FinWestSST_SummerDat,0.092099483
WestSST_Winter,-0.342771574
SST_West_Months_Jul,0.293203693
SST_West_Months_Jun,0.038003274
