,Estimate..Intercept.,Std..Error..Intercept.,df..Intercept.,Estimate.FinFSLdat_AnnEsts,Std..Error.FinFSLdat_AnnEsts,df.FinFSLdat_AnnEsts,Estimate.FinWestSST_AnnEsts,Std..Error.FinWestSST_AnnEsts,df.FinWestSST_AnnEsts,Estimate.FSL_months_Apr,Std..Error.FSL_months_Apr,df.FSL_months_Apr,Estimate.FSLdat_Spring,Std..Error.FSLdat_Spring,df.FSLdat_Spring,Estimate.SST_West_Months_Sep,Std..Error.SST_West_Months_Sep,df.SST_West_Months_Sep,Estimate.WestSST_Spring,Std..Error.WestSST_Spring,df.WestSST_Spring,Estimate.s.Ages..1,Std..Error.s.Ages..1,df.s.Ages..1,Estimate.s.Ages..2,Std..Error.s.Ages..2,df.s.Ages..2,Estimate.s.Ages..3,Std..Error.s.Ages..3,df.s.Ages..3,Estimate.s.Ages..4,Std..Error.s.Ages..4,df.s.Ages..4,Estimate.s.Ages..5,Std..Error.s.Ages..5,df.s.Ages..5,Estimate.s.Ages..6,Std..Error.s.Ages..6,df.s.Ages..6,Estimate.s.Ages..7,Std..Error.s.Ages..7,df.s.Ages..7,Estimate.s.Ages..8,Std..Error.s.Ages..8,df.s.Ages..8,Estimate.s.Ages..9,Std..Error.s.Ages..9,df.s.Ages..9,Estimate.SST_West_Months_Oct,Std..Error.SST_West_Months_Oct,df.SST_West_Months_Oct,Estimate.FinWestSST_SummerDat,Std..Error.FinWestSST_SummerDat,df.FinWestSST_SummerDat,Estimate.WestSST_Winter,Std..Error.WestSST_Winter,df.WestSST_Winter,Estimate.SST_West_Months_Jul,Std..Error.SST_West_Months_Jul,df.SST_West_Months_Jul,Estimate.SST_West_Months_Jun,Std..Error.SST_West_Months_Jun,df.SST_West_Months_Jun
1,-10.70526051,7.702715682,1146.105897,-8.589228416,5.649839512,1146.105897,2.082612531,0.660634017,1146.105897,4.206783694,2.29041701,1146.105897,7.023853682,4.179527758,1146.105897,0.753450018,0.436380396,1146.105897,-1.461686621,0.655970729,1146.105897,16.53026036,1.542272256,1146.105897,-18.76507678,4.203542662,1146.105897,-12.13904102,1.323050062,1146.105897,12.44334836,2.97193284,1146.105897,11.11418596,1.41694902,1146.105897,-10.30121494,2.645843243,1146.105897,10.02828767,1.746733444,1146.105897,-26.64040764,9.030209325,1146.105897,-14.78601771,2.771997849,1146.105897,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,-10.53671114,7.703004816,1145.096454,-8.435782336,5.650556302,1145.096454,2.22014196,0.672115432,1145.096454,4.131344296,2.291012611,1145.096454,7.099054112,4.179357435,1145.096454,0.921605485,0.461876633,1145.096454,-2.260629937,0.973517529,1145.096454,16.64560044,1.545790926,1145.096454,-18.87331787,4.213673559,1145.096454,-12.20487974,1.325611504,1145.096454,12.49732586,2.979077374,1145.096454,11.1814032,1.418978856,1145.096454,-10.35504727,2.652951624,1145.096454,10.0974664,1.750070835,1145.096454,-26.75014386,9.053816006,1145.096454,-14.85472352,2.779185298,1145.096454,0.476141276,0.428608894,1145.096454,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,-8.57731445,7.610984961,1147.099463,-6.941030837,5.573068501,1147.099463,2.010294889,0.659856392,1147.099463,4.314558176,2.291232489,1147.099463,5.698145612,4.111506348,1147.099463,NA,NA,NA,-0.777303758,0.523248847,1147.099463,16.67410832,1.542112066,1147.099463,-18.84630584,4.21229845,1147.099463,-12.30317717,1.321821091,1147.099463,12.4729523,2.978489983,1147.099463,11.11999048,1.418797469,1147.099463,-10.3185822,2.65210208,1147.099463,10.04756113,1.749737587,1147.099463,-26.57650479,9.051617175,1147.099463,-14.84398867,2.778369309,1147.099463,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4,-14.24033618,9.029072633,1145.106376,-7.772472846,5.754875182,1145.106376,2.112268949,0.661936228,1145.106376,3.661637022,2.403323846,1145.106376,6.291367917,4.292812932,1145.106376,0.71032137,0.440238507,1145.106376,-1.53724352,0.663764888,1145.106376,16.50818663,1.542824246,1145.106376,-18.78998876,4.204282139,1145.106376,-12.15033528,1.323361363,1145.106376,12.48741366,2.97293534,1145.106376,11.11391809,1.417199993,1145.106376,-10.31850088,2.646303347,1145.106376,10.03842202,1.747069145,1145.106376,-26.71760009,9.032015133,1145.106376,-14.76299371,2.772539656,1145.106376,NA,NA,NA,0.259166677,0.34529933,1145.106376,NA,NA,NA,NA,NA,NA,NA,NA,NA
5,-10.14042613,7.896533257,1145.107141,-8.736395321,5.670229938,1145.107141,2.11094419,0.666685392,1145.107141,4.322572256,2.318904364,1145.107141,7.150027366,4.199129393,1145.107141,0.815573971,0.476496138,1145.107141,-1.446164774,0.657896839,1145.107141,16.52966267,1.542757666,1145.107141,-18.81032777,4.206766212,1145.107141,-12.13937804,1.323420064,1145.107141,12.47962903,2.974653042,1145.107141,11.13260513,1.418582523,1145.107141,-10.32127926,2.647075783,1145.107141,10.04010981,1.747607606,1145.107141,-26.74656452,9.037742235,1145.107141,-14.72658045,2.778226412,1145.107141,NA,NA,NA,NA,NA,NA,-0.137143296,0.421097988,1145.107141,NA,NA,NA,NA,NA,NA
6,-7.260420781,7.563796996,1148.102494,-5.876327424,5.529462939,1148.102494,1.249717744,0.416902002,1148.102494,2.873909434,2.077120256,1148.102494,5.447325687,4.109816278,1148.102494,NA,NA,NA,NA,NA,NA,16.6401594,1.542250277,1148.102494,-18.88285855,4.210681577,1148.102494,-12.24072966,1.32116798,1148.102494,12.4932596,2.97723847,1148.102494,11.14138485,1.418841823,1148.102494,-10.33388556,2.650772808,1148.102494,10.05874975,1.74947219,1148.102494,-26.71597299,9.046666668,1148.102494,-14.65683523,2.774425945,1148.102494,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7,-8.041804955,8.123721553,1144.094843,-7.448299049,5.790741412,1144.094843,1.682438024,0.773670614,1144.094843,3.877531973,2.353929624,1144.094843,6.564263158,4.232555974,1144.094843,0.832626771,0.476659318,1144.094843,-1.068162981,0.743510465,1144.094843,16.59366139,1.544473678,1144.094843,-18.90719606,4.219779174,1144.094843,-12.22729699,1.327403973,1144.094843,12.59450525,2.985485442,1144.094843,11.2002803,1.420939299,1144.094843,-10.38874536,2.656705357,1144.094843,10.12061124,1.752074296,1144.094843,-26.88472154,9.06956161,1144.094843,-14.74001207,2.787493512,1144.094843,NA,NA,NA,NA,NA,NA,-0.720769116,0.681439667,1144.094843,0.531451292,0.488237402,1144.094843,NA,NA,NA
8,-14.27944712,9.027584881,1144.09663,-7.565559327,5.756550231,1144.09663,2.25546798,0.67368601,1144.09663,3.551286458,2.40474971,1144.09663,6.324654454,4.29203799,1144.09663,0.880641001,0.464819938,1144.09663,-2.363335032,0.982201257,1144.09663,16.62551525,1.546265919,1144.09663,-18.90311033,4.214614695,1144.09663,-12.21880545,1.325960584,1144.09663,12.54581834,2.980251531,1144.09663,11.18310189,1.41922724,1144.09663,-10.37509717,2.653566412,1144.09663,10.11030325,1.750457606,1144.09663,-26.83575961,9.056147383,1144.09663,-14.83215255,2.779850476,1144.09663,0.489616585,0.429015748,1144.09663,0.274744979,0.345498298,1144.09663,NA,NA,NA,NA,NA,NA,NA,NA,NA
9,-10.77967441,7.707448853,1145.103962,-8.138027133,5.755693443,1145.103962,1.953195344,0.730704165,1145.103962,3.985775548,2.352324593,1145.103962,6.759087282,4.229564227,1145.103962,0.695137876,0.458560306,1145.103962,-1.388180815,0.679716894,1145.103962,16.54411801,1.543330301,1145.103962,-18.74201541,4.208012854,1145.103962,-12.15855547,1.324675441,1145.103962,12.43354178,2.975021003,1145.103962,11.11039095,1.417903984,1145.103962,-10.29661854,2.64869449,1145.103962,10.03393578,1.74813331,1145.103962,-26.56733008,9.041459149,1145.103962,-14.84613835,2.777971672,1145.103962,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.125435717,0.301718107,1145.103962,NA,NA,NA
10,-13.25992742,9.01492951,1146.100192,-6.015883937,5.6546128,1146.100192,2.053553052,0.661378605,1146.100192,3.608520932,2.404517637,1146.100192,4.857322699,4.202315048,1146.100192,NA,NA,NA,-0.92421931,0.544778155,1146.100192,16.63565504,1.542614705,1146.100192,-18.87254676,4.212082746,1146.100192,-12.30582014,1.321796825,1146.100192,12.52745671,2.978790396,1146.100192,11.11949957,1.418793666,1146.100192,-10.33964034,2.65195119,1146.100192,10.05947756,1.749719209,1146.100192,-26.68031323,9.051417955,1146.100192,-14.81067824,2.778322549,1146.100192,NA,NA,NA,0.331880534,0.34253802,1146.100192,NA,NA,NA,NA,NA,NA,NA,NA,NA
