"Year","FSLann","FSLsumm","FSLaut","FSLwin","FSLspr","TannS","TsummS","TautS","TwinS","TsprS","TannW","TsummW","TautW","TwinW","TsprW"
1931,0.636083333333333,0.512,0.653,0.739333333333333,0.64,18.3858333333333,20.0766666666667,19.7666666666667,16.7233333333333,16.9766666666667,19.5616666666667,21.02,20.9233333333333,18.0433333333333,18.26
1932,0.657416666666667,0.641666666666667,0.708333333333333,0.762666666666667,0.517,18.62,20.03,20.0966666666667,17.39,16.9633333333333,19.7908333333333,20.9833333333333,21.2333333333333,18.7266666666667,18.22
1933,0.70825,0.659,0.763,0.751666666666667,0.659333333333333,18.685,19.86,20.22,17.5333333333333,17.1266666666667,19.8208333333333,20.8266666666667,21.3266666666667,18.8066666666667,18.3233333333333
1934,0.748083333333333,0.739666666666667,0.875333333333333,0.764333333333333,0.613,18.5933333333333,20.2166666666667,19.87,17.28,17.0066666666667,19.69,21.1333333333333,20.91,18.52,18.1966666666667
1935,0.670666666666667,0.62,0.732,0.737666666666667,0.593,18.255,19.36,19.8,17.2133333333333,16.6466666666667,19.3416666666667,20.2366666666667,20.8566666666667,18.49,17.7833333333333
1936,0.672,0.621,0.716,0.763666666666667,0.587333333333333,18.4533333333333,19.5633333333333,20.0566666666667,17.0566666666667,17.1366666666667,19.5425,20.4466666666667,21.1633333333333,18.2966666666667,18.2633333333333
1937,0.645833333333333,0.580333333333333,0.736333333333333,0.718333333333333,0.548333333333333,18.6958333333333,19.92,20.17,17.51,17.1833333333333,19.8141666666667,20.86,21.25,18.8166666666667,18.33
1938,0.668833333333333,0.589333333333333,0.695,0.740666666666667,0.650333333333333,18.9758333333333,20.03,20.41,17.87,17.5933333333333,20.1333333333333,20.9566666666667,21.5333333333333,19.2133333333333,18.83
1939,0.734833333333333,0.641666666666667,0.802666666666667,0.87,0.625,18.8258333333333,19.8733333333333,20.0066666666667,18.0566666666667,17.3666666666667,19.9025,20.7466666666667,21.0333333333333,19.29,18.54
1940,0.5955,0.593,0.624666666666667,0.651666666666667,0.512666666666667,18.8808333333333,19.78,20.0466666666667,17.7133333333333,17.9833333333333,20.0333333333333,20.72,21.17,19,19.2433333333333
1941,0.63025,0.512,0.740666666666667,0.748666666666667,0.519666666666667,18.9316666666667,20.2433333333333,20.2233333333333,17.6766666666667,17.5833333333333,20.0441666666667,21.18,21.3466666666667,18.93,18.72
1942,0.561333333333333,NA,NA,NA,NA,19.0366666666667,19.9366666666667,20.49,18.1333333333333,17.5866666666667,20.1783333333333,20.8833333333333,21.5033333333333,19.4633333333333,18.8633333333333
1943,0.671090909090909,NA,0.784,0.698666666666667,0.543666666666667,18.9441666666667,20.01,20.3733333333333,17.89,17.5033333333333,20.1341666666667,21.05,21.53,19.1633333333333,18.7933333333333
1944,0.668916666666667,0.617666666666667,0.693,0.723666666666667,0.641333333333333,19.0775,20.22,19.84,18.2366666666667,18.0133333333333,20.235,21.2,20.9266666666667,19.5433333333333,19.27
1945,0.745166666666667,0.694333333333333,0.786333333333333,0.854,0.646,19.2108333333333,20.3866666666667,20.7966666666667,18.34,17.32,20.3775,21.3333333333333,21.9266666666667,19.6866666666667,18.5633333333333
1946,0.691916666666667,0.655,0.749333333333333,0.791,0.572333333333333,18.7091666666667,19.98,20.4566666666667,17.29,17.11,19.83,20.88,21.54,18.59,18.31
1947,0.682916666666667,0.602,0.768333333333333,0.767333333333333,0.594,18.4316666666667,19.5733333333333,19.7666666666667,17.4466666666667,16.94,19.5233333333333,20.5366666666667,20.8166666666667,18.6466666666667,18.0933333333333
1948,0.709416666666667,0.62,0.769666666666667,0.815666666666667,0.632333333333333,18.8333333333333,19.82,20.5766666666667,17.7766666666667,17.16,19.9691666666667,20.7666666666667,21.69,19.0466666666667,18.3733333333333
1949,0.752416666666667,0.666,0.805666666666667,0.874666666666667,0.663333333333333,19.0191666666667,20.1933333333333,20.12,18.1733333333333,17.59,20.2291666666667,21.13,21.4366666666667,19.4266666666667,18.9233333333333
1950,0.71725,0.527333333333333,0.796,0.813333333333333,0.732333333333333,19.0941666666667,20.0833333333333,20.48,18.24,17.5733333333333,20.3941666666667,21.2766666666667,21.87,19.5766666666667,18.8533333333333
1951,0.6595,0.654,0.618666666666667,0.733333333333333,0.632,18.2566666666667,19.4833333333333,19.3633333333333,17.1433333333333,17.0366666666667,19.4533333333333,20.3433333333333,20.6366666666667,18.6166666666667,18.2166666666667
1952,0.680916666666667,0.583,0.760666666666667,0.774666666666667,0.605333333333333,18.5091666666667,19.4966666666667,20.11,17.7166666666667,16.7133333333333,19.5325,20.37,21.1733333333333,18.83,17.7566666666667
1953,0.67225,0.572,0.759666666666667,0.792666666666667,0.564666666666667,18.3641666666667,19.32,19.7266666666667,17.2066666666667,17.2033333333333,19.5691666666667,20.18,20.9433333333333,18.73,18.4233333333333
1954,0.684833333333333,0.627666666666667,0.728333333333333,0.752333333333333,0.631,18.2433333333333,19.6066666666667,19.3866666666667,16.8233333333333,17.1566666666667,19.4483333333333,20.6366666666667,20.5266666666667,18.28,18.35
1955,0.797166666666667,0.746,0.823,0.868,0.751666666666667,18.4075,19.62,19.75,17.39,16.87,19.6125,20.6333333333333,21.15,18.5533333333333,18.1133333333333
1956,0.744,0.697,0.780333333333333,0.826,0.672666666666667,18.4275,19.88,19.8566666666667,16.93,17.0433333333333,19.4108333333333,20.7533333333333,20.9133333333333,18.11,17.8666666666667
1957,0.703363636363636,0.629333333333333,0.739333333333333,0.828333333333333,NA,18.5183333333333,19.94,19.9333333333333,17.37,16.83,19.7433333333333,20.83,21.1766666666667,18.7133333333333,18.2533333333333
1958,0.68475,0.639666666666667,0.671666666666667,0.781,0.646666666666667,18.9216666666667,20.5633333333333,20.1,17.6133333333333,17.41,20.25,21.5666666666667,21.63,19.0266666666667,18.7766666666667
1959,0.69225,0.619666666666667,0.751,0.773,0.625333333333333,18.8625,19.6833333333333,20.0333333333333,18.14,17.5933333333333,20.3958333333333,20.9366666666667,21.66,19.7866666666667,19.2
