"Year","Annual","Summer","Autumn","Winter","Spring"
1897,0.568583333333333,0.521333333333333,0.62,0.629333333333333,0.503666666666667
1898,0.62075,0.577333333333333,0.615666666666667,0.713,0.577
1899,0.635333333333333,NA,0.691333333333333,0.666333333333333,NA
1900,0.6053,0.535666666666667,NA,NA,0.572333333333333
1901,0.616333333333333,0.531,0.676333333333333,0.71,0.548
1902,NaN,NA,NA,NA,NA
1903,0.610083333333333,0.587666666666667,0.547,0.655333333333333,0.650333333333333
1904,0.648916666666667,0.655,0.649,0.744666666666667,0.547
1905,0.612083333333333,0.547333333333333,0.691333333333333,0.664,0.545666666666667
1906,0.65,0.571,0.703333333333333,0.720333333333333,0.605333333333333
1907,NaN,NA,NA,NA,NA
1908,0.551083333333333,0.525666666666667,0.583333333333333,0.592666666666667,0.502666666666667
1909,0.6375,0.594333333333333,0.707666666666667,0.693333333333333,0.554666666666667
1910,NaN,NA,NA,NA,NA
1911,NaN,NA,NA,NA,NA
1912,0.645333333333333,NA,NA,NA,0.605
1913,0.801,NA,NA,NA,NA
1914,0.489222222222222,NA,NA,0.528666666666667,0.413666666666667
1915,0.57875,0.541,0.564666666666667,0.660666666666667,0.548666666666667
1916,0.611166666666667,0.544666666666667,0.602333333333333,0.674,0.623666666666667
1917,0.697181818181818,0.626,0.713666666666667,NA,0.677333333333333
1918,0.633583333333333,0.606,0.745,0.673666666666667,0.509666666666667
1919,0.522333333333333,0.434666666666667,0.568333333333333,0.607666666666667,0.478666666666667
1920,0.594166666666667,0.502333333333333,0.661333333333333,0.673333333333333,0.539666666666667
1921,0.675333333333333,0.607666666666667,0.762666666666667,0.736666666666667,0.594333333333333
1922,0.6175,0.560333333333333,0.679666666666667,0.656333333333333,0.573666666666667
1923,0.641583333333333,0.604,0.736,0.693333333333333,0.533
1924,0.67475,0.579666666666667,0.706333333333333,0.733666666666667,0.679333333333333
1925,0.639727272727273,0.638333333333333,0.727,0.621,NA
1926,NaN,NA,NA,NA,NA
1927,0.69725,0.624333333333333,0.786333333333333,0.763333333333333,0.615
1928,0.682333333333333,0.608,0.723333333333333,0.772,0.626
1929,0.662333333333333,0.605333333333333,0.768666666666667,0.738,0.537333333333333
1930,0.624833333333333,0.519666666666667,0.685666666666667,0.712,0.582
1931,0.636083333333333,0.512,0.653,0.739333333333333,0.64
1932,0.657416666666667,0.641666666666667,0.708333333333333,0.762666666666667,0.517
1933,0.70825,0.659,0.763,0.751666666666667,0.659333333333333
1934,0.748083333333333,0.739666666666667,0.875333333333333,0.764333333333333,0.613
1935,0.670666666666667,0.62,0.732,0.737666666666667,0.593
1936,0.672,0.621,0.716,0.763666666666667,0.587333333333333
1937,0.645833333333333,0.580333333333333,0.736333333333333,0.718333333333333,0.548333333333333
1938,0.668833333333333,0.589333333333333,0.695,0.740666666666667,0.650333333333333
1939,0.734833333333333,0.641666666666667,0.802666666666667,0.87,0.625
1940,0.5955,0.593,0.624666666666667,0.651666666666667,0.512666666666667
1941,0.63025,0.512,0.740666666666667,0.748666666666667,0.519666666666667
1942,0.561333333333333,NA,NA,NA,NA
1943,0.671090909090909,NA,0.784,0.698666666666667,0.543666666666667
1944,0.668916666666667,0.617666666666667,0.693,0.723666666666667,0.641333333333333
1945,0.745166666666667,0.694333333333333,0.786333333333333,0.854,0.646
1946,0.691916666666667,0.655,0.749333333333333,0.791,0.572333333333333
1947,0.682916666666667,0.602,0.768333333333333,0.767333333333333,0.594
1948,0.709416666666667,0.62,0.769666666666667,0.815666666666667,0.632333333333333
1949,0.752416666666667,0.666,0.805666666666667,0.874666666666667,0.663333333333333
1950,0.71725,0.527333333333333,0.796,0.813333333333333,0.732333333333333
1951,0.6595,0.654,0.618666666666667,0.733333333333333,0.632
1952,0.680916666666667,0.583,0.760666666666667,0.774666666666667,0.605333333333333
1953,0.67225,0.572,0.759666666666667,0.792666666666667,0.564666666666667
1954,0.684833333333333,0.627666666666667,0.728333333333333,0.752333333333333,0.631
1955,0.797166666666667,0.746,0.823,0.868,0.751666666666667
1956,0.744,0.697,0.780333333333333,0.826,0.672666666666667
1957,0.703363636363636,0.629333333333333,0.739333333333333,0.828333333333333,NA
1958,0.68475,0.639666666666667,0.671666666666667,0.781,0.646666666666667
1959,0.69225,0.619666666666667,0.751,0.773,0.625333333333333
1960,0.672416666666667,0.598666666666667,0.753666666666667,0.74,0.597333333333333
1961,0.669916666666667,0.659,0.729666666666667,0.72,0.571
1962,0.760333333333333,0.729333333333333,0.783666666666667,0.850666666666667,0.677666666666667
1963,0.790583333333333,0.746333333333333,0.867666666666667,0.908,0.640333333333333
1964,0.758083333333333,0.632,0.758333333333333,0.949666666666667,0.692333333333333
1965,0.709666666666667,0.689,NA,NA,0.649333333333333
1966,0.704333333333333,0.661333333333333,0.776666666666667,0.746666666666667,0.632666666666667
1967,0.7117,NA,0.743666666666667,0.779333333333333,0.619333333333333
1968,0.717666666666667,0.648,0.745333333333333,0.840666666666667,0.636666666666667
