"","Jan","Feb","Mar","Apr","May","Jun","Jul","Aug","Sep","Oct","Nov","Dec"
"1897",0.542,0.524,0.557,0.655,0.648,0.729,0.641,0.518,0.499,0.465,0.499,0.498
"1898",0.527,0.664,0.4,0.62,0.827,0.781,0.736,0.622,0.534,0.628,0.534,0.541
"1899",0.585,0.646,0.704,0.732,0.638,0.705,0.695,0.599,NA,NA,NA,NA
"1900",0.519,0.538,0.526,0.686,NA,0.803,0.714,NA,0.546,0.611,0.546,0.55
"1901",0.478,0.516,0.607,0.677,0.745,0.777,0.714,0.639,0.558,0.528,0.558,0.599
"1902",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1903",0.515,0.558,0.457,0.567,0.617,0.672,0.631,0.663,0.614,0.64,0.614,0.69
"1904",0.656,0.677,0.469,0.726,0.752,0.801,0.736,0.697,0.5,0.578,0.5,0.632
"1905",0.537,0.552,0.604,0.657,0.813,0.71,0.7,0.582,0.539,0.484,0.539,0.553
"1906",0.591,0.577,0.608,0.709,0.793,0.781,0.724,0.656,0.512,0.623,0.512,0.545
"1907",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1908",0.491,0.532,0.492,0.555,0.703,0.694,0.596,0.488,0.529,0.506,0.529,0.554
"1909",0.587,0.616,0.64,0.707,0.776,0.79,0.644,0.646,0.441,0.583,0.441,0.58
"1910",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1911",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1912",NA,NA,NA,NA,NA,NA,0.756,0.667,0.6,0.574,0.6,0.634
"1913",NA,NA,NA,0.742,0.796,0.865,NA,NA,NA,NA,NA,NA
"1914",NA,NA,NA,0.479,0.619,0.719,0.462,0.405,0.471,0.445,0.471,0.478
"1915",0.503,0.595,0.525,0.558,0.611,0.742,0.638,0.602,0.566,0.556,0.566,0.525
"1916",0.515,0.537,0.543,0.551,0.713,0.717,0.665,0.64,0.703,0.586,0.703,0.582
"1917",0.557,0.668,0.725,0.706,0.71,NA,0.899,0.719,0.552,0.659,0.552,0.653
"1918",0.714,0.693,0.688,0.749,0.798,0.824,0.603,0.594,0.474,0.478,0.474,0.411
"1919",0.392,0.446,0.528,0.581,0.596,0.63,0.627,0.566,0.476,0.484,0.476,0.466
"1920",0.591,0.48,0.623,0.613,0.748,0.728,0.642,0.65,0.535,0.544,0.535,0.436
"1921",0.51,0.718,0.747,0.701,0.84,0.755,0.778,0.677,0.574,0.58,0.574,0.595
"1922",0.553,0.556,0.656,0.676,0.707,0.688,0.689,0.592,0.606,0.559,0.606,0.572
"1923",0.631,0.695,0.734,0.72,0.754,0.794,0.689,0.597,0.509,0.496,0.509,0.486
"1924",0.501,0.615,0.603,0.719,0.797,0.766,0.741,0.694,0.692,0.698,0.692,0.623
"1925",0.662,0.667,0.724,0.695,0.762,0.715,0.637,0.511,0.549,0.529,0.549,0.586
