"","Year","SouthSST_Annual","SST_South_Months_Jun","LagSouthSST_Spring","LagSST_South_Months_Sep","LagSST_South_Months_Nov","FinSouthSST_AnnEsts","LagFinSouthSST_AnnEsts","LagFinSouthSST_SpringDat","FSLdat_Annual","FSLdat_Summer","FSLdat_Autumn","FSLdat_Spring","FSL_months_Jan","FSL_months_Feb","FSL_months_Mar","FSL_months_Apr","FSL_months_May","FSL_months_Oct","LagFSLdat_Annual","LagFSLdat_Summer","LagFSLdat_Autumn","LagFSLdat_Winter","LagFSLdat_Spring","LagFSL_months_Feb","LagFSL_months_Apr","LagFSL_months_May","LagFSL_months_Jun","LagFSL_months_Jul","LagFSL_months_Aug","LagFSL_months_Sep","LagFSL_months_Oct","LagFSL_months_Nov","FinFSLdat_AnnEsts","FinFSLdat_SummerDat","FinFSLdat_AutumnDat","FinFSLdat_SpringDat","LagFinFSLdat_AnnEsts","LagFinFSLdat_SummerDat","LagFinFSLdat_AutumnDat","LagFinFSLdat_SpringDat","FishName","OtoWidth","Ages","Site","FSLann","FSLsumm","FSLaut","FSLwin","FSLspr","TannS","TsummS","TautS","TwinS","TsprS","TannW","TsummW","TautW","TwinW","TsprW"
"1",1954,17.5425,16.91,16.6566666666667,15.8,16.42,17.7975,17.7975,16.19,0.684833333333333,0.627666666666667,0.728333333333333,0.631,0.599,0.625,0.668,0.709,0.808,0.62,0.797166666666667,0.746,0.823,0.868,0.751666666666667,0.784,0.849,0.904,0.815,0.828,0.961,0.739,0.74,0.739,0.733583333333333,0.595333333333333,0.728333333333333,0.751666666666667,0.789416666666667,0.714,0.823,0.672666666666667,"X050099",11.763,8,"South",0.684833333333333,0.627666666666667,0.728333333333333,0.752333333333333,0.631,18.2433333333333,19.6066666666667,19.3866666666667,16.8233333333333,17.1566666666667,19.4483333333333,20.6366666666667,20.5266666666667,18.28,18.35
"2",1954,17.5425,16.91,16.6566666666667,15.8,16.42,17.7975,17.7975,16.19,0.684833333333333,0.627666666666667,0.728333333333333,0.631,0.599,0.625,0.668,0.709,0.808,0.62,0.797166666666667,0.746,0.823,0.868,0.751666666666667,0.784,0.849,0.904,0.815,0.828,0.961,0.739,0.74,0.739,0.733583333333333,0.595333333333333,0.728333333333333,0.751666666666667,0.789416666666667,0.714,0.823,0.672666666666667,"X040070",37.438,1,"South",0.684833333333333,0.627666666666667,0.728333333333333,0.752333333333333,0.631,18.2433333333333,19.6066666666667,19.3866666666667,16.8233333333333,17.1566666666667,19.4483333333333,20.6366666666667,20.5266666666667,18.28,18.35
"3",1954,17.5425,16.91,16.6566666666667,15.8,16.42,17.7975,17.7975,16.19,0.684833333333333,0.627666666666667,0.728333333333333,0.631,0.599,0.625,0.668,0.709,0.808,0.62,0.797166666666667,0.746,0.823,0.868,0.751666666666667,0.784,0.849,0.904,0.815,0.828,0.961,0.739,0.74,0.739,0.733583333333333,0.595333333333333,0.728333333333333,0.751666666666667,0.789416666666667,0.714,0.823,0.672666666666667,"X040055",16.29333333,7,"South",0.684833333333333,0.627666666666667,0.728333333333333,0.752333333333333,0.631,18.2433333333333,19.6066666666667,19.3866666666667,16.8233333333333,17.1566666666667,19.4483333333333,20.6366666666667,20.5266666666667,18.28,18.35
"4",1954,17.5425,16.91,16.6566666666667,15.8,16.42,17.7975,17.7975,16.19,0.684833333333333,0.627666666666667,0.728333333333333,0.631,0.599,0.625,0.668,0.709,0.808,0.62,0.797166666666667,0.746,0.823,0.868,0.751666666666667,0.784,0.849,0.904,0.815,0.828,0.961,0.739,0.74,0.739,0.733583333333333,0.595333333333333,0.728333333333333,0.751666666666667,0.789416666666667,0.714,0.823,0.672666666666667,"X050263",43.68666667,1,"South",0.684833333333333,0.627666666666667,0.728333333333333,0.752333333333333,0.631,18.2433333333333,19.6066666666667,19.3866666666667,16.8233333333333,17.1566666666667,19.4483333333333,20.6366666666667,20.5266666666667,18.28,18.35
"5",1955,17.6891666666667,17.57,16.19,15.63,17.09,17.6041666666667,17.6041666666667,16.2433333333333,0.797166666666667,0.746,0.823,0.751666666666667,0.699,0.784,0.716,0.849,0.904,0.74,0.744,0.697,0.780333333333333,0.826,0.672666666666667,0.694,0.768,0.845,0.895,0.875,0.708,0.703,0.67,0.703,0.789416666666667,0.714,0.823,0.672666666666667,0.729583333333333,0.731,0.780333333333333,NA,"X050085",37.438,1,"South",0.797166666666667,0.746,0.823,0.868,0.751666666666667,18.4075,19.62,19.75,17.39,16.87,19.6125,20.6333333333333,21.15,18.5533333333333,18.1133333333333
"6",1955,17.6891666666667,17.57,16.19,15.63,17.09,17.6041666666667,17.6041666666667,16.2433333333333,0.797166666666667,0.746,0.823,0.751666666666667,0.699,0.784,0.716,0.849,0.904,0.74,0.744,0.697,0.780333333333333,0.826,0.672666666666667,0.694,0.768,0.845,0.895,0.875,0.708,0.703,0.67,0.703,0.789416666666667,0.714,0.823,0.672666666666667,0.729583333333333,0.731,0.780333333333333,NA,"X040070",34.689,2,"South",0.797166666666667,0.746,0.823,0.868,0.751666666666667,18.4075,19.62,19.75,17.39,16.87,19.6125,20.6333333333333,21.15,18.5533333333333,18.1133333333333
"7",1955,17.6891666666667,17.57,16.19,15.63,17.09,17.6041666666667,17.6041666666667,16.2433333333333,0.797166666666667,0.746,0.823,0.751666666666667,0.699,0.784,0.716,0.849,0.904,0.74,0.744,0.697,0.780333333333333,0.826,0.672666666666667,0.694,0.768,0.845,0.895,0.875,0.708,0.703,0.67,0.703,0.789416666666667,0.714,0.823,0.672666666666667,0.729583333333333,0.731,0.780333333333333,NA,"X040055",15.41133333,8,"South",0.797166666666667,0.746,0.823,0.868,0.751666666666667,18.4075,19.62,19.75,17.39,16.87,19.6125,20.6333333333333,21.15,18.5533333333333,18.1133333333333
"8",1955,17.6891666666667,17.57,16.19,15.63,17.09,17.6041666666667,17.6041666666667,16.2433333333333,0.797166666666667,0.746,0.823,0.751666666666667,0.699,0.784,0.716,0.849,0.904,0.74,0.744,0.697,0.780333333333333,0.826,0.672666666666667,0.694,0.768,0.845,0.895,0.875,0.708,0.703,0.67,0.703,0.789416666666667,0.714,0.823,0.672666666666667,0.729583333333333,0.731,0.780333333333333,NA,"X050263",35.80766667,2,"South",0.797166666666667,0.746,0.823,0.868,0.751666666666667,18.4075,19.62,19.75,17.39,16.87,19.6125,20.6333333333333,21.15,18.5533333333333,18.1133333333333
"9",1955,17.6891666666667,17.57,16.19,15.63,17.09,17.6041666666667,17.6041666666667,16.2433333333333,0.797166666666667,0.746,0.823,0.751666666666667,0.699,0.784,0.716,0.849,0.904,0.74,0.744,0.697,0.780333333333333,0.826,0.672666666666667,0.694,0.768,0.845,0.895,0.875,0.708,0.703,0.67,0.703,0.789416666666667,0.714,0.823,0.672666666666667,0.729583333333333,0.731,0.780333333333333,NA,"X040019",22.67633333,1,"South",0.797166666666667,0.746,0.823,0.868,0.751666666666667,18.4075,19.62,19.75,17.39,16.87,19.6125,20.6333333333333,21.15,18.5533333333333,18.1133333333333
"10",1955,17.6891666666667,17.57,16.19,15.63,17.09,17.6041666666667,17.6041666666667,16.2433333333333,0.797166666666667,0.746,0.823,0.751666666666667,0.699,0.784,0.716,0.849,0.904,0.74,0.744,0.697,0.780333333333333,0.826,0.672666666666667,0.694,0.768,0.845,0.895,0.875,0.708,0.703,0.67,0.703,0.789416666666667,0.714,0.823,0.672666666666667,0.729583333333333,0.731,0.780333333333333,NA,"X050099",12.02,9,"South",0.797166666666667,0.746,0.823,0.868,0.751666666666667,18.4075,19.62,19.75,17.39,16.87,19.6125,20.6333333333333,21.15,18.5533333333333,18.1133333333333
