"Years","AnnEsts","SummerDat","AutumnDat","SpringDat"
1897,0.58225,NA,0.62,0.577
1898,0.636666666666667,0.563,0.615666666666667,NA
1899,NA,0.590666666666667,0.691333333333333,0.572333333333333
1900,NA,NA,NA,0.548
1901,NA,0.514666666666667,0.676333333333333,NA
1902,NA,NA,NA,0.650333333333333
1903,0.668,NA,0.547,0.547
1904,0.631583333333333,0.674333333333333,0.649,0.545666666666667
1905,0.627583333333333,0.573666666666667,0.691333333333333,0.605333333333333
1906,NA,0.573666666666667,0.703333333333333,NA
1907,NA,NA,NA,0.502666666666667
1908,0.605166666666667,NA,0.583333333333333,0.554666666666667
1909,NA,0.585666666666667,0.707666666666667,NA
1910,NA,NA,NA,NA
1911,NA,NA,NA,0.605
1912,NA,NA,NA,NA
1913,NA,NA,NA,0.413666666666667
1914,0.51,NA,NA,0.548666666666667
1915,0.58225,0.525333333333333,0.564666666666667,0.623666666666667
1916,NA,0.525666666666667,0.602333333333333,0.677333333333333
1917,0.73075,0.602333333333333,0.713666666666667,0.509666666666667
1918,0.525833333333333,0.686666666666667,0.745,0.478666666666667
1919,0.573166666666667,0.416333333333333,0.568333333333333,0.539666666666667
1920,0.634833333333333,0.512333333333333,0.661333333333333,0.594333333333333
1921,0.639083333333333,0.554666666666667,0.762666666666667,0.573666666666667
1922,0.6585,0.568,0.679666666666667,0.533
1923,0.614333333333333,0.632666666666667,0.736,0.679333333333333
1924,0.693416666666667,0.534,0.706333333333333,NA
1925,NA,0.650666666666667,0.727,NA
1926,NA,NA,NA,0.615
1927,0.679,NA,0.786333333333333,0.626
1928,0.698666666666667,0.611666666666667,0.723333333333333,0.537333333333333
1929,0.613333333333333,0.638333333333333,0.768666666666667,0.582
1930,0.60175,0.487,0.685666666666667,0.64
1931,0.705416666666667,0.483666666666667,0.653,0.517
1932,0.669416666666667,0.691666666666667,0.708333333333333,0.659333333333333
1933,0.756,0.639,0.763,0.613
1934,0.6805,0.743666666666667,0.875333333333333,0.593
1935,0.675916666666667,0.64,0.732,0.587333333333333
1936,0.666583333333333,0.618666666666667,0.716,0.548333333333333
1937,0.622166666666667,0.582,0.736333333333333,0.650333333333333
1938,0.735416666666667,0.567333333333333,0.695,0.625
1939,0.656416666666667,0.673333333333333,0.802666666666667,0.512666666666667
1940,0.619916666666667,0.590333333333333,0.624666666666667,0.519666666666667
1941,NA,0.534,0.740666666666667,NA
1942,NA,NA,NA,0.543666666666667
1943,0.628916666666667,NA,0.784,0.641333333333333
1944,0.729916666666667,0.587333333333333,0.693,0.646
1945,0.707916666666667,0.707333333333333,0.786333333333333,0.572333333333333
1946,0.70025,0.66,0.749333333333333,0.594
1947,0.684583333333333,0.629,0.768333333333333,0.632333333333333
1948,0.728,0.616666666666667,0.769666666666667,0.663333333333333
1949,0.715916666666667,0.632,0.805666666666667,0.732333333333333
