"Years","AnnEsts","SummerDat","AutumnDat","SpringDat"
1931,17.6058333333333,NA,18.3833333333333,15.9133333333333
1932,17.4133333333333,19.08,19.25,16.0466666666667
1933,17.6416666666667,18.4866666666667,18.7866666666667,16.0133333333333
1934,17.44,19.17,18.8966666666667,15.7633333333333
1935,17.275,18.6766666666667,18.5966666666667,16.3366666666667
1936,17.6066666666667,18.4966666666667,18.7666666666667,16.41
1937,17.8491666666667,18.53,19.09,16.37
1938,17.7883333333333,19.0733333333333,19.2433333333333,16.3266666666667
1939,17.665,18.9333333333333,19.03,16.7066666666667
1940,17.8908333333333,18.6166666666667,18.9033333333333,16.5966666666667
1941,18.0175,19.1766666666667,18.8466666666667,16.4133333333333
1942,17.8141666666667,18.99,19.45,16.2366666666667
1943,17.615,18.7866666666667,18.9,16.56
1944,17.9183333333333,18.5866666666667,18.63,16.29
1945,17.9158333333333,19.02,19.1333333333333,15.9733333333333
1946,17.4816666666667,19.2733333333333,19.0033333333333,16.1133333333333
1947,17.9816666666667,18.5266666666667,18.8533333333333,16.6766666666667
1948,17.8966666666667,19.06,19.7833333333333,16.4066666666667
1949,18.2325,18.91,19.0133333333333,16.0933333333333
1950,17.6991666666667,19.3366666666667,19.7866666666667,16.33
1951,17.8408333333333,18.7633333333333,18.97,16.0933333333333
1952,17.6125,18.9666666666667,19.2033333333333,16.2233333333333
1953,17.4041666666667,18.17,19.02,16.6566666666667
1954,17.7975,18.4633333333333,18.42,16.19
1955,17.6041666666667,18.72,18.97,16.2433333333333
1956,17.6458333333333,18.7933333333333,18.62,16.3933333333333
1957,17.9616666666667,18.93,18.9366666666667,16.24
1958,17.5158333333333,19.4033333333333,19.0366666666667,16.6666666666667
1959,17.6125,18.3633333333333,18.8666666666667,16.4666666666667
1960,18.3383333333333,18.2,18.4233333333333,16.5666666666667
1961,18.09,19.7833333333333,19.93,16.79
1962,18.3175,19.05,19.5933333333333,17.01
1963,18.1366666666667,19.02,19.8133333333333,16.46
1964,18.135,19.2566666666667,18.9433333333333,16.6666666666667
1965,18.3766666666667,19.0266666666667,19.7166666666667,16.8733333333333
1966,18.3175,19.5833333333333,19.6,16.6
1967,17.7533333333333,19.4966666666667,19.5333333333333,16.4933333333333
1968,17.8866666666667,19.2433333333333,18.2433333333333,16.7466666666667
1969,17.8908333333333,19.0766666666667,19.2433333333333,16.1466666666667
1970,17.8516666666667,18.7833333333333,18.9133333333333,16.15
1971,17.8025,19.06,19.3666666666667,16.25
1972,17.8066666666667,18.66,19.21,16.2033333333333
1973,17.9591666666667,19.6133333333333,18.8366666666667,16.5733333333333
1974,17.8133333333333,19.23,19.5566666666667,16.9133333333333
1975,18.2933333333333,19.0133333333333,18.7866666666667,16.8333333333333
1976,17.8325,19.28,19.8433333333333,16.95
1977,18.3691666666667,19.11,18.47,16.8333333333333
1978,18.1358333333333,19.56,19.7266666666667,16.62
1979,18.0466666666667,19.68,19.2133333333333,16.3
1980,17.7141666666667,19.1466666666667,19.1366666666667,16.4433333333333
1981,17.56,18.94,18.8666666666667,16.48
1982,18.0566666666667,18.5566666666667,18.7166666666667,16.2733333333333
1983,17.9741666666667,19.58,19.3966666666667,17.0366666666667
1984,18.52,19.2566666666667,19.34,16.59
1985,17.9608333333333,19.48,19.9233333333333,16.0833333333333
1986,17.4941666666667,18.5,18.9466666666667,16.6466666666667
1987,18.0875,18.0133333333333,18.8166666666667,16.5766666666667
1988,18.1841666666667,18.7666666666667,19.43,16.69
1989,18.2016666666667,18.9,19.7433333333333,16.11
1990,17.9225,19.1666666666667,19.5066666666667,16.8433333333333
1991,18.2441666666667,18.83,19.5033333333333,15.76
1992,17.4733333333333,19.13,19.5066666666667,16.2833333333333
1993,17.7191666666667,18.6166666666667,18.4766666666667,16.74
1994,18.09,18.26,19.5166666666667,16.46
1995,18.1858333333333,19.13,19.2533333333333,17.25
1996,18.5466666666667,18.8866666666667,19.7533333333333,16.8633333333333
1997,18.1158333333333,19.54,19.6566666666667,16.6933333333333
1998,18.1675,19.03,19.2566666666667,16.76
1999,18.34,18.83,19.75,16.5266666666667
2000,17.8933333333333,19.6233333333333,19.6466666666667,16.1366666666667
2001,17.8875,19,18.8566666666667,15.88
2002,17.6658333333333,18.77,19.0766666666667,16.27
2003,17.7991666666667,18.6666666666667,19.1366666666667,16.4633333333333
2004,17.9308333333333,18.8433333333333,19.32,16.18
2005,17.6133333333333,19.0166666666667,18.9733333333333,16.59
2006,18.0691666666667,18.23,18.9666666666667,16.5
2007,18.1466666666667,19.2266666666667,19.2566666666667,16.5566666666667
2008,18.1541666666667,19.2366666666667,19.7166666666667,16.43
2009,18.0216666666667,19.32,19.23,16.8933333333333
2010,18.5225,19.3466666666667,19.29,17.05
2011,18.5866666666667,19.6033333333333,19.9933333333333,16.83
2012,18.5075,19.56,20.0333333333333,16.9
2013,NA,19.8133333333333,19.9166666666667,NA
