"Years","AnnEsts","SummerDat","AutumnDat","SpringDat"
1931,19.7275,NA,20.9233333333333,18.22
1932,19.7775,21.2566666666667,21.2333333333333,18.3233333333333
1933,19.7491666666667,20.8133333333333,21.3266666666667,18.1966666666667
1934,19.5191666666667,21,20.91,17.7833333333333
1935,19.3975,20.5533333333333,20.8566666666667,18.2633333333333
1936,19.7366666666667,20.3233333333333,21.1633333333333,18.33
1937,19.9258333333333,20.75,21.25,18.83
1938,20.025,20.8966666666667,21.5333333333333,18.54
1939,19.8058333333333,20.9,21.0333333333333,19.2433333333333
1940,20.2208333333333,20.5,21.17,18.72
1941,20.0158333333333,21.3166666666667,21.3466666666667,18.8633333333333
1942,20.1983333333333,20.7633333333333,21.5033333333333,18.7933333333333
1943,20.0391666666667,21.1366666666667,21.53,19.27
1944,20.5508333333333,21.03,20.9266666666667,18.5633333333333
1945,20.1783333333333,21.4,21.9266666666667,18.31
1946,19.5583333333333,21.1466666666667,21.54,18.0933333333333
1947,19.8116666666667,20.5266666666667,20.8166666666667,18.3733333333333
1948,19.9341666666667,20.7733333333333,21.69,18.9233333333333
1949,20.4525,20.7733333333333,21.4366666666667,18.8533333333333
1950,19.8116666666667,21.5766666666667,21.87,18.2166666666667
1951,19.6508333333333,20.4433333333333,20.6366666666667,17.7566666666667
1952,19.3391666666667,20.5733333333333,21.1733333333333,18.4233333333333
1953,19.5341666666667,19.9433333333333,20.9433333333333,18.35
1954,19.6158333333333,20.6233333333333,20.5266666666667,18.1133333333333
1955,19.5833333333333,20.6033333333333,21.15,17.8666666666667
1956,19.5125,20.8166666666667,20.9133333333333,18.2533333333333
1957,20.035,20.54,21.1766666666667,18.7766666666667
1958,20.18,21.51,21.63,19.2
1959,19.9058333333333,21.1466666666667,21.66,18.6333333333333
1960,20.0816666666667,20.49,20.56,18.4633333333333
1961,20.0166666666667,21.58,21.7,18.5133333333333
1962,20.1258333333333,21.35,21.81,18.67
1963,19.8183333333333,20.8833333333333,22.0066666666667,17.8133333333333
1964,19.6841666666667,20.8333333333333,21.0066666666667,18.33
1965,19.8991666666667,20.67,21.3333333333333,18.0833333333333
1966,19.9366666666667,21.26,21.1633333333333,18.7533333333333
1967,19.4533333333333,21.2833333333333,21.4966666666667,18.21
1968,19.4333333333333,20.7333333333333,19.7966666666667,18.4933333333333
1969,19.5983333333333,20.6133333333333,20.5966666666667,18.3333333333333
1970,19.7833333333333,20.5066666666667,20.7466666666667,17.7633333333333
1971,19.6333333333333,21.02,21.1833333333333,18.0166666666667
1972,19.565,20.69,21.3766666666667,18.25
1973,19.6291666666667,21.3033333333333,20.5733333333333,18.3466666666667
1974,19.7858333333333,20.9466666666667,21.08,18.87
1975,20.1616666666667,20.9066666666667,21.2733333333333,18.5433333333333
1976,19.5291666666667,21.2166666666667,21.5166666666667,18.5033333333333
1977,20.2508333333333,20.6366666666667,20.1333333333333,18.81
1978,20,21.4733333333333,22.0466666666667,18.77
1979,20.185,21.0433333333333,21.14,18.3566666666667
1980,19.8716666666667,21.22,21.5966666666667,18.2366666666667
1981,19.5316666666667,20.67,21.5133333333333,18.5966666666667
1982,20.4491666666667,20.32,20.9866666666667,19.75
1983,20.6891666666667,21.55,22.28,19.1766666666667
1984,20.3966666666667,21.7633333333333,21.6233333333333,18.9233333333333
1985,20.0175,20.9366666666667,21.64,18.0266666666667
1986,19.7341666666667,20.9266666666667,20.9533333333333,19.02
1987,20.5575,20.0233333333333,21.6433333333333,19.43
1988,20.8975,21.1633333333333,22.16,18.9133333333333
1989,20.4066666666667,21.81,22.7833333333333,18.7566666666667
1990,20.2266666666667,21.2533333333333,21.94,18.92
1991,20.1933333333333,21.04,21.5966666666667,18.6166666666667
1992,19.8425,21.1433333333333,21.6266666666667,18.4533333333333
1993,20.22,20.6033333333333,20.8633333333333,19.2433333333333
1994,20.6808333333333,21,22.3033333333333,19.1766666666667
1995,20.6658333333333,21.58,22.08,19.46
1996,20.7,21.52,22.17,19.31
1997,20.8508333333333,21.83,21.99,19.4066666666667
1998,20.9391666666667,21.5666666666667,22.5,19.4
1999,21.0666666666667,21.14,22.69,19.3533333333333
2000,20.6616666666667,22.3366666666667,22.4066666666667,19.0166666666667
2001,20.3383333333333,21.5066666666667,21.9333333333333,18.41
2002,20.2833333333333,20.8566666666667,21.6833333333333,18.41
2003,20.2566666666667,21.17,21.91,18.63
2004,20.3233333333333,21.0533333333333,22.0533333333333,18.34
2005,20,20.89,21.8033333333333,19.02
2006,20.3941666666667,20.6466666666667,21.6166666666667,19.36
2007,20.8691666666667,21.3666666666667,21.8833333333333,19.1533333333333
2008,20.4616666666667,21.9066666666667,22.3233333333333,18.7133333333333
2009,20.0883333333333,21.5266666666667,21.7966666666667,19.4133333333333
2010,21.0508333333333,21.21,21.51,19.56
2011,21.1308333333333,22.3033333333333,22.9133333333333,18.8366666666667
2012,20.7183333333333,22.43,22.7066666666667,19.0733333333333
2013,NA,22.16,22.19,NA
