"SouthFOX...1.","xxxstd","samp.depth"
2005,0.989159620262476,26
2004,0.948416347714777,29
2003,0.946879789687441,29
2002,0.986483215114463,29
2001,1.06083972453915,29
2000,1.05931271498139,29
1999,1.0489417574343,29
1998,1.02167123296064,29
1997,1.0768061668101,29
1996,1.00236525350171,29
1995,1.02511609005552,29
1994,0.941911888792225,29
1993,0.876658701925801,29
1992,0.903715933895099,29
1991,0.941333497285549,29
1990,1.05157413354593,29
1989,1.03185466283422,29
1988,1.01809720895332,29
1987,0.964460265487557,29
1986,1.02762150278119,29
1985,1.03691075593733,29
1984,1.06141931996428,29
1983,1.06988070562353,29
1982,0.989263949296574,29
1981,0.972522130028051,29
1980,0.960242850340791,29
1979,0.982691088949383,29
1978,1.02958157801626,29
1977,1.01127845821588,29
1976,1.00637037492716,29
1975,1.01802976631311,29
1974,0.980123298333088,28
1973,0.950480657191229,28
1972,1.01180935793278,27
1971,0.999949459720389,26
1970,0.987255401381551,25
1969,1.01650456192837,25
1968,0.937054842633083,23
1967,0.942547792463017,23
1966,0.993541118184599,22
1965,1.02005896911932,21
1964,0.982728606454835,16
1963,0.980106831640235,15
1962,0.924509797863859,14
1961,1.01465960035301,12
1960,1.0414043445521,11
1959,0.987388956257768,9
1958,0.95377784111523,8
1957,1.01923592812698,8
1956,1.05477683550062,8
1955,0.975522818036873,7
1954,0.977467559801285,6
