"Year","Jan","Feb","Mar","Apr","May","Jun","Jul","Aug","Sep","Oct","Nov","Dec"
1931,20.98,21.42,21.31,21.29,20.17,19.09,17.9,17.14,17.6,17.97,19.21,20.66
1932,20.98,22.13,21.76,21.34,20.6,19.44,18.75,17.99,17.92,18.13,18.61,19.84
1933,20.53,22.07,21.97,21.3,20.71,19.51,18.9,18.01,18.1,18.32,18.55,19.88
1934,21.04,22.08,21.64,21.01,20.08,19.38,18.5,17.68,17.63,18.08,18.88,20.28
1935,20.39,20.99,21.07,20.96,20.54,19.23,18.75,17.49,17.39,17.73,18.23,19.33
1936,20.37,21.27,21.76,21.35,20.38,18.72,18.24,17.93,17.65,18.31,18.83,19.7
1937,20.8,21.75,21.67,21.43,20.65,19.88,18.76,17.81,18.28,17.88,18.83,20.03
1938,20.83,21.83,21.74,21.56,21.3,20.26,19.15,18.23,17.89,19.03,19.57,20.21
1939,20.89,21.6,21.39,21.14,20.57,20.63,19.06,18.18,17.97,18.66,18.99,19.75
1940,20.78,20.97,21.42,21.14,20.95,19.8,19,18.2,18.75,19.2,19.78,20.41
1941,21.61,21.93,21.96,21.48,20.6,19.73,19.02,18.04,18.23,18.79,19.14,20
1942,20.95,21.34,21.84,21.41,21.26,20.17,19.25,18.97,18.54,18.6,19.45,20.36
1943,21.24,21.81,21.87,21.69,21.03,19.57,19.19,18.73,18.53,18.79,19.06,20.1
1944,21.3,21.69,20.72,21.39,20.67,20.3,19.44,18.89,18.72,18.96,20.13,20.61
1945,21.6,21.99,22.06,22.18,21.54,20.49,19.68,18.89,18.36,18.15,19.18,20.41
1946,21.36,21.67,21.94,21.89,20.79,19.82,18.07,17.88,17.85,17.92,19.16,19.61
1947,20.41,21.56,21.02,20.82,20.61,19.79,18.3,17.85,17.62,17.76,18.9,19.64
1948,20.99,21.69,22.22,21.69,21.16,19.92,18.81,18.41,18.19,18.22,18.71,19.62
1949,20.86,21.84,21.88,21.85,20.58,20.24,19.19,18.85,18.88,18.51,19.38,20.69
1950,21.67,22.37,22.17,21.83,21.61,20.28,19.39,19.06,18.69,18.92,18.95,19.79
1951,20.57,20.97,20.89,20.62,20.4,19.49,18.8,17.56,17.82,18.09,18.74,19.49
1952,20.89,21.34,21.56,21.19,20.77,19.56,18.86,18.07,17.3,17.98,17.99,18.88
