"Year","SouthSST_Annual","SST_South_Months_Jun","LagSouthSST_Spring","LagSST_South_Months_Sep","LagSST_South_Months_Nov","FinSouthSST_AnnEsts","LagFinSouthSST_AnnEsts","LagFinSouthSST_SpringDat","FSLdat_Annual","FSLdat_Summer","FSLdat_Autumn","FSLdat_Spring","FSL_months_Jan","FSL_months_Feb","FSL_months_Mar","FSL_months_Apr","FSL_months_May","FSL_months_Oct","LagFSLdat_Annual","LagFSLdat_Summer","LagFSLdat_Autumn","LagFSLdat_Winter","LagFSLdat_Spring","LagFSL_months_Feb","LagFSL_months_Apr","LagFSL_months_May","LagFSL_months_Jun","LagFSL_months_Jul","LagFSL_months_Aug","LagFSL_months_Sep","LagFSL_months_Oct","LagFSL_months_Nov","FinFSLdat_AnnEsts","FinFSLdat_SummerDat","FinFSLdat_AutumnDat","FinFSLdat_SpringDat","LagFinFSLdat_AnnEsts","LagFinFSLdat_SummerDat","LagFinFSLdat_AutumnDat","LagFinFSLdat_SpringDat"
1955,17.6891666666667,17.57,16.19,15.63,17.09,17.6041666666667,17.6041666666667,16.2433333333333,0.797166666666667,0.746,0.823,0.751666666666667,0.699,0.784,0.716,0.849,0.904,0.74,0.744,0.697,0.780333333333333,0.826,0.672666666666667,0.694,0.768,0.845,0.895,0.875,0.708,0.703,0.67,0.703,0.789416666666667,0.714,0.823,0.672666666666667,0.729583333333333,0.731,0.780333333333333,NA
1956,17.525,17.29,16.2433333333333,15.94,16.94,17.6458333333333,17.6458333333333,16.3933333333333,0.744,0.697,0.780333333333333,0.672666666666667,0.744,0.694,0.728,0.768,0.845,0.67,0.703363636363636,0.629333333333333,0.739333333333333,0.828333333333333,NA,0.679,0.696,0.822,0.928,0.777,0.78,0.562,NA,0.562,0.729583333333333,0.731,0.780333333333333,NA,NA,0.669333333333333,0.739333333333333,0.646666666666667
1957,17.9025,17.9,16.3933333333333,16.3,16.6,17.9616666666667,17.9616666666667,16.24,0.703363636363636,0.629333333333333,0.739333333333333,NA,0.676,0.679,0.7,0.696,0.822,NA,0.68475,0.639666666666667,0.671666666666667,0.781,0.646666666666667,0.567,0.619,0.753,0.758,0.872,0.713,0.727,0.626,0.727,NA,0.669333333333333,0.739333333333333,0.646666666666667,0.717916666666667,0.571333333333333,0.671666666666667,0.625333333333333
1958,17.7083333333333,17.4,16.24,16.56,16.85,17.5158333333333,17.5158333333333,16.6666666666667,0.68475,0.639666666666667,0.671666666666667,0.646666666666667,0.614,0.567,0.643,0.619,0.753,0.626,0.69225,0.619666666666667,0.751,0.773,0.625333333333333,0.689,0.819,0.815,0.806,0.792,0.721,0.633,0.653,0.633,0.717916666666667,0.571333333333333,0.671666666666667,0.625333333333333,0.682166666666667,0.677,0.751,0.597333333333333
1959,17.8041666666667,17.83,16.6666666666667,16.04,16.99,17.6125,17.6125,16.4666666666667,0.69225,0.619666666666667,0.751,0.625333333333333,0.604,0.689,0.619,0.819,0.815,0.653,0.672416666666667,0.598666666666667,0.753666666666667,0.74,0.597333333333333,0.669,0.761,0.829,0.754,0.804,0.662,0.552,0.603,0.552,0.682166666666667,0.677,0.751,0.597333333333333,0.683416666666667,0.594,0.753666666666667,0.571
1960,17.54,17.35,16.4666666666667,16.17,17.29,18.3383333333333,18.3383333333333,16.5666666666667,0.672416666666667,0.598666666666667,0.753666666666667,0.597333333333333,0.547,0.669,0.671,0.761,0.829,0.603,0.669916666666667,0.659,0.729666666666667,0.72,0.571,0.73,0.687,0.79,0.794,0.687,0.679,0.551,0.548,0.551,0.683416666666667,0.594,0.753666666666667,0.571,0.700833333333333,0.653333333333333,0.729666666666667,0.677666666666667
1961,18.3183333333333,18.4,16.5666666666667,16.62,17.3,18.09,18.09,16.79,0.669916666666667,0.659,0.729666666666667,0.571,0.65,0.73,0.712,0.687,0.79,0.548,0.760333333333333,0.729333333333333,0.783666666666667,0.850666666666667,0.677666666666667,0.711,0.763,0.908,0.921,0.856,0.775,0.685,0.67,0.685,0.700833333333333,0.653333333333333,0.729666666666667,0.677666666666667,0.792,0.686333333333333,0.783666666666667,0.640333333333333
1962,18.2966666666667,18.38,16.79,16.57,17.61,18.3175,18.3175,17.01,0.760333333333333,0.729333333333333,0.783666666666667,0.677666666666667,0.751,0.711,0.68,0.763,0.908,0.67,0.790583333333333,0.746333333333333,0.867666666666667,0.908,0.640333333333333,0.804,0.802,0.976,0.966,0.927,0.831,0.641,0.634,0.641,0.792,0.686333333333333,0.783666666666667,0.640333333333333,0.74475,0.757,0.867666666666667,0.692333333333333
1963,18.3866666666667,18.48,17.01,16.23,16.9,18.1366666666667,18.1366666666667,16.46,0.790583333333333,0.746333333333333,0.867666666666667,0.640333333333333,0.741,0.804,0.825,0.802,0.976,0.634,0.758083333333333,0.632,0.758333333333333,0.949666666666667,0.692333333333333,0.657,0.779,0.813,1.049,0.954,0.846,0.664,0.69,0.664,0.74475,0.757,0.867666666666667,0.692333333333333,NA,0.644666666666667,0.758333333333333,0.649333333333333
1964,17.8641666666667,17.75,16.46,16.2,17,18.135,18.135,16.6666666666667,0.758083333333333,0.632,0.758333333333333,0.692333333333333,0.583,0.657,0.683,0.779,0.813,0.69,0.709666666666667,0.689,NA,NA,0.649333333333333,0.645,0.797,NA,0.872,NA,NA,0.667,0.69,0.667,NA,0.644666666666667,0.758333333333333,0.649333333333333,NA,0.657333333333333,NA,0.632666666666667
