"","Year","FishName","Ages","Site","OtoWidth","FSLann","TannS","TsummS","TautS","TwinS","TsprS","TannW","TsummW","TautW","TwinW","TsprW"
"17",1947,"X050099",1,"South",0.694459448506919,0.964744516072222,0.991640209235759,0.985506503167696,0.992507035431442,1.00306337593216,0.986160531020069,0.985012831081783,0.983485613403024,0.980419698802512,0.992927633994543,0.983967481043542
"23",1948,"X050099",2,"South",0.582939862489498,1.00183665861051,1.0132874839695,0.99787503763879,1.03323217676075,1.02215012582013,0.999012287171597,1.00757253308041,0.994461032056793,1.02168832460684,1.01433973000077,0.999254512360899
"25",1948,"X040055",1,"South",1.56838922454111,1.00172210470457,1.01329989046404,0.997858036253465,1.03325020596266,1.02218812234486,0.999027101037609,1.00759453666244,0.994447994403394,1.0217338389429,1.01437714224169,0.99927444391253
"26",1949,"X050099",3,"South",0.650786832974917,1.06237893881079,1.0233046427734,1.01664522071834,1.01032765971841,1.0450165399484,1.02406858679506,1.02072463456465,1.01184021060495,1.00982275632335,1.03463405583264,1.02919767421108
"30",1949,"X040055",2,"South",1.27636465535264,1.06213617386834,1.02332967430338,1.01661056945408,1.0103628941534,1.04509419612977,1.0240989261433,1.02076920070846,1.0118136762048,1.00991273019889,1.03471035282383,1.02923870209756
"31",1950,"X040055",3,"South",1.0660033896308,1.01243592979345,1.0273713403034,1.01106412648612,1.02844991927596,1.04894747590187,1.02313615622031,1.02910637482289,1.0188301545422,1.03035064664796,1.04271892593784,1.02544162107858
"34",1950,"X050099",4,"South",0.672354740259579,1.01226256857473,1.02739015859418,1.01103827052856,1.02847678947014,1.04900589168791,1.02315885689326,1.02914005563825,1.01881011246895,1.0304194952257,1.04277656464452,1.02547224784353
"38",1951,"X040055",4,"South",1.07887341486252,0.930547049050019,0.982351172587272,0.980799520643498,0.972433196546212,0.986008329496057,0.991942223327175,0.981706093885685,0.974092902504012,0.972396801413974,0.991713964525048,0.990882033639967
"42",1951,"X050099",5,"South",0.624995335666238,0.930334972570668,0.982375071144454,0.980766045345549,0.972466979331892,0.986081398893451,0.991971470205029,0.98174887400103,0.974067339152274,0.972483415800275,0.991786954766419,0.990921397357463
"45",1952,"X050099",6,"South",0.559031108406837,0.960382720781732,0.995980001883056,0.981412090632324,1.00999240731257,1.01911599479172,0.973166644435047,0.985776356731828,0.975324972587368,0.997839967696764,1.00320742868061,0.96592778180852
"48",1952,"X040055",5,"South",0.891112668774027,0.960218849471959,0.995998089965519,0.981386939990458,1.0100186366017,1.01917249482729,0.973188080831129,0.985808519133278,0.975305763143802,0.997906601448161,1.00326270519752,0.965956478431057
"51",1953,"X050099",7,"South",0.566410808644889,0.947835632940467,0.988213386095171,0.972469285889189,0.990791520846134,0.989888932794931,1.00174194099466,0.987691285743296,0.96618961980966,0.987132520939994,0.997989633423548,1.00225264213107
"58",1953,"X040055",6,"South",0.86390871662375,0.947459305772887,0.988254960071862,0.972411051191245,0.990851252257244,0.990016459371608,1.0017931289988,0.987766280469232,0.966145193944816,0.98728624057693,0.998117560218302,1.00232182215773
"59",1954,"X050099",8,"South",0.509632763809218,0.965139400149362,0.981758273465043,0.986831062506802,0.973781744867435,0.967978457368855,0.999082881742251,0.981677772537837,0.988002247179829,0.967665742839543,0.974154965357729,0.998341941411592
"62",1954,"X050263",1,"South",1.89382203604331,0.964975542583897,0.981775862162257,0.986805711735067,0.973806789269274,0.968031695177535,0.999104653021804,0.981709645817007,0.987982779482897,0.967730285260289,0.974208331596649,0.998371367400525
"65",1954,"X040055",7,"South",0.706726371232981,0.964811932610294,0.981793390364415,0.986780352676352,0.973831771273724,0.968084820581975,0.999126366506109,0.98174148282805,0.987963318828176,0.967794813766248,0.974261617194292,0.998400737124806
"67",1954,"X040070",1,"South",1.6245064592636,0.96470300529142,0.98180504102418,0.986763443235324,0.973848389906246,0.968120171490582,0.99914080871772,0.981762687058655,0.987950350966082,0.967837825329848,0.974297093528813,0.998420284465839
"70",1955,"X050099",9,"South",0.521872626863426,1.12275348889166,0.990657609710421,0.987409098142698,0.992125013466947,1.00078443255848,0.982467652422067,0.990081955489938,0.987771335885551,0.997294624794887,0.988919292379479,0.985572185593535
"76",1955,"X050085",1,"South",1.62732939914688,1.12237469164551,0.990692566723912,0.987358329376782,0.992175479775475,1.00089343319069,0.982509958981063,0.990145932017,0.987732523080101,0.997427526026618,0.989026873500874,0.985629783946186
"77",1955,"X040070",2,"South",1.50812884147325,1.12231170175137,0.990698366228851,0.98734986941288,0.992183862906787,1.00091154421469,0.982516984089471,0.990156580595406,0.987726064242938,0.997449673129732,0.989044764683801,0.98563935852727
"79",1955,"X040055",8,"South",0.670277406867544,1.12218584906805,0.990709941998706,0.98733295200168,0.992200604811918,1.00094771641501,0.982531011485473,0.990177865844702,0.987713156853333,0.997493965387199,0.989080512406151,0.985658485617754
"80",1955,"X040019",1,"South",0.986440889863629,1.12212298708202,0.990715718191911,0.987324494847234,0.992208963502764,1.00096577713128,0.982538013677138,0.990188502584391,0.987706708706742,0.997516110703309,0.989098368692601,0.985668038033064
"81",1955,"X050263",2,"South",1.5579665676008,1.12206016846615,0.990721486547428,0.98731603892839,0.992217313967659,1.0009838206177,0.982545008142592,0.990199135451527,0.98770026453561,0.997538255586788,0.989116213099325,0.985677582972781
"82",1956,"X050099",10,"South",0.494723795058923,1.04716628991543,0.991803685713023,1.00039117114635,0.997584512035544,0.974523361913379,0.992647371992008,0.980027875258785,0.993438085890239,0.98639778571404,0.96549861107515,0.972264071650129
"85",1956,"X040070",3,"South",0.935679682771711,1.04699077218821,0.991820938455481,1.00036548152302,0.997609623639866,0.97457590531967,0.992668500122481,0.980059412212724,0.993418681026357,0.986463474702969,0.965550758644569,0.972292249561622
"86",1956,"X050263",3,"South",1.0969279530183,1.04693234926982,0.991826673465047,1.00035692221062,0.997617977344202,0.9745933843551,0.992675526966728,0.98006991729273,0.993412222624134,0.986485370926434,0.965568117081167,0.972301627236967
"87",1956,"X040046",1,"South",1.29712290839468,1.04687396815863,0.991832400492946,1.00034836511469,0.997626322581673,0.974610845342183,0.992682545840511,0.980080418861841,0.993405769537765,0.986507267258135,0.965585463345558,0.972310997425937
"88",1956,"X050085",2,"South",1.51133707905955,1.04681562901941,0.991838119525208,1.00033981039629,0.997634659322338,0.974628288093116,0.992689556724612,0.98009091699375,0.993399321993991,0.986529163800922,0.965602797375455,0.972320360137419
"91",1956,"X040019",2,"South",1.07014713740233,1.04664086485859,0.991855228545327,1.00031416211549,0.99765961827502,0.974680505162249,0.992710541279702,0.980122391591557,0.993380014914943,0.986594855784724,0.965654725584865,0.972348403617526
"95",1956,"X040055",9,"South",0.831912909449483,1.04640844098804,0.991877928213634,1.00028000744611,0.997692776232107,0.974749862520031,0.992738408048492,0.980164315102202,0.993354363838116,0.986682454995212,0.965723789883573,0.972385692198627
"97",1957,"X050263",4,"South",1.21767063456634,0.989145278501677,0.996778477240112,1.00328185371151,1.0015614625167,1.00011845603417,0.980325900187636,0.996975451579793,0.99701117014032,0.999150770968233,0.997932413566504,0.9934488640669
"99",1957,"X050099",11,"South",0.515170795421625,0.989035818189308,0.996789802483535,1.00326476220464,1.00157801796991,1.00015383576782,0.980339579578567,0.996996746152598,0.996998372768859,0.999195134607347,0.997967968484834,0.993467839570932
"104",1957,"X040019",3,"South",1.22758214122593,0.988762878118335,0.996817975440626,1.00322211157875,1.00161925140846,1.00024192459368,0.980373639856042,0.997049947098922,0.996966531434316,0.999306076939637,0.998056634626337,0.993515158812664
"106",1957,"X040070",4,"South",1.27100573618236,0.988653987419398,0.996829188852434,1.00320508583206,1.00163568214836,1.00027701330461,0.980387209427929,0.997071216102917,0.996953861002894,0.999350470154312,0.998092013298297,0.993534040705571
"107",1957,"X040046",2,"South",1.29675316932257,0.988599603444195,0.996834783672178,1.00319658096096,1.00164388398534,1.00029452569972,0.980393982726068,0.99708184871364,0.996947540963738,0.999372670822165,0.998109683958311,0.99354347223811
"108",1957,"X050085",3,"South",0.939853889827997,0.988545260472544,0.996840370592264,1.00318808162463,1.00165207676186,1.00031201662123,0.980400748449476,0.997092480248237,0.996941231382241,0.999394874388238,0.99812734221439,0.993552897634284
"109",1957,"X040055",10,"South",0.950155892105117,0.988490958574307,0.996845949632216,1.00317958797178,1.00166026044839,1.00032948594406,0.980407506668231,0.997103110846364,0.996934932514501,0.999417080996211,0.99814498810232,0.993562317001161
"111",1958,"X040055",11,"South",0.889927667772046,0.962226175795534,1.01856884856517,1.03452193118244,1.01005182284259,1.01437829101957,1.01420853390897,1.02271324438837,1.03217918397051,1.02085718540774,1.01489362782077,1.02206766815812
"115",1958,"X050263",5,"South",1.15744156586736,0.962015440144457,1.01859150688809,1.03448700770169,1.01008466465202,1.01444874630524,1.01423636298228,1.02275684815661,1.03215331083228,1.02094797683826,1.01496516873481,1.02210632004496
"116",1958,"X050103",1,"South",0.994813383864663,0.961962857521631,1.01859715157975,1.03447829356831,1.01009285167338,1.01446630339286,1.01424330207989,1.02276774876309,1.03214687412457,1.02097068456575,1.01498302301635,1.0221159691246
"118",1958,"X050099",12,"South",0.430040663056504,0.961857814713832,1.01860841707655,1.03446088609924,1.01010919728341,1.01450134845774,1.01425715896683,1.02278955037466,1.03213404016166,1.02101611269436,1.01501869456607,1.02213525121237
"120",1958,"X040046",3,"South",0.987256215492768,0.961752936168272,1.01861965062047,1.0344435068785,1.01012550463663,1.01453630032827,1.01427098785045,1.02281135317576,1.03212126013788,1.02106155841489,1.01505431681313,1.02215451233982
"122",1958,"X040070",5,"South",1.00016767184438,0.961648223253258,1.01863085200632,1.03442615637738,1.01014177327404,1.0145711576852,1.01428478915901,1.02283315785775,1.03210853551625,1.02110702246956,1.01508988975139,1.02217375297359
"125",1958,"X050085",4,"South",1.2756980007506,0.961491467865277,1.01864759311492,1.03440018508308,1.01016610251232,1.01462326344635,1.01430544018381,1.0228658696432,1.03208955526936,1.021175254297,1.01514315650995,1.02220257625075
"126",1958,"X040019",4,"South",1.28577707508962,0.961439300670089,1.01865315702593,1.03439154256008,1.01017419231831,1.01464058322468,1.01431231041525,1.02287677506786,1.03208325753144,1.02119800803262,1.01516088730826,1.02221217408082
