"Year","FSLdat_Year","FSLdat_Annual","FSLdat_Summer","FSLdat_Autumn","FSLdat_Winter","FSLdat_Spring","FSL_months_X","FSL_months_Jan","FSL_months_Feb","FSL_months_Mar","FSL_months_Apr","FSL_months_May","FSL_months_Jun","FSL_months_Jul","FSL_months_Aug","FSL_months_Sep","FSL_months_Oct","FSL_months_Nov","FSL_months_Dec","LagFSLdat_Year","LagFSLdat_Annual","LagFSLdat_Summer","LagFSLdat_Autumn","LagFSLdat_Winter","LagFSLdat_Spring","LagFSL_months_X","LagFSL_months_Jan","LagFSL_months_Feb","LagFSL_months_Mar","LagFSL_months_Apr","LagFSL_months_May","LagFSL_months_Jun","LagFSL_months_Jul","LagFSL_months_Aug","LagFSL_months_Sep","LagFSL_months_Oct","LagFSL_months_Nov","LagFSL_months_Dec","FinFSLdat_Years","FinFSLdat_AnnEsts","FinFSLdat_SummerDat","FinFSLdat_AutumnDat","FinFSLdat_SpringDat","LagFinFSLdat_Years","LagFinFSLdat_AnnEsts","LagFinFSLdat_SummerDat","LagFinFSLdat_AutumnDat","LagFinFSLdat_SpringDat","LagFinFSLdat_Year","SouthSST_Year","SouthSST_Annual","SouthSST_Summer","SouthSST_Autumn","SouthSST_Winter","SouthSST_Spring","SST_South_Months_Year","SST_South_Months_Jan","SST_South_Months_Feb","SST_South_Months_Mar","SST_South_Months_Apr","SST_South_Months_May","SST_South_Months_Jun","SST_South_Months_Jul","SST_South_Months_Aug","SST_South_Months_Sep","SST_South_Months_Oct","SST_South_Months_Nov","SST_South_Months_Dec","LagSouthSST_Year","LagSouthSST_Annual","LagSouthSST_Summer","LagSouthSST_Autumn","LagSouthSST_Winter","LagSouthSST_Spring","LagSST_South_Months_Year","LagSST_South_Months_Jan","LagSST_South_Months_Feb","LagSST_South_Months_Mar","LagSST_South_Months_Apr","LagSST_South_Months_May","LagSST_South_Months_Jun","LagSST_South_Months_Jul","LagSST_South_Months_Aug","LagSST_South_Months_Sep","LagSST_South_Months_Oct","LagSST_South_Months_Nov","LagSST_South_Months_Dec","FinSouthSST_Years","FinSouthSST_AnnEsts","FinSouthSST_SummerDat","FinSouthSST_AutumnDat","FinSouthSST_SpringDat","LagFinSouthSST_Years","LagFinSouthSST_AnnEsts","LagFinSouthSST_SummerDat","LagFinSouthSST_AutumnDat","LagFinSouthSST_SpringDat","LagFinSouthSST_Year","MIC","Depth"
1955,1955,0.797166666666667,0.746,0.823,0.868,0.751666666666667,1955,0.699,0.784,0.716,0.849,0.904,0.815,0.828,0.961,0.739,0.74,0.739,0.755,1955,0.744,0.697,0.780333333333333,0.826,0.672666666666667,1955,0.744,0.694,0.728,0.768,0.845,0.895,0.875,0.708,0.703,0.67,0.703,0.653,1955,0.789416666666667,0.714,0.823,0.672666666666667,1956,0.729583333333333,0.731,0.780333333333333,NA,1955,1955,17.6891666666667,18.69,18.97,16.9066666666667,16.19,1955,19.01,19.58,19.47,19,18.44,17.57,17.13,16.02,15.8,16.35,16.42,17.48,1954,17.6891666666667,18.69,18.97,16.9066666666667,16.19,1955,18.97,19.93,19.55,18.6,17.71,17.29,16.36,15.16,15.63,16.01,17.09,18,1955,17.6041666666667,18.72,18.97,16.2433333333333,1955,17.6041666666667,18.72,18.97,16.2433333333333,1954,25.391683875466,7
1956,1956,0.744,0.697,0.780333333333333,0.826,0.672666666666667,1956,0.744,0.694,0.728,0.768,0.845,0.895,0.875,0.708,0.703,0.67,0.703,0.653,1956,0.703363636363636,0.629333333333333,0.739333333333333,0.828333333333333,NA,1956,0.676,0.679,0.7,0.696,0.822,0.928,0.777,0.78,0.562,NA,0.562,0.533,1956,0.729583333333333,0.731,0.780333333333333,NA,1957,NA,0.669333333333333,0.739333333333333,0.646666666666667,1956,1956,17.525,18.9666666666667,18.62,16.27,16.2433333333333,1956,18.97,19.93,19.55,18.6,17.71,17.29,16.36,15.16,15.63,16.01,17.09,18,1955,17.525,18.9666666666667,18.62,16.27,16.2433333333333,1956,19.29,19.5,19.51,19.2,18.1,17.9,17.08,16.56,15.94,16.3,16.94,18.51,1956,17.6458333333333,18.7933333333333,18.62,16.3933333333333,1956,17.6458333333333,18.7933333333333,18.62,16.3933333333333,1955,22.7622509447731,8
1957,1957,0.703363636363636,0.629333333333333,0.739333333333333,0.828333333333333,NA,1957,0.676,0.679,0.7,0.696,0.822,0.928,0.777,0.78,0.562,NA,0.562,0.533,1957,0.68475,0.639666666666667,0.671666666666667,0.781,0.646666666666667,1957,0.614,0.567,0.643,0.619,0.753,0.758,0.872,0.713,0.727,0.626,0.727,0.738,1957,NA,0.669333333333333,0.739333333333333,0.646666666666667,1958,0.717916666666667,0.571333333333333,0.671666666666667,0.625333333333333,1957,1957,17.9025,19.1,18.9366666666667,17.18,16.3933333333333,1957,19.29,19.5,19.51,19.2,18.1,17.9,17.08,16.56,15.94,16.3,16.94,18.51,1956,17.9025,19.1,18.9366666666667,17.18,16.3933333333333,1957,19.69,20.01,19.72,18.95,18.44,17.4,16.16,15.79,16.3,15.82,16.6,17.62,1957,17.9616666666667,18.93,18.9366666666667,16.24,1957,17.9616666666667,18.93,18.9366666666667,16.24,1956,24.0826894432538,8
1958,1958,0.68475,0.639666666666667,0.671666666666667,0.781,0.646666666666667,1958,0.614,0.567,0.643,0.619,0.753,0.758,0.872,0.713,0.727,0.626,0.727,0.738,1958,0.69225,0.619666666666667,0.751,0.773,0.625333333333333,1958,0.604,0.689,0.619,0.819,0.815,0.806,0.792,0.721,0.633,0.653,0.633,0.566,1958,0.717916666666667,0.571333333333333,0.671666666666667,0.625333333333333,1959,0.682166666666667,0.677,0.751,0.597333333333333,1958,1958,17.7083333333333,19.1066666666667,19.0366666666667,16.45,16.24,1958,19.69,20.01,19.72,18.95,18.44,17.4,16.16,15.79,16.3,15.82,16.6,17.62,1957,17.7083333333333,19.1066666666667,19.0366666666667,16.45,16.24,1958,18.59,18.88,19.47,18.6,18.53,17.83,17.49,16.64,16.56,16.59,16.85,17.62,1958,17.5158333333333,19.4033333333333,19.0366666666667,16.6666666666667,1958,17.5158333333333,19.4033333333333,19.0366666666667,16.6666666666667,1957,22.3479167047396,9
1959,1959,0.69225,0.619666666666667,0.751,0.773,0.625333333333333,1959,0.604,0.689,0.619,0.819,0.815,0.806,0.792,0.721,0.633,0.653,0.633,0.566,1959,0.672416666666667,0.598666666666667,0.753666666666667,0.74,0.597333333333333,1959,0.547,0.669,0.671,0.761,0.829,0.754,0.804,0.662,0.552,0.603,0.552,0.58,1959,0.682166666666667,0.677,0.751,0.597333333333333,1960,0.683416666666667,0.594,0.753666666666667,0.571,1959,1959,17.8041666666667,18.3633333333333,18.8666666666667,17.32,16.6666666666667,1959,18.59,18.88,19.47,18.6,18.53,17.83,17.49,16.64,16.56,16.59,16.85,17.62,1958,17.8041666666667,18.3633333333333,18.8666666666667,17.32,16.6666666666667,1959,18.27,18.71,18.6,18.56,18.11,17.35,17.02,16.1,16.04,16.37,16.99,18.36,1959,17.6125,18.3633333333333,18.8666666666667,16.4666666666667,1959,17.6125,18.3633333333333,18.8666666666667,16.4666666666667,1958,19.5754911909568,9
1960,1960,0.672416666666667,0.598666666666667,0.753666666666667,0.74,0.597333333333333,1960,0.547,0.669,0.671,0.761,0.829,0.754,0.804,0.662,0.552,0.603,0.552,0.58,1960,0.669916666666667,0.659,0.729666666666667,0.72,0.571,1960,0.65,0.73,0.712,0.687,0.79,0.794,0.687,0.679,0.551,0.548,0.551,0.597,1960,0.683416666666667,0.594,0.753666666666667,0.571,1961,0.700833333333333,0.653333333333333,0.729666666666667,0.677666666666667,1960,1960,17.54,18.4466666666667,18.4233333333333,16.8233333333333,16.4666666666667,1960,18.27,18.71,18.6,18.56,18.11,17.35,17.02,16.1,16.04,16.37,16.99,18.36,1959,17.54,18.4466666666667,18.4233333333333,16.8233333333333,16.4666666666667,1960,20.1,20.89,20.83,19.63,19.33,18.4,16.92,16.15,16.17,16.24,17.29,17.87,1960,18.3383333333333,18.2,18.4233333333333,16.5666666666667,1960,18.3383333333333,18.2,18.4233333333333,16.5666666666667,1959,19.1823206774538,9
1961,1961,0.669916666666667,0.659,0.729666666666667,0.72,0.571,1961,0.65,0.73,0.712,0.687,0.79,0.794,0.687,0.679,0.551,0.548,0.551,0.597,1961,0.760333333333333,0.729333333333333,0.783666666666667,0.850666666666667,0.677666666666667,1961,0.751,0.711,0.68,0.763,0.908,0.921,0.856,0.775,0.685,0.67,0.685,0.726,1961,0.700833333333333,0.653333333333333,0.729666666666667,0.677666666666667,1962,0.792,0.686333333333333,0.783666666666667,0.640333333333333,1961,1961,18.3183333333333,19.62,19.93,17.1566666666667,16.5666666666667,1961,20.1,20.89,20.83,19.63,19.33,18.4,16.92,16.15,16.17,16.24,17.29,17.87,1960,18.3183333333333,19.62,19.93,17.1566666666667,16.5666666666667,1961,19.22,20.06,19.81,19.93,19.04,18.38,17.53,16.93,16.62,16.45,17.3,18.29,1961,18.09,19.7833333333333,19.93,16.79,1961,18.09,19.7833333333333,19.93,16.79,1960,20.0422133261694,10
1962,1962,0.760333333333333,0.729333333333333,0.783666666666667,0.850666666666667,0.677666666666667,1962,0.751,0.711,0.68,0.763,0.908,0.921,0.856,0.775,0.685,0.67,0.685,0.726,1962,0.790583333333333,0.746333333333333,0.867666666666667,0.908,0.640333333333333,1962,0.741,0.804,0.825,0.802,0.976,0.966,0.927,0.831,0.641,0.634,0.641,0.694,1962,0.792,0.686333333333333,0.783666666666667,0.640333333333333,1963,0.74475,0.757,0.867666666666667,0.692333333333333,1962,1962,18.2966666666667,19.19,19.5933333333333,17.6133333333333,16.79,1962,19.22,20.06,19.81,19.93,19.04,18.38,17.53,16.93,16.62,16.45,17.3,18.29,1961,18.2966666666667,19.19,19.5933333333333,17.6133333333333,16.79,1962,19.19,19.58,20.25,19.96,19.23,18.48,17.49,16.77,16.57,16.85,17.61,18.66,1962,18.3175,19.05,19.5933333333333,17.01,1962,18.3175,19.05,19.5933333333333,17.01,1961,17.4806468350165,11
1963,1963,0.790583333333333,0.746333333333333,0.867666666666667,0.908,0.640333333333333,1963,0.741,0.804,0.825,0.802,0.976,0.966,0.927,0.831,0.641,0.634,0.641,0.694,1963,0.758083333333333,0.632,0.758333333333333,0.949666666666667,0.692333333333333,1963,0.583,0.657,0.683,0.779,0.813,1.049,0.954,0.846,0.664,0.69,0.664,0.656,1963,0.74475,0.757,0.867666666666667,0.692333333333333,1964,NA,0.644666666666667,0.758333333333333,0.649333333333333,1963,1963,18.3866666666667,19.1433333333333,19.8133333333333,17.58,17.01,1963,19.19,19.58,20.25,19.96,19.23,18.48,17.49,16.77,16.57,16.85,17.61,18.66,1962,18.3866666666667,19.1433333333333,19.8133333333333,17.58,17.01,1963,19.7,19.41,19.45,18.73,18.65,17.75,17.14,16.52,16.23,16.25,16.9,17.64,1963,18.1366666666667,19.02,19.8133333333333,16.46,1963,18.1366666666667,19.02,19.8133333333333,16.46,1962,17.0524835811888,12
1964,1964,0.758083333333333,0.632,0.758333333333333,0.949666666666667,0.692333333333333,1964,0.583,0.657,0.683,0.779,0.813,1.049,0.954,0.846,0.664,0.69,0.664,0.656,1964,0.709666666666667,0.689,NA,NA,0.649333333333333,1964,0.671,0.645,0.703,0.797,NA,0.872,NA,NA,0.667,0.69,0.667,0.751,1964,NA,0.644666666666667,0.758333333333333,0.649333333333333,1965,NA,0.657333333333333,NA,0.632666666666667,1964,1964,17.8641666666667,18.9166666666667,18.9433333333333,17.1366666666667,16.46,1964,19.7,19.41,19.45,18.73,18.65,17.75,17.14,16.52,16.23,16.25,16.9,17.64,1963,17.8641666666667,18.9166666666667,18.9433333333333,17.1366666666667,16.46,1964,19.52,19.92,20.03,19.57,19.55,18.35,17.93,17.14,16.2,16.8,17,18.71,1964,18.135,19.2566666666667,18.9433333333333,16.6666666666667,1964,18.135,19.2566666666667,18.9433333333333,16.6666666666667,1963,20.3514377124665,15
