"Year","Annual","Summer","Autumn","Winter","Spring"
1931,17.2258333333333,18.7433333333333,18.3833333333333,15.77,16.0066666666667
1932,17.6341666666667,18.8566666666667,19.25,16.5166666666667,15.9133333333333
1933,17.4666666666667,18.6033333333333,18.7866666666667,16.43,16.0466666666667
1934,17.6841666666667,19.2333333333333,18.8966666666667,16.5933333333333,16.0133333333333
1935,17.2475,18.4466666666667,18.5966666666667,16.1833333333333,15.7633333333333
1936,17.4825,18.5566666666667,18.7666666666667,16.27,16.3366666666667
1937,17.7008333333333,18.7533333333333,19.09,16.55,16.41
1938,17.8125,18.9833333333333,19.2433333333333,16.6533333333333,16.37
1939,17.7766666666667,18.7566666666667,19.03,16.9933333333333,16.3266666666667
1940,17.8308333333333,18.8366666666667,18.9033333333333,16.8766666666667,16.7066666666667
1941,17.8558333333333,19.16,18.8466666666667,16.82,16.5966666666667
1942,18.04,18.9466666666667,19.45,17.35,16.4133333333333
1943,17.6808333333333,18.59,18.9,16.9966666666667,16.2366666666667
1944,17.7175,18.8666666666667,18.63,16.8133333333333,16.56
1945,17.905,19.1066666666667,19.1333333333333,17.09,16.29
1946,17.7175,18.9833333333333,19.0033333333333,16.91,15.9733333333333
1947,17.5908333333333,18.78,18.8533333333333,16.6166666666667,16.1133333333333
1948,18.0608333333333,18.7033333333333,19.7833333333333,17.08,16.6766666666667
1949,17.9591666666667,19.2133333333333,19.0133333333333,17.2033333333333,16.4066666666667
1950,18.1158333333333,19.2866666666667,19.7866666666667,17.2966666666667,16.0933333333333
1951,17.675,18.6666666666667,18.97,16.7333333333333,16.33
1952,17.7716666666667,18.6433333333333,19.2033333333333,17.1466666666667,16.0933333333333
1953,17.6308333333333,18.4166666666667,19.02,16.8633333333333,16.2233333333333
1954,17.5425,18.47,18.42,16.6233333333333,16.6566666666667
1955,17.6891666666667,18.69,18.97,16.9066666666667,16.19
1956,17.525,18.9666666666667,18.62,16.27,16.2433333333333
1957,17.9025,19.1,18.9366666666667,17.18,16.3933333333333
1958,17.7083333333333,19.1066666666667,19.0366666666667,16.45,16.24
1959,17.8041666666667,18.3633333333333,18.8666666666667,17.32,16.6666666666667
1960,17.54,18.4466666666667,18.4233333333333,16.8233333333333,16.4666666666667
1961,18.3183333333333,19.62,19.93,17.1566666666667,16.5666666666667
1962,18.2966666666667,19.19,19.5933333333333,17.6133333333333,16.79
1963,18.3866666666667,19.1433333333333,19.8133333333333,17.58,17.01
1964,17.8641666666667,18.9166666666667,18.9433333333333,17.1366666666667,16.46
1965,18.3933333333333,19.3833333333333,19.7166666666667,17.8066666666667,16.6666666666667
1966,18.285,19.56,19.6,17.1066666666667,16.8733333333333
1967,18.2708333333333,19.4066666666667,19.5333333333333,17.5433333333333,16.6
1968,17.5741666666667,19.0566666666667,18.2433333333333,16.5033333333333,16.4933333333333
1969,18.0708333333333,19.0466666666667,19.2433333333333,17.2466666666667,16.7466666666667
1970,17.66,18.9333333333333,18.9133333333333,16.6466666666667,16.1466666666667
1971,17.8241666666667,18.6933333333333,19.3666666666667,17.0866666666667,16.15
1972,17.84,19.2566666666667,19.21,16.6433333333333,16.25
1973,17.7758333333333,19.27,18.8366666666667,16.7933333333333,16.2033333333333
1974,18.075,19.3066666666667,19.5566666666667,16.8633333333333,16.5733333333333
1975,17.9641666666667,19.1633333333333,18.7866666666667,16.9933333333333,16.9133333333333
1976,18.27,19.09,19.8433333333333,17.3133333333333,16.8333333333333
1977,17.9233333333333,19.4566666666667,18.47,16.8166666666667,16.95
1978,18.3008333333333,19.5966666666667,19.7266666666667,17.0466666666667,16.8333333333333
1979,18.1083333333333,19.49,19.2133333333333,17.11,16.62
1980,17.8991666666667,19.0666666666667,19.1366666666667,17.0933333333333,16.3
1981,17.6191666666667,18.8066666666667,18.8666666666667,16.36,16.4433333333333
1982,17.6666666666667,18.7933333333333,18.7166666666667,16.6766666666667,16.48
1983,18.0058333333333,19.3833333333333,19.3966666666667,16.97,16.2733333333333
1984,18.2808333333333,19.3166666666667,19.34,17.43,17.0366666666667
1985,18.4683333333333,19.3233333333333,19.9233333333333,18.0366666666667,16.59
1986,17.5783333333333,18.2633333333333,18.9466666666667,17.02,16.0833333333333
1987,17.7866666666667,18.24,18.8166666666667,17.4433333333333,16.6466666666667
1988,18.045,18.84,19.43,17.3333333333333,16.5766666666667
1989,18.285,19.0133333333333,19.7433333333333,17.6933333333333,16.69
1990,17.9091666666667,18.9166666666667,19.5066666666667,17.1033333333333,16.11
1991,18.2825,18.9933333333333,19.5033333333333,17.79,16.8433333333333
1992,17.805,18.8833333333333,19.5066666666667,17.07,15.76
1993,17.5683333333333,18.7166666666667,18.4766666666667,16.7966666666667,16.2833333333333
1994,18.02,18.6133333333333,19.5166666666667,17.21,16.74
1995,17.9925,18.8633333333333,19.2533333333333,17.3933333333333,16.46
1996,18.4833333333333,19.1233333333333,19.7533333333333,17.8066666666667,17.25
1997,18.345,19.4666666666667,19.6566666666667,17.3933333333333,16.8633333333333
1998,18.0116666666667,18.89,19.2566666666667,17.2066666666667,16.6933333333333
1999,18.2591666666667,19.06,19.75,17.4666666666667,16.76
2000,18.2116666666667,19.3666666666667,19.6466666666667,17.3066666666667,16.5266666666667
2001,17.8891666666667,19,18.8566666666667,17.5633333333333,16.1366666666667
2002,17.6875,18.7166666666667,19.0766666666667,17.0766666666667,15.88
2003,17.7083333333333,18.6766666666667,19.1366666666667,16.75,16.27
2004,18.0091666666667,19.1133333333333,19.32,17.14,16.4633333333333
2005,17.7075,18.54,18.9733333333333,17.1366666666667,16.18
2006,17.8408333333333,18.6833333333333,18.9666666666667,17.1233333333333,16.59
2007,17.9425,19.06,19.2566666666667,16.9533333333333,16.5
2008,18.3275,19.37,19.7166666666667,17.6666666666667,16.5566666666667
2009,18.035,19.3766666666667,19.23,17.1033333333333,16.43
2010,18.1891666666667,19.26,19.29,17.3133333333333,16.8933333333333
