"Year","WestSST_Annual","WestSST_Winter","WestSST_Spring","SST_West_Months_Jun","SST_West_Months_Jul","SST_West_Months_Sep","SST_West_Months_Oct","LagWestSST_Spring","LagSST_West_Months_Oct","LagSST_West_Months_Nov","LagSST_West_Months_Dec","FinWestSST_AnnEsts","FinWestSST_SummerDat","FinWestSST_SpringDat","LagFinWestSST_AnnEsts","LagFinWestSST_SpringDat","FSLdat_Spring","FSL_months_Apr","FinFSLdat_AnnEsts"
1953,19.5691666666667,18.73,18.4233333333333,19.21,18.6,18.22,18.29,18.4233333333333,18.3,18.83,19.63,19.5341666666667,19.9433333333333,18.35,19.5341666666667,18.35,0.564666666666667,0.722,0.6615
1954,19.4483333333333,18.28,18.35,18.71,18.51,17.92,18.3,18.35,17.84,18.58,19.72,19.6158333333333,20.6233333333333,18.1133333333333,19.6158333333333,18.1133333333333,0.631,0.709,0.733583333333333
1955,19.6125,18.5533333333333,18.1133333333333,18.95,18.86,17.92,17.84,18.1133333333333,17.7,18.49,19.53,19.5833333333333,20.6033333333333,17.8666666666667,19.5833333333333,17.8666666666667,0.751666666666667,0.849,0.789416666666667
1956,19.4108333333333,18.11,17.8666666666667,18.76,18.17,17.41,17.7,17.8666666666667,18.14,18.91,20.4,19.5125,20.8166666666667,18.2533333333333,19.5125,18.2533333333333,0.672666666666667,0.768,0.729583333333333
1957,19.7433333333333,18.7133333333333,18.2533333333333,19.83,18.77,17.71,18.14,18.2533333333333,18.48,19.16,20.57,20.035,20.54,18.7766666666667,20.035,18.7766666666667,NA,0.696,NA
1958,20.25,19.0266666666667,18.7766666666667,19.93,18.93,18.69,18.48,18.7766666666667,18.85,19.58,19.94,20.18,21.51,19.2,20.18,19.2,0.646666666666667,0.619,0.717916666666667
1959,20.3958333333333,19.7866666666667,19.2,20.26,19.88,19.17,18.85,19.2,18.72,19.57,20.44,19.9058333333333,21.1466666666667,18.6333333333333,19.9058333333333,18.6333333333333,0.625333333333333,0.819,0.682166666666667
1960,19.545,18.33,18.6333333333333,19.02,18.25,17.61,18.72,18.6333333333333,18.32,18.99,19.44,20.0816666666667,20.49,18.4633333333333,20.0816666666667,18.4633333333333,0.597333333333333,0.761,0.683416666666667
1961,19.9341666666667,18.3266666666667,18.4633333333333,19.27,18.2,18.08,18.32,18.4633333333333,17.93,19.17,19.98,20.0166666666667,21.58,18.5133333333333,20.0166666666667,18.5133333333333,0.571,0.687,0.700833333333333
1962,20.2616666666667,19.1933333333333,18.5133333333333,19.62,19.33,18.44,17.93,18.5133333333333,18.28,19.39,20.5,20.1258333333333,21.35,18.67,20.1258333333333,18.67,0.677666666666667,0.763,0.792
1963,20.0541666666667,18.4833333333333,18.67,19.34,17.96,18.34,18.28,18.67,17.26,18.37,19.42,19.8183333333333,20.8833333333333,17.8133333333333,19.8183333333333,17.8133333333333,0.640333333333333,0.802,0.74475
1964,19.5858333333333,19.05,17.8133333333333,20.18,18.94,17.81,17.26,17.8133333333333,18.78,18.51,20.66,19.6841666666667,20.8333333333333,18.33,19.6841666666667,18.33,0.692333333333333,0.779,NA
1965,19.9266666666667,18.96,18.33,19.79,19.18,17.7,18.78,18.33,17.43,19.34,20.69,19.8991666666667,20.67,18.0833333333333,19.8991666666667,18.0833333333333,0.649333333333333,0.797,NA
1966,19.76,18.5233333333333,18.0833333333333,19.44,18.32,17.48,17.43,18.0833333333333,18.96,19.07,20.3,19.9366666666667,21.26,18.7533333333333,19.9366666666667,18.7533333333333,0.632666666666667,0.761,NA
1967,20.1866666666667,19.3433333333333,18.7533333333333,20.52,18.59,18.23,18.96,18.7533333333333,18.58,18.72,19.64,19.4533333333333,21.2833333333333,18.21,19.4533333333333,18.21,0.619333333333333,0.774,0.707083333333333
1968,19.1483333333333,18.0733333333333,18.21,18.08,18.35,17.33,18.58,18.21,18.2,19.16,19.97,19.4333333333333,20.7333333333333,18.4933333333333,19.4333333333333,18.4933333333333,0.636666666666667,0.771,0.696416666666667
1969,19.6066666666667,18.6133333333333,18.4933333333333,18.8,18.55,18.12,18.2,18.4933333333333,18.43,18.53,19.93,19.5983333333333,20.6133333333333,18.3333333333333,19.5983333333333,18.3333333333333,0.552666666666667,0.737,0.679083333333333
