"Year","Annual","Summer","Autumn","Winter","Spring"
1931,19.5616666666667,21.02,20.9233333333333,18.0433333333333,18.26
1932,19.7908333333333,20.9833333333333,21.2333333333333,18.7266666666667,18.22
1933,19.8208333333333,20.8266666666667,21.3266666666667,18.8066666666667,18.3233333333333
1934,19.69,21.1333333333333,20.91,18.52,18.1966666666667
1935,19.3416666666667,20.2366666666667,20.8566666666667,18.49,17.7833333333333
1936,19.5425,20.4466666666667,21.1633333333333,18.2966666666667,18.2633333333333
1937,19.8141666666667,20.86,21.25,18.8166666666667,18.33
1938,20.1333333333333,20.9566666666667,21.5333333333333,19.2133333333333,18.83
1939,19.9025,20.7466666666667,21.0333333333333,19.29,18.54
1940,20.0333333333333,20.72,21.17,19,19.2433333333333
1941,20.0441666666667,21.18,21.3466666666667,18.93,18.72
1942,20.1783333333333,20.8833333333333,21.5033333333333,19.4633333333333,18.8633333333333
1943,20.1341666666667,21.05,21.53,19.1633333333333,18.7933333333333
1944,20.235,21.2,20.9266666666667,19.5433333333333,19.27
1945,20.3775,21.3333333333333,21.9266666666667,19.6866666666667,18.5633333333333
1946,19.83,20.88,21.54,18.59,18.31
1947,19.5233333333333,20.5366666666667,20.8166666666667,18.6466666666667,18.0933333333333
1948,19.9691666666667,20.7666666666667,21.69,19.0466666666667,18.3733333333333
1949,20.2291666666667,21.13,21.4366666666667,19.4266666666667,18.9233333333333
1950,20.3941666666667,21.2766666666667,21.87,19.5766666666667,18.8533333333333
1951,19.4533333333333,20.3433333333333,20.6366666666667,18.6166666666667,18.2166666666667
1952,19.5325,20.37,21.1733333333333,18.83,17.7566666666667
1953,19.5691666666667,20.18,20.9433333333333,18.73,18.4233333333333
1954,19.4483333333333,20.6366666666667,20.5266666666667,18.28,18.35
1955,19.6125,20.6333333333333,21.15,18.5533333333333,18.1133333333333
1956,19.4108333333333,20.7533333333333,20.9133333333333,18.11,17.8666666666667
1957,19.7433333333333,20.83,21.1766666666667,18.7133333333333,18.2533333333333
1958,20.25,21.5666666666667,21.63,19.0266666666667,18.7766666666667
1959,20.3958333333333,20.9366666666667,21.66,19.7866666666667,19.2
1960,19.545,20.6566666666667,20.56,18.33,18.6333333333333
1961,19.9341666666667,21.2466666666667,21.7,18.3266666666667,18.4633333333333
1962,20.2616666666667,21.53,21.81,19.1933333333333,18.5133333333333
1963,20.0541666666667,21.0566666666667,22.0066666666667,18.4833333333333,18.67
1964,19.5858333333333,20.4733333333333,21.0066666666667,19.05,17.8133333333333
1965,19.9266666666667,21.0833333333333,21.3333333333333,18.96,18.33
1966,19.76,21.27,21.1633333333333,18.5233333333333,18.0833333333333
1967,20.1866666666667,21.1533333333333,21.4966666666667,19.3433333333333,18.7533333333333
1968,19.1483333333333,20.5133333333333,19.7966666666667,18.0733333333333,18.21
1969,19.6066666666667,20.7233333333333,20.5966666666667,18.6133333333333,18.4933333333333
1970,19.5491666666667,20.4933333333333,20.7466666666667,18.6233333333333,18.3333333333333
1971,19.6125,20.8466666666667,21.1833333333333,18.6566666666667,17.7633333333333
1972,19.6725,21.0933333333333,21.3766666666667,18.2033333333333,18.0166666666667
1973,19.5841666666667,21.0733333333333,20.5733333333333,18.44,18.25
1974,19.6358333333333,20.8466666666667,21.08,18.27,18.3466666666667
1975,20.1266666666667,21.2933333333333,21.2733333333333,19.07,18.87
1976,20.0241666666667,20.8066666666667,21.5166666666667,19.23,18.5433333333333
1977,19.5433333333333,21.02,20.1333333333333,18.5166666666667,18.5033333333333
1978,20.3633333333333,21.5033333333333,22.0466666666667,19.0933333333333,18.81
1979,19.9708333333333,20.8466666666667,21.14,19.1266666666667,18.77
1980,19.9991666666667,21.0266666666667,21.5966666666667,19.0166666666667,18.3566666666667
1981,19.7141666666667,20.5566666666667,21.5133333333333,18.55,18.2366666666667
1982,19.84,20.8266666666667,20.9866666666667,18.95,18.5966666666667
1983,20.76,21.4733333333333,22.28,19.5366666666667,19.75
1984,20.6425,21.6233333333333,21.6233333333333,20.1466666666667,19.1766666666667
1985,20.1541666666667,20.83,21.64,19.2233333333333,18.9233333333333
1986,19.7633333333333,20.7433333333333,20.9533333333333,19.33,18.0266666666667
1987,20.145,20.2066666666667,21.6433333333333,19.71,19.02
1988,20.7025,21.38,22.16,19.84,19.43
1989,20.7966666666667,21.8866666666667,22.7833333333333,19.6033333333333,18.9133333333333
1990,20.1675,20.98,21.94,18.9933333333333,18.7566666666667
1991,20.3016666666667,21.06,21.5966666666667,19.63,18.92
1992,20.1266666666667,21.2066666666667,21.6266666666667,19.0566666666667,18.6166666666667
1993,19.7366666666667,20.5566666666667,20.8633333333333,19.0733333333333,18.4533333333333
1994,20.69,21.2866666666667,22.3033333333333,19.9266666666667,19.2433333333333
1995,20.5208333333333,21.42,22.08,19.4066666666667,19.1766666666667
1996,20.8183333333333,21.7466666666667,22.17,19.8966666666667,19.46
1997,20.6616666666667,21.78,21.99,19.5666666666667,19.31
1998,20.9283333333333,21.3733333333333,22.5,20.4333333333333,19.4066666666667
1999,21.0466666666667,21.53,22.69,20.5666666666667,19.4
2000,20.8933333333333,22.0266666666667,22.4066666666667,19.7866666666667,19.3533333333333
2001,20.5475,21.37,21.9333333333333,19.87,19.0166666666667
2002,20.1408333333333,20.8666666666667,21.6833333333333,19.6033333333333,18.41
2003,20.2441666666667,21.14,21.91,19.5166666666667,18.41
2004,20.4341666666667,21.1966666666667,22.0533333333333,19.8566666666667,18.63
2005,20.0916666666667,20.5966666666667,21.8033333333333,19.6266666666667,18.34
2006,20.2308333333333,20.9433333333333,21.6166666666667,19.3433333333333,19.02
2007,20.5516666666667,21.3466666666667,21.8833333333333,19.6166666666667,19.36
2008,20.7616666666667,21.7866666666667,22.3233333333333,19.7833333333333,19.1533333333333
2009,20.1941666666667,21.5766666666667,21.7966666666667,18.69,18.7133333333333
2010,20.4783333333333,21.57,21.51,19.42,19.4133333333333
2011,21.1158333333333,22.2833333333333,22.9133333333333,19.7066666666667,19.56
2012,20.9,22.18,22.7066666666667,19.8766666666667,18.8366666666667
2013,20.7725,22.1033333333333,22.19,19.7233333333333,19.0733333333333
