,(Intercept),FinFSLdat_AnnEsts,FinWestSST_AnnEsts,FinWestSST_SummerDat,FSL_months_Apr,FSLdat_Spring,s(Ages),SST_West_Months_Jul,SST_West_Months_Jun,SST_West_Months_Oct,SST_West_Months_Sep,WestSST_Spring,WestSST_Winter,df,logLik,AICc,delta,weight
1596,-10.70526051,-8.589228416,2.082612531,NA,4.206783694,7.023853682,+,NA,NA,NA,0.753450018,-1.461686621,NA,11,-3291.647254,6605.524273,0,0.05057119
1852,-10.53671114,-8.435782336,2.22014196,NA,4.131344296,7.099054112,+,NA,NA,0.476141276,0.921605485,-2.260629937,NA,12,-3290.958801,6606.189378,0.665105453,0.036264138
1084,-8.57731445,-6.941030837,2.010294889,NA,4.314558176,5.698145612,+,NA,NA,NA,NA,-0.777303758,NA,10,-3293.226036,6606.643376,1.119103619,0.028899672
1600,-14.24033618,-7.772472846,2.112268949,0.259166677,3.661637022,6.291367917,+,NA,NA,NA,0.71032137,-1.53724352,NA,12,-3291.510037,6607.291851,1.767578161,0.020896736
3644,-10.14042613,-8.736395321,2.11094419,NA,4.322572256,7.150027366,+,NA,NA,NA,0.815573971,-1.446164774,-0.137143296,12,-3291.540387,6607.352551,1.82827885,0.020272041
60,-7.260420781,-5.876327424,1.249717744,NA,2.873909434,5.447325687,+,NA,NA,NA,NA,NA,NA,9,-3294.599653,6607.355692,1.831419365,0.020240233
3708,-8.041804955,-7.448299049,1.682438024,NA,3.877531973,6.564263158,+,0.531451292,NA,NA,0.832626771,-1.068162981,-0.720769116,13,-3290.74679,6607.810931,2.286657937,0.016119877
1856,-14.27944712,-7.565559327,2.25546798,0.274744979,3.551286458,6.324654454,+,NA,NA,0.489616585,0.880641001,-2.363335032,NA,13,-3290.78648,6607.890309,2.366036206,0.015492623
1660,-10.77967441,-8.138027133,1.953195344,NA,3.985775548,6.759087282,+,0.125435717,NA,NA,0.695137876,-1.388180815,NA,12,-3291.840355,6607.952487,2.428214538,0.01501838
1088,-13.25992742,-6.015883937,2.053553052,0.331880534,3.608520932,4.857322699,+,NA,NA,NA,NA,-0.92421931,NA,11,-3292.909114,6608.047993,2.523719984,0.014318065
3900,-10.21586614,-8.523877957,2.233519417,NA,4.199654245,7.17006618,+,NA,NA,0.465896288,0.953743826,-2.234531827,-0.078906895,13,-3290.879618,6608.076586,2.552312928,0.014114824
1724,-9.712645962,-8.254386624,2.022792746,NA,4.16569263,7.066371791,+,NA,-0.134471065,NA,0.821943159,-1.387216489,NA,12,-3291.947192,6608.166162,2.641889303,0.013496595
3836,-7.26051709,-8.117611213,1.6288208,NA,4.120283036,6.42017556,+,1.019055034,0.487060394,NA,0.869683312,-0.923712695,-1.851214036,14,-3289.978956,6608.324404,2.800131167,0.012469884
1340,-8.313442894,-6.726853397,2.06023948,NA,4.293536071,5.607436912,+,NA,NA,0.195719747,NA,-1.0429452,NA,11,-3293.093684,6608.417134,2.892860929,0.011904918
3964,-8.059962192,-7.19327446,1.796431049,NA,3.738506862,6.568318652,+,0.546433915,NA,0.479267007,0.975240488,-1.86848256,-0.677323384,14,-3290.052282,6608.471055,2.946782566,0.01158824
1916,-10.62540417,-7.826276426,2.05589934,NA,3.832775554,6.751058411,+,0.166923896,NA,0.503889486,0.853793473,-2.209349731,NA,13,-3291.080662,6608.478674,2.954400961,0.011544182
1148,-9.081937909,-6.255969701,1.748207395,NA,3.829092349,5.354983979,+,0.26541439,NA,NA,NA,-0.733816956,NA,11,-3293.127818,6608.4854,2.961127751,0.011505419
3132,-9.398503464,-6.929132126,1.985749488,NA,4.177059335,5.679620771,+,NA,NA,NA,NA,-0.856946107,0.151665953,11,-3293.18193,6608.593624,3.069351883,0.010899382
2172,-5.653804277,-4.787653133,1.140894008,NA,3.110882711,4.78576144,+,0.695742105,NA,NA,NA,NA,-0.690526086,11,-3293.228644,6608.687054,3.162781091,0.010401931
1980,-9.58401445,-8.115189486,2.161490326,NA,4.092455932,7.139255808,+,NA,-0.129238352,0.472170388,0.986027977,-2.182384219,NA,13,-3291.269058,6608.855465,3.331192715,0.009561893
