"","2013","2012","2011","2010","2009","2008","2007","2006","2005","2004","2003","2002","2001","2000","1999","1998","1997","1996","1995","1994","1993","1992","1991","1990","1989","1988","1987","1986","1985","1984","1983","1982","1981","1980","1979","1978","1977","1976","1975","1974","1973","1972","1971","1970","1969","1968","1967","1966","1965","1964","1963","1962","1961","1960","1959","1958","1957","1956","1955","1954","1953","1952","1951","1950","1949","1948","1947","1946","1945","1944","1943","1942","1941","1940","1939","1938","1937","1936","1935","1934","1933","1932","1931"
"Jan",20.23,19.61,19.51,18.88,19.14,18.93,19.26,18.28,18.48,18.4,18.33,18.41,19.02,19.3,18.73,19.1,19.26,18.74,18.75,17.72,18.88,18.64,18.32,18.81,18.42,17.98,17.56,18.48,19.02,19.02,19.51,18.14,18.99,19.2,18.99,19.47,18.78,18.97,18.68,19.63,19.32,18.56,18.94,19.02,19,18.84,19.38,19.37,19.42,19.58,19.18,18.97,19.77,17.92,18.38,19.27,18.9,19.07,18.78,18.15,17.97,18.77,18.64,18.97,18.76,18.5,18.26,19.18,18.88,18.45,18.62,18.71,19.04,18.6,18.71,18.61,18.15,18.17,18.22,18.86,17.77,18.44,18.31
"Feb",20.34,19.89,20.5,19.63,19.66,19.93,19.28,18.41,18.68,19.45,18.96,18.8,19.25,20.16,19.5,18.88,19.65,19.91,19.33,18.49,19.07,19.94,18.91,19.4,19.7,18.81,18.21,18.87,19.87,19.74,19.71,18.81,18.75,19.35,19.2,19.76,19.8,20.05,19.74,19.84,19.56,19.46,19.54,19.6,19.13,19.44,19.56,19.16,19.42,18.52,19.49,19.82,20.8,18.64,18.45,19.9,19.18,19.78,19.28,18.74,18.93,19.28,19.34,19.81,19.42,19.4,18.81,19.26,19.06,19.02,18.87,19.25,19.43,18.86,19.17,19.42,18.91,18.97,18.77,19.8,19.2,19.63,18.76
"Mar",20.08,20.16,20.18,19.39,19.34,20.13,19.85,19.04,18.66,18.89,19.3,18.52,19.03,19.98,20.26,19.02,19.72,19.19,18.98,18.93,18.27,19.76,18.75,20.08,19.95,18.93,18.42,20.16,19.7,19.37,19.62,18.82,18.7,19.46,19.08,20,18.71,20.2,19,19.97,19.23,19.62,19.48,19.56,19.12,18.72,19.78,19.39,19.59,18.94,20.79,19.41,20.51,18.39,19.35,19.6,19.25,19.7,19.26,18.91,18.97,19.16,19.07,19.78,19.63,19.91,18.51,19.27,18.88,18.44,18.85,19.48,19.14,18.91,18.95,19.08,18.95,19.04,18.59,19.04,19.19,19.14,18.35
"Apr",19.75,19.97,19.92,19.13,18.39,19.1,18.56,18.12,18.56,18.85,18.98,18.67,18.64,19.14,20,18.93,18.84,18.6,18.88,19.42,17.99,18.92,18.51,19.09,19.76,19.57,18.48,18.51,19.5,19.43,19.79,18.17,19.21,19.03,18.77,20.45,18.25,19.66,18.76,19.26,18.4,19.08,19.09,18.73,19.27,17.54,19.26,19.3,19.09,18.05,19.97,19.62,19.17,18,18.89,18.67,18.68,18.93,18.84,17.78,18.77,18.76,18.86,19.29,18.94,19.23,19.19,19.21,19.01,18.6,18.65,18.41,18.49,18.53,18.74,18.88,18.94,18.41,18.29,18.56,18.29,18.72,18.13
"May",18.59,19.55,18.9,18.39,18.61,19.11,17.95,18.28,18.06,18.91,17.89,18.21,17.68,18.63,19.53,17.68,18.55,19.02,18.17,18.55,17.66,18.47,18.83,18.52,18.35,17.99,17.25,17.79,18.46,17.66,18.96,17.75,18.61,18.31,17.66,19.27,16.83,19.24,18.5,18.67,18.28,18.72,18.51,18.3,18.53,15.99,18.39,18.54,19,17.97,19.18,19.13,19.41,18.16,18.63,18.26,17.97,17.01,18.23,17.31,17.87,17.97,17.76,18.91,17.73,19,17.64,17.31,18.3,17.65,17.98,19.24,17.7,18.05,18.2,18.56,18.16,17.64,17.69,17.88,17.66,18.68,17.45
"Jun",17.06,18.19,18.23,17.83,17.64,18.27,17.78,17.34,17.71,17.16,17.33,17.66,17.24,17.55,19.04,17.42,17.64,17.65,16.97,17.4,17.17,17.02,17.87,17.69,18.36,18.42,17.37,17.82,18.1,17.32,17.93,17.15,16.65,17.84,17.07,18.26,15.89,18.56,17.57,17.93,17.11,18.38,17.52,16.52,17.15,15.17,18.47,16.74,17.51,17.16,18.16,17.6,18.41,16.74,17.63,17.35,17.23,17.04,17.59,16.65,17.52,17.47,16.63,18.27,17.75,17.75,16.68,17.69,17.67,17.24,17.2,17.79,17.15,17.27,17.81,17.31,16.95,16.35,16.69,17.04,16.97,17.13,16.17
"Jul",16.92,17.13,17.14,16.55,16.4,17.64,16.57,16.19,16.77,17.12,15.59,16.29,17.31,16.54,17.11,17.02,16.23,17.59,16.08,16.59,16.01,16.03,16.92,16.88,16.7,16.35,16.7,16.25,18,16.68,16.81,16.39,15.41,16.21,16.59,16.5,16.59,16.68,16.91,15.73,16.28,16.2,16.94,16.12,17.38,16.41,16.45,15.95,17.62,16.44,16.78,16.58,16.48,16.54,17.31,16.38,15.93,15.89,17.14,16.7,15.93,16.89,16.38,16.57,16.69,16.13,16.52,15.92,16.52,16.15,16.43,16.61,16.41,16.33,16.4,16.03,16.16,15.84,15.79,15.78,15.6,16.09,15.55
"Aug",15.9,16.33,16.31,16.18,15.93,16.17,15.17,16.08,15.54,15.39,15.6,15.96,16.84,15.99,16.12,16.47,16.52,16.02,17.05,16.95,15.52,15.59,16.41,15.36,16.32,15.92,16.03,15.37,16.7,16.01,16.38,15.46,14.77,15.46,16.07,16.2,15.74,16.38,15.92,15.6,15.6,15.58,15.45,15.38,15.7,14.95,16.08,16.25,16.57,15.91,16.16,16.13,16.2,15.52,16.73,15.55,16.3,14.16,15.74,15.93,15.48,16.04,15.55,16.52,16.33,15.97,15.25,15.72,15.68,15.66,15.97,16.27,15.51,15.63,15.37,15.24,15.15,15.22,14.69,15.57,15.32,14.95,14.21
"Sep",16.38,15.82,16.02,15.64,15.55,15.9,16.27,15.74,15.4,15.36,15.07,15.31,15.74,15.72,15.92,16.59,15.96,16.29,15.74,16.61,15.41,14.82,15.7,15.44,15.81,15.54,16.64,15.75,15.69,16.05,16.15,15.78,15.26,15.47,16.07,16.04,15.59,16.51,15.67,16.82,15.13,15.12,15.81,14.74,15.65,15.12,15.57,16.35,15.62,15.67,16.15,16.27,16.31,15.68,16.77,16.58,15.66,15.71,15.12,15.64,16.1,15.61,15.57,15.81,16.67,16.19,15.61,15.18,15.64,15.26,15.88,16.18,15.78,16.06,15.3,15.28,16.15,15.6,15.35,15.21,15.47,15.39,15.49
"Oct",16.02,16.17,16.6,16.69,15.21,16.19,15.86,15.88,15.34,15.6,15.57,15.26,15.36,16.13,16.17,15.85,16.59,16.49,16.18,15.89,15.45,15.72,16.81,15.34,16.15,16.47,16.05,15.47,15.99,16.69,15.95,16.09,15.84,14.61,16.42,15.96,16.72,16.63,16.82,16.24,16.3,15.95,15.36,16.21,16.01,15.84,16.6,16.07,16.54,16.15,16.62,16.15,15.62,16.1,16.48,15.76,15.93,15.76,15.9,16.52,15.51,16.1,16.11,15.67,16.12,16.26,15.29,15.61,15.51,16.11,16.03,15.56,16.32,16.26,16.09,16.02,15.64,16,15.36,15.59,15.58,15.48,15.55
