"","2013","2012","2011","2010","2009","2008","2007","2006","2005","2004","2003","2002","2001","2000","1999","1998","1997","1996","1995","1994","1993","1992","1991","1990","1989","1988","1987","1986","1985","1984","1983","1982","1981","1980","1979","1978","1977","1976","1975","1974","1973","1972","1971","1970","1969","1968","1967","1966","1965","1964","1963","1962","1961","1960","1959","1958","1957","1956","1955","1954","1953","1952","1951","1950","1949","1948","1947","1946","1945","1944","1943","1942","1941","1940","1939","1938","1937","1936","1935","1934","1933","1932","1931"
"Jan",21.25,21.46,21.11,20.18,20.94,20.98,20.54,20,20.33,19.82,20.32,20.16,20.75,21.62,20.57,21.14,21.15,20.86,20.92,19.96,20.32,20.36,20.06,20.54,20.71,20.24,19.52,20.42,19.92,21.03,21.02,19.85,20.09,20.55,20.17,20.9,20.15,20.15,20.12,20.31,20.59,20,20.04,20.1,19.8,19.5,20.33,20.26,20.18,20.45,20.22,20.76,20.48,19.31,19.99,20.5,20.14,20.27,20.13,19.77,19.15,19.99,19.74,20.39,20.3,20.03,19.52,20.52,20.64,20.33,20.23,20.1,20.67,19.89,20.11,19.93,19.89,19.52,19.52,20.13,19.6,20.03,20.05
"Feb",21.99,22.1,22.07,21.03,21.31,21.97,21.08,20.42,20.69,21.21,21.03,20.83,21.19,22.1,21.27,21.61,21.36,22.02,21.38,20.47,20.82,21.51,20.62,21.34,21.81,21.32,20.24,20.85,21.17,21.91,21.48,20.47,20.26,20.92,20.3,20.94,20.81,20.85,21.01,20.4,20.78,21.22,20.82,20.54,19.47,19.97,21.38,20.49,20.4,20.38,20.69,21.43,21.52,20.03,20.4,21.53,20.45,20.66,20.44,20.37,20.07,20.44,20.13,21.08,20.7,20.73,20.58,20.78,20.98,20.7,20.77,20.41,20.95,20.03,20.72,20.88,20.75,20.36,20.12,21.13,21.04,21.14,20.53
"Mar",21.48,22.37,22.36,21.17,21.33,21.95,21.46,20.92,21.1,21.3,21.28,20.95,21.07,21.78,21.44,21.81,21.2,21.77,21.57,21.08,20.9,21.43,20.83,21.52,22.07,21.61,20.81,21.02,21.61,21.61,22.01,20.2,20.4,21.2,20.48,21.55,20.16,21.31,20.94,20.74,20.48,21.13,20.9,20.96,19.93,19.44,20.91,20.43,20.43,20.36,21.23,21.02,21.5,19.98,20.88,20.88,20.51,20.69,20.21,20.36,20.16,20.65,19.82,20.93,20.64,21.29,20.12,21.06,21.03,19.85,20.89,21.06,21,20.5,20.51,20.73,20.71,20.81,20.2,20.73,21.03,20.79,20.36
"Apr",21.21,21.51,21.89,20.63,20.59,21.12,20.78,20.12,20.53,20.73,20.7,20.82,20.73,21.37,21.23,21.28,20.66,20.65,21.29,21.01,20.08,20.96,20.72,21.06,21.32,21.71,20.49,20.4,20.69,21.23,21.77,19.8,20.25,20.47,19.74,21.1,19.77,20.44,20.06,20.37,19.56,19.94,19.76,19.95,19.65,18.59,20.1,19.73,19.87,19.63,21.09,20.86,20.29,19.36,19.88,19.98,19.99,19.92,19.87,19.35,19.65,20.05,19.28,20.47,20.41,20.54,19.78,20.78,21.02,20.24,20.45,20.3,20.29,19.93,20.05,20.38,20.3,20.18,19.87,19.92,20.13,20.18,20.06
"May",20.48,20.16,20.86,20.06,20.28,20.59,19.7,19.96,20.03,20.17,20.42,19.63,20.25,20.45,20.92,20.91,20.14,20.41,20.6,20.85,19.76,20.14,19.9,20.22,20.82,20.56,19.68,19.74,19.84,20.47,20.66,19.11,19.88,19.7,19.33,20.02,18.61,19.88,19.6,19.65,18.47,19.5,18.88,18.49,18.95,18.21,19.46,18.99,19.29,19.09,20.11,20.05,19.5,18.57,19.34,19.44,19.3,18.96,19.17,18.45,19.37,19.63,18.99,20.04,19.31,19.9,19.4,19.53,20.34,19.43,19.78,20.11,19.38,19.71,19.46,20.12,19.5,19.18,19.33,18.96,19.5,19.32,18.88
"Jun",19.34,19.89,19.69,19.27,18.66,19.6,19.16,18.76,19.1,18.9,19.03,19.08,18.98,19.45,19.45,18.84,19.07,19.48,18.81,18.61,18.75,18.67,19.33,19.33,19.59,19.7,18.43,18.86,19.27,19.61,19.78,18.06,17.89,18.74,18.24,18.26,17.88,19.34,18.98,18.17,17.98,18.39,17.64,17.29,17.87,17.36,18.28,17.48,17.87,18.77,18.51,18.27,18.36,17.7,18.1,18.7,18.21,17.82,17.95,17.22,17.86,18.49,17.81,19.28,18.82,18.7,18.58,18.49,19.24,18.98,18.35,18.94,18.47,18.58,19.48,18.96,18.64,17.55,18,18.19,18.27,18.19,17.75
"Jul",18.26,18.79,18.44,18.28,17.58,18.65,18.35,18.25,18.38,18.19,17.69,18.41,18.44,18.72,19.22,18.58,18.07,18.04,18.37,18.61,17.69,17.88,18.18,17.65,18.76,18.49,18.43,17.72,18.5,18.17,18.46,17.32,16.77,17.21,17.44,17.53,17.51,17.76,17.58,17.41,16.88,17.03,17.52,17,17.17,17.22,17.04,16.91,17.53,17.23,16.95,17.61,17.22,16.86,18.55,17.38,17.35,16.97,17.47,16.8,16.95,17.69,17.06,17.89,18.14,17.5,17.15,16.82,18.26,18.08,17.85,17.88,17.67,17.62,17.77,17.72,17.35,16.95,17.39,17.12,17.6,17.34,16.65
"Aug",17.97,18.13,18.13,17.82,16.99,18.03,18.04,17.7,17.42,17.39,17.6,17.76,17.94,18.02,18.19,18.16,17.84,17.34,18.02,18.31,17.12,17.45,17.51,17.62,18.19,18.02,17.4,17.06,17.4,17.47,18.19,16.86,16.18,16.98,16.93,17.08,16.46,17.34,16.98,16.17,16.78,16.67,16.36,16.53,16.84,16.22,17.25,16.92,16.4,16.38,16.43,17.12,16.79,16.34,17.77,16.76,16.55,16,16.75,16.45,16.81,16.97,16.56,17.55,17.56,17.13,16.61,16.56,17.52,17.65,17.47,17.58,16.89,16.94,16.92,16.93,16.54,16.67,16.25,16.53,16.73,16.64,15.77
"Sep",17.93,17.31,17.69,17.57,16.59,17.77,17.77,17.41,17.24,17.1,16.84,17.24,17.55,17.9,17.66,18.05,17.71,17.7,17.57,17.95,16.9,17.15,17.77,17.37,17.92,17.74,17.9,16.81,18.09,17.79,18.02,16.84,16.06,16.65,16.22,17.15,16.94,17,17.33,16.96,16.47,16.17,16.26,16.72,17.09,15.87,16.92,16.49,16.58,16.46,17.28,17.23,16.85,16.42,17.43,17.17,16.33,16.55,16.56,16.85,16.95,16.06,16.44,17.36,17.57,16.9,16.4,16.51,17,17.37,17.21,17.22,16.97,17.42,16.68,16.56,17.06,16.42,16.21,16.39,16.82,16.57,16.25
"Oct",17.76,18,18.31,18.17,17.22,18.02,17.72,17.63,17.02,17.4,17.01,16.8,17.17,17.9,17.94,17.98,18.22,18.04,18.01,17.71,17.37,17.14,17.42,17.49,17.77,18.23,17.81,16.9,17.36,17.68,18.51,17.15,16.74,16.69,17.26,17.46,17.56,17.41,17.64,16.75,17.01,16.73,16.31,16.98,17.43,16.55,17.51,16.77,17.23,16.73,17.16,17.11,17.21,17.4,17.39,16.94,16.6,16.84,16.74,16.84,17.04,16.92,17.06,17.33,17.25,16.98,16.62,16.83,16.89,17.69,17.52,17.32,17.66,17.94,17.48,17.78,16.7,17.21,16.55,16.88,17.09,16.83,16.67
