"","2013","2012","2011","2010","2009","2008","2007","2006","2005","2004","2003","2002","2001","2000","1999","1998","1997","1996","1995","1994","1993","1992","1991","1990","1989","1988","1987","1986","1985","1984","1983","1982","1981","1980","1979","1978","1977","1976","1975","1974","1973","1972","1971","1970","1969","1968","1967","1966","1965","1964","1963","1962","1961","1960","1959","1958","1957","1956","1955","1954","1953","1952","1951","1950","1949","1948","1947","1946","1945","1944","1943","1942","1941","1940","1939","1938","1937","1936","1935","1934","1933","1932","1931"
"Jan",21.57,21.81,21.42,20.4,21.18,21.25,20.68,20.19,20.35,19.97,20.32,20.28,20.82,21.71,20.59,20.98,21.44,20.85,20.81,20.15,20.38,20.4,20.11,20.73,21,20.2,19.49,20.64,20.05,20.98,21.08,20.07,20.27,20.85,20.48,21,20.36,20.31,20.36,20.54,20.88,20.2,20.36,20.3,20.18,19.91,20.62,20.51,20.54,20.33,20.4,20.89,20.77,19.45,20.12,20.75,20.32,20.51,20.24,19.96,19.38,20.25,20.04,20.7,20.47,20.22,19.71,20.71,20.83,20.52,20.42,20.29,20.86,20.08,20.3,20.12,20.08,19.71,19.71,20.32,19.79,20.22,20.24
"Feb",22.25,22.3,22.46,21.09,21.52,22.19,21.06,20.53,20.78,21.36,21.15,20.95,21.37,22.28,21.42,21.51,21.71,22.16,21.55,20.64,20.78,21.59,20.71,21.45,21.97,21.5,20.26,20.95,21.12,22.08,21.44,20.58,20.43,21.29,20.48,21.08,20.95,21.13,21.21,20.78,21.02,21.44,21.11,20.79,19.96,20.39,21.55,20.68,20.74,20.51,20.98,21.67,21.91,20.16,20.55,21.81,20.63,20.94,20.56,20.56,20.22,20.6,20.39,21.38,20.96,20.9,20.76,20.95,21.15,20.87,20.94,20.58,21.12,20.2,20.89,21.05,20.92,20.54,20.29,21.3,21.21,21.31,20.7
"Mar",21.69,22.62,22.61,21.33,21.49,22.18,21.69,21.13,21.24,21.49,21.38,21.15,21.21,21.99,21.68,22,21.49,21.9,21.54,21.37,20.73,21.52,20.91,21.78,22.25,21.65,20.91,21.08,21.84,21.68,21.96,20.52,20.55,21.6,20.7,21.63,20.27,21.41,21.1,21.01,20.78,21.42,21.14,21.13,20.33,19.84,21.17,20.81,20.86,20.65,21.8,21.25,21.9,20.14,21.18,21.24,20.71,21.02,20.41,20.66,20.42,20.82,20.06,21.14,20.98,21.48,20.31,21.24,21.21,20.03,21.07,21.24,21.18,20.69,20.69,20.92,20.89,20.99,20.38,20.91,21.21,20.97,20.54
"Apr",21.57,21.95,22.12,20.82,20.86,21.43,21.07,20.41,20.76,21.02,20.97,21.05,20.95,21.47,21.78,21.58,21.14,21,21.67,21,20.08,21,21.12,21.35,21.65,21.93,20.73,20.36,21.03,21.27,21.88,19.93,20.67,20.98,20.03,21.6,19.85,20.56,20.41,20.66,19.98,20.47,20.23,20.36,20.21,18.94,20.54,20.15,20.27,19.91,21.54,21.15,20.58,19.86,20.34,20.54,20.51,20.36,20.42,19.69,20.13,20.39,19.76,20.9,20.87,20.85,20.09,21.09,21.33,20.55,20.76,20.61,20.6,20.24,20.36,20.69,20.61,20.49,20.18,20.23,20.44,20.49,20.37
"May",20.92,20.66,21.33,20.23,20.52,20.89,20.08,20.77,20.21,20.58,20.94,19.98,20.46,20.98,22.09,21.31,20.76,20.44,21.16,21.24,19.97,20.12,19.9,20.22,21.23,20.65,19.81,19.39,20.09,20.29,20.68,19.39,20.38,20.15,19.92,20.52,18.62,20.52,20.04,20.01,18.88,20.07,19.29,18.77,19.53,18.55,19.77,19.52,19.69,19.43,20.59,20.55,20.5,19,19.8,19.93,19.9,19.28,19.78,18.85,19.84,20.33,19.54,20.76,19.8,20.27,19.77,19.9,20.71,19.8,20.15,20.48,19.75,20.08,19.83,20.49,19.88,19.55,19.7,19.33,19.87,19.69,19.25
"Jun",19.64,20.31,20.12,19.53,19.07,19.93,19.5,19.23,19.66,19.34,19.46,19.54,19.54,19.81,20.04,19.8,19.49,19.96,19.24,19.18,19.09,19.17,19.83,19.61,19.83,20.08,19.15,19.23,19.89,20.21,20.12,18.73,18.48,19.17,18.67,18.84,17.93,19.54,19.19,18.56,18.56,18.71,18.2,17.93,18.4,17.66,19.02,18.27,18.65,19.14,18.92,18.86,18.66,18.09,18.85,19.18,18.8,18.06,18.45,17.73,18.38,19.01,18.53,19.65,19.35,19.14,19.02,18.93,19.68,19.42,18.79,19.37,18.91,19.02,19.92,19.4,19.08,17.99,18.44,18.62,18.71,18.63,18.19
"Jul",18.63,19.13,18.63,18.52,17.98,19.12,18.73,18.51,18.77,18.97,18.23,18.7,18.84,19.07,19.7,19.38,18.48,18.5,18.91,19.11,17.9,17.85,18.47,18.02,19.03,18.75,18.74,17.93,18.64,18.49,18.82,17.61,17.12,17.72,17.96,18,17.98,17.99,18.16,17.38,17.39,17.47,17.85,17.75,17.75,17.88,17.49,17.56,18.1,17.79,17.43,18.01,17.38,17.38,19.13,17.73,18.01,17.41,18.1,17.39,17.31,18.21,17.58,18.47,18.5,17.94,17.58,17.25,18.7,18.51,18.29,18.31,18.11,18.05,18.21,18.15,17.78,17.39,17.82,17.56,18.04,17.77,17.08
"Aug",18.29,18.3,18.55,18.15,17.55,18.37,18.46,18.01,17.64,17.77,18.08,18.23,18.3,18.33,18.71,18.68,18.42,17.62,18.43,18.82,17.38,17.79,17.97,17.95,18.5,18.18,18.01,17.16,17.83,17.94,18.24,17.1,16.54,17.5,17.45,17.57,17.06,17.73,17.17,16.82,17.42,16.93,16.68,17.21,17.59,16.71,17.63,17.44,17.07,16.94,17.26,17.53,17.14,16.73,18.1,17.27,17.06,16.44,17.16,16.9,17.26,17.42,16.94,18.07,18.06,17.52,17,16.95,17.91,18.04,17.86,17.97,17.28,17.33,17.3,17.32,16.92,17.06,16.63,16.92,17.12,17.03,16.16
"Sep",18.28,17.54,17.81,17.83,16.93,18.1,18.1,17.79,17.5,17.42,17.09,17.6,17.87,18.16,18.16,18.59,18.09,18.09,17.88,18.4,17.28,17.36,18.18,17.7,18.14,18.08,18.07,16.94,18.44,18.13,18.21,17.07,16.44,17.04,16.63,17.47,17.21,17.39,17.53,17.4,16.93,16.53,16.81,17.21,17.34,16.31,17.36,16.79,17.08,17.11,17.74,17.64,17.17,16.57,17.82,17.68,16.87,16.85,16.91,17.14,17.39,16.63,16.77,17.76,17.93,17.25,16.74,16.86,17.35,17.72,17.56,17.57,17.32,17.77,17.03,16.91,17.4,16.77,16.56,16.74,17.17,16.92,16.6
"Oct",17.87,18.09,18.59,18.58,17.63,18.2,18.03,17.91,17.17,17.61,17.33,16.98,17.37,18.31,18.6,18.16,18.64,18.39,18.28,18.06,17.42,17.35,17.65,17.5,17.73,18.43,17.97,17.08,17.53,18.21,18.78,17.49,17.2,16.93,17.32,17.64,17.96,17.85,17.94,17.04,17.49,17.03,16.77,17.61,17.67,17.03,17.79,16.84,17.54,16.93,17.52,17.59,17.35,17.7,17.82,17.2,17.11,17.09,17.1,17.21,17.18,17.19,17.38,17.79,17.53,17.28,16.93,17.14,17.2,18,17.83,17.63,17.97,18.25,17.79,18.09,17.01,17.52,16.86,17.18,17.4,17.14,16.98
"Nov",19.13,18.7,19.47,19.36,18.68,18.42,18.84,19.02,18.12,18.5,18.45,18.01,18.61,18.99,19.09,19.41,18.67,19.56,18.96,18.95,18.39,18.19,17.87,18.73,19.06,18.67,18.6,17.68,18.53,18.96,18.93,18.56,17.8,18.08,19.02,19.05,18.16,18.02,18.94,17.94,17.92,17.75,17.3,17.7,18.18,17.89,18.33,18.56,17.43,17.83,18.24,18.55,18.1,18.6,18.33,18.29,17.94,18.06,17.74,18.12,17.96,17.4,17.94,18.36,18.29,17.89,18.08,18.28,18.35,19.27,18.06,18.51,18.41,18.88,18.22,18.72,18.07,18.07,17.47,18.04,17.76,17.77,18.29
"Dec",19.68,19.9,20.28,20.09,19.76,19.67,19.51,19.85,18.92,19.76,19.26,19.35,19.26,19.88,20.43,19.9,20.28,20.13,19.81,20.01,19.19,19.37,19.14,19.38,20.07,19.44,19.13,18.81,19.47,19.68,19.75,19.86,18.78,18.83,19.64,19.78,19.75,19.08,20.06,19.1,19.33,19.99,18.33,18.9,19.23,18.66,19.57,19.57,19.45,18.59,19.83,19.63,18.79,19.62,18.81,19.66,19.48,18.94,18.84,18.93,18.92,18.28,18.78,19.01,19.77,18.89,18.81,18.83,19.73,19.82,19.21,19.49,19.3,19.61,18.98,19.47,19.31,19,18.63,19.58,19.13,19.1,19.84
