"","2003","2002","2001","2000","1999","1998","1997","1996","1995","1994","1993","1992","1991","1990","1989","1988","1987","1986","1985","1984","1983","1982","1981","1980","1979","1978","1977","1976","1975","1974","1973","1972","1971","1970","1969","1968","1967","1966","1965","1964","1963","1962","1961","1960","1959","1958","1957","1956","1955","1954","1953","1952","1951","1950","1949","1948","1947","1946","1945","1944","1943","1942","1941","1940","1939","1938","1937","1936","1935","1934","1933","1932","1931"
"Jan",18.82,18.92,19.38,19.56,18.95,19.44,19.72,18.76,19.19,18.19,19.02,19.23,19.01,19.39,18.71,18.73,18.03,18.75,19.53,19.48,19.9,18.48,19.4,19.31,19.74,19.65,19.25,18.93,18.74,19.6,19.91,18.73,19.03,18.81,19.4,19.41,19.61,19.92,19.24,19.52,19.03,19.15,19.96,18.2,18.5,19.63,19.1,18.85,18.87,18.54,18.2,19.15,18.6,19.43,19.22,18.81,18.6,19.49,19.14,18.87,18.9,18.97,19.4,18.81,19.07,18.99,18.52,18.53,18.53,19.06,18.12,18.67,18.67
"Feb",19.59,19.55,19.93,20.75,19.67,19.57,20.27,19.83,19.64,18.98,19.62,20.11,19.93,19.89,19.91,19.8,18.95,19.12,20.57,20.17,20.14,19.31,19.21,19.46,20.08,19.95,19.9,20.06,19.97,19.92,20.02,19.82,19.88,19.56,19.78,19.78,19.81,20.09,19.78,19.37,19.48,19.94,20.69,18.59,18.9,19.98,19.35,19.76,19.45,19.08,19.32,19.8,19.55,20.05,19.84,19.69,19.19,19.59,19.34,19.47,19.22,19.57,19.79,19.17,19.53,19.81,19.27,19.34,19.11,20.07,19.65,19.81,19.1
"Mar",19.61,19.22,19.35,20.42,19.88,19.62,20.09,19.84,19.58,19.29,18.99,20.13,19.68,20.11,20.1,19.85,19.1,19.3,20.33,19.63,19.85,18.92,19.03,19.43,19.9,20.11,19.14,20.37,19.32,19.87,19.43,19.59,19.78,19.18,19.41,19.09,19.93,19.94,19.88,19.28,20.03,19.67,20.73,18.49,19.48,19.68,19.38,19.44,19.28,19.13,19.3,19.66,19.13,20.22,19.19,20.03,18.82,19.51,19.06,18.69,19.14,19.85,19.43,19.19,19.28,19.41,19.24,19.34,18.83,19.26,19.41,19.33,18.67
"Apr",19.27,19.19,18.93,19.31,19.75,19.38,19.55,19.51,19.27,19.5,18.53,19.44,19.4,19.38,19.61,19.63,19.06,19.08,19.78,19.48,19.4,18.74,18.94,19.15,19.41,19.8,18.32,19.38,18.61,19.6,18.73,19.15,19.32,19.02,19.09,18.2,19.16,19.53,19.4,18.48,19.68,19.6,19.44,18.33,18.42,18.78,19,18.36,18.71,18.3,19.18,19.17,19.02,19.42,19.21,19.32,19.27,19.28,19.07,18.73,18.85,18.72,18.71,18.69,18.92,19.04,19.1,18.56,18.44,18.69,18.42,18.86,18.36
"May",18.37,18.62,18.17,18.81,18.94,18.74,18.86,19.47,18.61,19.28,17.83,18.57,19.02,18.97,18.88,18.32,17.99,18.23,19.31,18.58,18.6,17.94,18.34,18.3,17.99,18.78,17.47,19.22,17.91,18.76,17.83,18.52,18.67,17.9,18.52,17.11,18.69,18.45,19.28,18.32,19.03,18.67,18.96,17.71,18.31,18.24,17.9,17.62,18.12,17.1,18.15,18.32,18.24,19.07,17.96,18.95,17.91,17.52,18.43,17.81,18.24,19.31,17.92,18.24,18.37,18.66,18.35,17.83,17.82,18.07,17.79,18.61,17.66
"Jun",17.38,17.73,17.73,18.05,18.24,17.86,18.1,18.22,17.6,17.39,17.41,17.6,18.41,17.89,18.66,18.09,17.9,17.86,18.37,18,17.85,17.46,16.97,17.97,17.36,18.19,16.8,18.01,17.72,17.6,17.38,17.83,17.54,16.98,17.18,16.68,18.47,17.57,18.09,17.4,18.25,17.96,18.25,17.22,17.58,17.14,17.74,17.05,17.21,16.66,17.61,17.6,17.38,18.26,17.75,17.97,16.94,17.85,17.84,17.37,17.38,17.8,17.38,17.48,17.96,17.53,17.09,16.41,16.86,17.24,17.08,17.21,16.46
"Jul",16.5,16.87,17.27,17.05,17.31,16.84,17.06,17.51,17.08,16.91,16.47,17.01,17.59,17.01,17.27,16.98,17.13,16.97,17.91,17.3,16.66,16.3,15.9,16.75,16.96,16.41,16.51,17.17,16.72,16.7,16.64,16.01,17.24,16.69,17.15,16.72,17.23,16.72,17.65,16.79,17.27,17.28,16.71,16.73,17.39,15.94,16.98,16.1,16.74,16.59,16.35,16.93,16.56,16.67,16.69,16.42,16.82,16.15,16.78,16.32,16.68,16.78,16.71,16.56,16.57,16.3,16.34,16.11,16.07,16.08,15.91,16.32,15.79
"Aug",15.98,16.13,17.05,16.29,16.07,16.04,16.32,16.77,16.85,16.51,15.97,16.24,16.67,15.85,16.61,16.27,16.43,15.76,17.04,16.44,15.91,15.66,15.37,15.8,16.26,15.77,16.24,16.39,16.16,15.95,15.87,15.68,16.08,15.86,16.56,15.67,16.47,16.17,16.81,16.23,16.61,16.78,15.9,15.94,16.48,15.66,16.36,15.1,15.74,15.79,15.87,16.1,15.76,16.31,16.7,16.26,15.67,15.91,15.96,16.01,16.24,16.39,15.88,15.87,15.68,15.53,15.48,15.51,14.95,15.86,15.55,15.23,14.52
"Sep",15.47,15.72,15.78,15.94,16.32,16.5,16.19,16.72,15.64,16.41,15.86,15.36,16.44,15.8,16.33,16.04,16.79,15.67,16.39,16.3,15.75,15.73,15.33,15.85,15.63,15.6,16.12,16.36,16.09,16.33,15.31,15.33,16.05,15.54,16.36,15.47,15.73,16.02,15.96,16.03,16.45,16.39,15.91,15.86,16.38,16,15.87,15.44,15.69,16.03,15.94,15.6,15.78,15.76,16.18,16.01,15.56,15.27,15.66,15.33,15.97,16.05,15.86,16.02,15.38,15.28,16.09,15.59,15.37,15.34,15.46,15.49,15.37
"Oct",16,15.55,15.57,16.12,16.24,15.92,16.7,16.59,16.18,16.27,15.79,15.59,16.79,15.99,15.94,16.22,16.04,15.67,16.23,16.82,16.11,16.11,16.25,15.49,16.15,16.33,16.71,16.8,16.6,16.02,15.97,16.13,15.56,15.87,16.15,16.29,16.36,16.01,16.61,16.03,16.65,16.19,16.12,16.08,16.44,15.63,16.02,15.67,16.07,16.56,15.57,15.87,15.97,15.34,15.88,16.23,15.39,15.82,15.58,16.14,16.1,15.64,16.38,16.3,16.18,16.1,15.78,16,15.47,15.7,15.61,15.52,15.5
