"","2003","2002","2001","2000","1999","1998","1997","1996","1995","1994","1993","1992","1991","1990","1989","1988","1987","1986","1985","1984","1983","1982","1981","1980","1979","1978","1977","1976","1975","1974","1973","1972","1971","1970","1969","1968","1967","1966","1965","1964","1963","1962","1961","1960","1959","1958","1957","1956","1955","1954","1953","1952","1951","1950","1949","1948","1947","1946","1945","1944","1943","1942","1941","1940","1939","1938","1937","1936","1935","1934","1933","1932","1931"
"Jan",18.86,18.73,19.45,19.63,19.09,19.52,19.57,18.78,19.25,18.23,19.17,19.08,18.84,19.42,18.7,18.55,17.95,18.8,19.45,19.21,19.79,18.51,19.43,19.2,19.46,19.58,18.98,18.81,18.6,19.32,19.75,18.49,18.96,18.56,19.16,19.11,19.17,19.69,18.85,19.27,18.82,19.03,19.6,17.98,18.33,19.48,18.74,18.62,18.62,18.34,18.02,18.99,18.6,19.17,18.89,18.6,18.43,19.26,18.8,18.88,18.61,18.64,19.27,18.4,18.95,18.92,18.39,18.41,18.31,18.61,17.96,18.29,18.53
"Feb",19.62,19.52,20.02,20.63,19.71,19.82,20.2,19.65,19.66,18.83,19.58,20,19.86,19.81,19.79,19.51,18.94,19.26,20.29,20.01,19.87,19.31,19.24,19.38,19.82,20,19.67,19.76,19.68,19.73,19.76,19.5,19.65,19.25,19.49,19.62,19.53,19.97,19.53,19.16,19.3,19.73,20.32,18.4,18.93,19.94,19.08,19.48,19.25,18.86,19.14,19.55,19.42,19.64,19.45,19.32,19.02,19.31,18.97,19.42,18.97,19.24,19.55,18.85,19.31,19.64,19.05,19.13,18.84,19.66,19.61,19.22,18.84
"Mar",19.64,19.24,19.5,20.35,19.83,19.77,19.91,19.78,19.57,19.09,19.1,20.07,19.48,20.02,19.89,19.53,19.05,19.3,20.18,19.53,19.86,18.82,19.03,19.18,19.8,20.08,19.03,20.01,19.12,19.69,19.26,19.45,19.78,19.03,19.2,18.9,19.33,19.59,19.64,18.95,19.72,19.32,20.57,18.35,19.42,19.6,19.16,19.31,18.89,18.8,19.09,19.52,18.86,19.83,18.92,19.47,18.64,19.19,18.62,18.37,18.92,19.8,19.22,18.96,19.13,19.26,19.01,19.13,18.51,18.91,19.04,18.91,18.51
"Apr",19.03,19,18.86,19.18,19.42,19.36,19.23,19.25,18.91,19.04,18.62,19.2,19.18,19.38,19.3,19.37,18.72,18.91,19.49,19.25,19.29,18.37,18.76,18.81,19.08,19.5,18.05,19.14,18.21,19.3,18.53,18.89,19.03,18.74,18.69,17.9,18.71,18.84,19.15,17.97,19.03,19.13,19.06,17.86,18.26,18.51,18.65,18.27,18.25,17.73,18.87,18.78,18.59,18.98,18.76,18.8,18.73,18.71,18.48,18.3,18.55,18.62,18.45,18.29,18.58,18.65,18.72,18.15,18.02,18.27,17.97,18.42,18.1
"May",18.25,18.47,18.1,18.44,18.66,18.48,18.58,18.89,18.21,18.84,17.86,18.2,18.6,18.91,18.62,18.23,17.83,18.09,18.81,18.46,18.29,17.67,18.08,18.14,17.67,18.32,17.18,18.67,17.78,18.45,17.56,18.06,18.26,17.4,17.99,16.81,18.22,17.77,18.59,17.63,18.51,18.25,18.26,16.88,17.95,17.83,17.69,17.3,17.4,16.79,17.89,17.91,18.04,18.47,17.65,18.09,17.68,17.18,17.93,17.38,18,18.7,17.6,17.88,17.96,18.1,17.98,17.47,17.32,17.69,17.29,17.74,17.33
"Jun",17.14,17.5,17.42,17.65,17.83,17.49,17.75,17.72,17.28,17.14,17.01,17.52,18.06,17.4,18.03,17.81,17.27,17.51,17.62,17.89,17.71,17.07,16.63,17.57,16.86,17.69,16.1,17.56,17.33,17.29,16.86,17.54,17.35,16.8,16.71,16.17,18.02,16.8,17.55,16.77,17.77,17.04,17.9,16.82,17.02,16.68,17.3,16.57,16.68,16.28,16.8,16.97,16.93,17.91,17.45,17.62,16.66,17.36,17.37,16.83,16.94,17.03,17.06,17.11,17.45,17.18,16.56,15.72,16.4,16.83,16.5,16.58,16.23
"Jul",16.29,16.52,16.83,16.77,17.1,16.61,16.69,16.87,16.68,16.47,16.41,16.64,17.04,16.58,17.16,16.47,16.38,16.54,17.45,16.76,16.46,15.84,15.29,16.28,16.54,15.93,15.93,17.08,16.54,16.5,16.27,15.89,16.93,16.22,16.52,16.19,16.92,16.27,17.11,16.23,16.83,16.74,16.26,16.04,17.19,15.72,16.48,15.61,16.06,16.08,15.89,16.52,16.15,16.28,16.52,16.09,16.5,15.71,16.38,15.76,16.26,16.21,16.4,16.1,16,15.92,15.79,15.75,15.72,15.75,15.61,15.87,15.38
"Aug",15.87,16.08,16.69,16.04,16.16,15.88,16.09,16.38,16.33,16.26,15.74,15.99,16.38,15.71,16.2,15.99,16.04,15.5,16.79,16.17,15.42,15.54,14.54,15.62,15.76,15.3,15.83,16.54,15.97,15.74,15.7,15.36,15.88,15.58,16.27,15.35,16.07,15.76,16.21,15.88,16.27,16.41,15.43,15.61,16.3,15.28,15.84,14.81,15.33,15.25,15.37,15.69,15.42,16.04,16.33,15.93,15.61,15.41,15.63,15.81,15.91,15.73,15.73,15.44,15.4,15.23,15.26,15.2,14.57,15.55,15.1,14.9,14.26
"Sep",15.22,15.5,15.6,15.72,16.03,16.06,15.98,16.23,15.63,15.98,15.57,15.14,16.15,15.78,15.81,15.66,16.48,15.15,16.17,15.85,15.72,15.68,14.81,15.46,15.06,15.25,15.39,16.18,15.92,15.9,15.31,15.11,15.67,15.33,15.81,15.12,15.53,15.44,15.58,15.81,16.19,16.04,15.59,15.4,16.17,15.49,15.66,15.23,15.4,15.59,15.61,15.25,15.36,15.41,15.8,15.18,15,15,15.25,15.03,15.7,15.34,15.57,15.48,15.09,14.83,15.52,15.12,14.95,15.15,14.96,15.24,14.67
"Oct",15.69,15.41,15.36,15.94,15.98,15.83,16.46,16.42,15.95,15.87,15.4,15.25,16.38,15.98,15.58,15.57,15.79,15.36,16.04,16.32,16.06,15.9,15.55,15.05,15.62,15.86,16.09,16.71,16.36,15.56,15.59,15.77,14.96,15.32,15.78,15.57,15.8,15.3,16.31,15.53,16.15,15.84,15.82,15.56,16.24,15.26,15.47,15.02,15.53,15.88,15.39,15.33,15.59,15.06,15.44,15.6,15.04,15.69,15.17,15.63,15.69,15.25,15.94,15.83,15.79,15.7,15.5,15.44,15.12,15.35,15.11,15.06,14.84
