"","2003","2002","2001","2000","1999","1998","1997","1996","1995","1994","1993","1992","1991","1990","1989","1988","1987","1986","1985","1984","1983","1982","1981","1980","1979","1978","1977","1976","1975","1974","1973","1972","1971","1970","1969","1968","1967","1966","1965","1964","1963","1962","1961","1960","1959","1958","1957","1956","1955","1954","1953","1952","1951","1950","1949","1948","1947","1946","1945","1944","1943","1942","1941","1940","1939","1938","1937","1936","1935","1934","1933","1932","1931"
"Jan",21.24,20.85,21.83,22.6,21.02,21.24,22.13,21.52,21.42,21.8,20.69,21.32,21.46,20.9,22.03,20.84,19.89,21.48,20.63,21.79,21.58,20.38,21.02,21.35,21.09,21.93,20.8,20.93,21.45,21.27,21.67,20.48,21.25,20.14,21.33,20.7,20.91,21.36,21.22,20.69,21.02,21.69,21.6,20.43,21.03,21.52,20.76,20.97,20.88,20.86,19.99,20.89,20.57,21.67,20.86,20.99,20.41,21.36,21.6,21.3,21.24,20.95,21.61,20.78,20.89,20.83,20.8,20.37,20.39,21.04,20.53,20.98,20.98
"Feb",22.07,21.55,22.11,22.9,22.06,22.54,22.29,22.65,22.45,21.19,20.97,22.15,21.76,22.14,22.91,22.81,20.89,21.46,22.02,22.92,22.26,21.29,21.36,22.1,21.24,21.78,21.55,21.93,21.64,21.64,21.62,22.18,21.88,21.41,20.87,21.2,22.25,21.76,21.37,21.31,21.65,22.92,22.7,21.1,21.84,22.61,21.33,21.76,21.3,21.42,20.96,21.34,20.97,22.37,21.84,21.69,21.56,21.67,21.99,21.69,21.81,21.34,21.93,20.97,21.6,21.83,21.75,21.27,20.99,22.08,22.07,22.13,21.42
"Mar",22.11,21.94,21.91,22.64,21.71,22.88,22.11,22.73,22.17,22.75,20.87,22.13,21.84,22.53,23.18,22.66,21.98,21.4,22.64,21.82,22.71,21.72,21.43,22.42,21.51,22.39,20.58,21.99,21.24,21.48,21.37,22.2,21.62,21.35,21.01,20.47,21.51,21.74,21.55,21.56,22.21,21.95,22.88,21.15,22.19,22.18,21.66,21.52,21.41,21.39,21.28,21.56,20.89,22.17,21.88,22.22,21.02,21.94,22.06,20.72,21.87,21.84,21.96,21.42,21.39,21.74,21.67,21.76,21.07,21.64,21.97,21.76,21.31
"Apr",21.69,22,21.9,22.73,22.8,22.5,22.17,22.05,22.5,22,21.06,21.95,21.7,22.14,22.58,22.56,22.25,20.92,21.89,22.09,22.39,20.83,21.4,21.57,21.35,22.17,20.59,21.4,21.5,21.18,20.55,21.25,21.36,20.86,20.52,19.72,21.57,21.01,21.43,20.97,22.58,21.76,21.41,20.81,21.55,21.52,21.08,21.13,21.29,20.54,21.03,21.19,20.62,21.83,21.85,21.69,20.82,21.89,22.18,21.39,21.69,21.41,21.48,21.14,21.14,21.56,21.43,21.35,20.96,21.01,21.3,21.34,21.29
"May",21.93,21.11,21.99,21.85,23.56,22.12,21.69,21.73,21.57,22.16,20.66,20.8,21.25,21.15,22.59,21.26,20.7,20.54,20.39,20.96,21.74,20.41,21.71,20.8,20.56,21.58,19.23,21.16,21.08,20.58,19.8,20.68,20.57,20.03,20.26,19.2,21.41,20.74,21.02,20.49,21.23,21.72,20.81,19.72,21.24,21.19,20.79,20.09,20.75,19.65,20.52,20.77,20.4,21.61,20.58,21.16,20.61,20.79,21.54,20.67,21.03,21.26,20.6,20.95,20.57,21.3,20.65,20.38,20.54,20.08,20.71,20.6,20.17
"Jun",20.42,20.3,20.52,20.32,21.65,21.39,20.01,21.14,19.97,20.29,20.14,19.45,21.09,19.53,19.78,20.6,20.07,20.33,20.2,21.14,20.89,19.63,19.53,19.74,19.66,19.92,18.53,19.81,19.89,18.85,19.45,18.96,18.82,18.9,18.8,18.08,20.52,19.44,19.79,20.18,19.34,19.62,19.27,19.02,20.26,19.93,19.83,18.76,18.95,18.71,19.21,19.56,19.49,20.28,20.24,19.92,19.79,19.82,20.49,20.3,19.57,20.17,19.73,19.8,20.63,20.26,19.88,18.72,19.23,19.38,19.51,19.44,19.09
"Jul",19.15,19.63,19.94,19.92,20.47,20.64,19.69,19.56,19.35,20.1,18.83,18.8,18.96,18.56,19.89,19.55,20.02,19.33,18.92,19.86,18.76,18.93,18.48,18.85,19.11,18.79,18.89,19.05,19.02,18.12,18.01,18.14,19.11,18.79,18.55,18.35,18.59,18.32,19.18,18.94,17.96,19.33,18.2,18.25,19.88,18.93,18.77,18.17,18.86,18.51,18.6,18.86,18.8,19.39,19.19,18.81,18.3,18.07,19.68,19.44,19.19,19.25,19.02,19,19.06,19.15,18.76,18.24,18.75,18.5,18.9,18.75,17.9
"Aug",18.98,18.88,19.15,19.12,19.58,19.27,19,18.99,18.9,19.39,18.25,18.92,18.84,18.89,19.14,19.37,19.04,18.33,18.55,19.44,18.96,18.29,17.64,18.46,18.61,18.57,18.13,18.83,18.3,17.84,17.86,17.51,18.04,18.18,18.49,17.79,18.92,17.81,17.91,18.03,18.15,18.63,17.51,17.72,19.22,18.22,17.54,17.4,17.85,17.62,18.38,18.07,17.56,19.06,18.85,18.41,17.85,17.88,18.89,18.89,18.73,18.97,18.04,18.2,18.18,18.23,17.81,17.93,17.49,17.68,18.01,17.99,17.14
"Sep",18.02,18.53,18.85,19.05,19.23,19.66,19.08,19.12,18.87,19.11,18.26,18.62,19.24,18.61,18.82,19.23,18.68,18.02,19.17,18.78,19.05,18.21,17.61,18.09,17.77,18.11,18.02,18.42,18.03,18.04,18.11,17.37,17.8,18.04,18.12,17.33,18.23,17.48,17.7,17.81,18.34,18.44,18.08,17.61,19.17,18.69,17.71,17.41,17.92,17.92,18.22,17.3,17.82,18.69,18.88,18.19,17.62,17.85,18.36,18.72,18.53,18.54,18.23,18.75,17.97,17.89,18.28,17.65,17.39,17.63,18.1,17.92,17.6
"Oct",17.97,17.67,18.81,19.25,19.04,18.52,19.57,19.03,18.85,18.85,18,18.17,18.95,18.09,18.19,19.66,18.85,17.91,18.66,19.26,20.25,18.07,18.47,18.08,18.57,18.37,18.94,18.69,18.87,18.04,18.22,17.97,17.51,18.43,18.2,18.58,18.96,17.43,18.78,17.26,18.28,17.93,18.32,18.72,18.85,18.48,18.14,17.7,17.84,18.3,18.29,17.98,18.09,18.92,18.51,18.22,17.76,17.92,18.15,18.96,18.79,18.6,18.79,19.2,18.66,19.03,17.88,18.31,17.73,18.08,18.32,18.13,17.97
"Nov",19.24,19.03,19.39,19.76,19.93,20.04,19.28,20.23,19.81,19.77,19.1,19.06,18.57,19.57,19.73,19.4,19.53,18.15,18.94,19.49,19.95,19.51,18.63,18.9,19.97,19.95,18.55,18.52,19.71,18.96,18.42,18.71,17.98,18.53,19.16,18.72,19.07,19.34,18.51,18.37,19.39,19.17,18.99,19.57,19.58,19.16,18.91,18.49,18.58,18.83,18.76,17.99,18.74,18.95,19.38,18.71,18.9,19.16,19.18,20.13,19.06,19.45,19.14,19.78,18.99,19.57,18.83,18.83,18.23,18.88,18.55,18.61,19.21
"Dec",20.11,20.2,20.17,20.58,21.51,20.34,20.92,21.07,20.39,20.87,20.01,20.15,19.96,19.9,20.72,20.49,19.84,19.29,19.84,20.16,20.58,20.81,19.29,19.63,20.21,20.8,20.71,19.56,20.79,19.63,19.93,20.62,19.41,19.93,19.97,19.64,20.3,20.69,20.66,19.42,20.5,19.98,19.44,20.44,19.94,20.57,20.4,19.53,19.72,19.63,19.59,18.88,19.49,19.79,20.69,19.62,19.64,19.61,20.41,20.61,20.1,20.36,20,20.41,19.75,20.21,20.03,19.7,19.33,20.28,19.88,19.84,20.66
