"","2013","2012","2011","2010","2009","2008","2007","2006","2005","2004","2003","2002","2001","2000","1999","1998","1997","1996","1995","1994","1993","1992","1991","1990","1989","1988","1987","1986","1985","1984","1983","1982","1981","1980","1979","1978","1977","1976","1975","1974","1973","1972","1971","1970","1969","1968","1967","1966","1965","1964","1963","1962","1961","1960","1959","1958","1957","1956","1955","1954","1953","1952","1951","1950","1949","1948","1947","1946","1945","1944","1943","1942","1941","1940","1939","1938","1937","1936","1935","1934","1933","1932","1931"
"Jan",22.49,22.76,22.21,21.36,22.09,22.21,21.62,21.08,21.15,21.16,21.35,21.13,21.8,22.67,21.31,21.67,22.25,21.66,21.73,21.55,21,21.36,21.44,21.12,21.91,21.07,20.24,21.41,20.89,21.96,21.93,20.78,21.12,21.62,21.15,22.01,20.92,21.13,21.35,21.49,21.84,20.81,21.3,20.64,21.2,20.81,21.26,21.51,21.35,21,21.19,21.9,21.56,20.45,21.16,21.57,21.01,21.19,21.05,20.93,20.17,21.01,20.71,21.75,21.1,21.13,20.55,21.49,21.74,21.44,21.37,21.09,21.74,20.91,21.03,20.97,20.93,20.51,20.52,21.18,20.67,21.11,21.12
"Feb",23.39,23.38,23.59,22.26,22.54,23.2,22.08,21.55,21.63,22.27,22.22,21.85,22.26,23.07,22.29,22.6,22.44,22.87,22.51,21.38,21.34,22.32,21.85,22.25,22.99,22.81,21.26,21.73,22.3,22.9,22.52,21.48,21.39,22.18,21.4,21.93,21.75,22,21.92,21.79,21.77,22.37,21.99,21.59,21.07,21.39,22.56,21.86,21.61,21.57,21.88,22.77,22.71,21.16,21.83,22.68,21.53,21.98,21.5,21.53,21.14,21.54,21.18,22.54,22.01,21.87,21.74,21.85,22.17,21.87,21.99,21.51,22.1,21.15,21.78,22.01,21.92,21.45,21.17,22.26,22.25,22.3,21.6
"Mar",22.61,23.63,23.78,22.23,22.58,23.15,22.64,22.17,22.29,22.48,22.43,22.1,22.14,22.86,22.17,23.07,22.36,22.87,22.61,22.59,21.33,22.3,21.97,22.56,23.36,22.81,22.09,21.82,22.78,22.32,23.02,21.68,21.53,22.49,21.6,22.59,20.88,22.21,21.72,21.83,21.71,22.25,21.87,21.69,21.25,20.75,21.92,21.93,21.7,21.83,22.5,22.1,22.98,21.22,22.34,22.22,21.83,21.76,21.56,21.56,21.39,21.79,21.07,22.32,22.05,22.42,21.22,22.14,22.26,20.92,22.07,22.04,22.16,21.62,21.59,21.94,21.87,21.96,21.27,21.84,22.17,21.96,21.51
"Apr",22.6,22.88,22.97,21.89,21.92,22.41,22.03,21.39,21.84,22.03,21.86,22.17,22.04,22.69,22.73,22.78,22.23,22.23,22.62,22.27,21.31,22.08,21.84,22.23,22.66,22.72,22.17,21.32,22.21,22.26,22.61,21.11,21.34,21.66,21.35,22.2,20.8,21.63,21.54,21.43,20.74,21.34,21.36,21.13,20.77,20.17,21.62,21.2,21.65,21.1,22.49,21.89,21.38,20.86,21.48,21.48,21.14,21.18,21.23,20.7,21.16,21.35,20.71,21.96,21.88,21.81,20.95,22.01,22.3,21.51,21.81,21.53,21.6,21.26,21.26,21.68,21.55,21.47,21.08,21.13,21.42,21.46,21.41
"May",21.87,21.72,22.46,21.02,21.52,22,21.28,21.61,21.64,21.83,21.97,21.27,21.96,21.89,23.14,22.28,21.63,21.73,21.77,22.3,20.88,21.11,21.2,21.28,22.46,21.55,20.78,20.63,20.9,21.37,21.9,20.62,21.62,20.98,20.64,21.47,19.67,21.18,21.08,20.88,20.04,20.92,20.58,20.08,20.4,19.42,21.35,20.73,21.01,20.66,21.34,21.76,20.76,19.93,21.21,21.02,20.83,20.18,20.75,19.79,20.68,20.85,20.49,21.74,20.72,21.31,20.76,20.94,21.68,20.81,21.17,21.4,20.74,21.09,20.71,21.44,20.79,20.52,20.68,20.22,20.86,20.74,20.32
"Jun",20.61,21.12,20.88,20.37,19.66,20.95,20.19,20.28,20.63,20.4,20.5,20.43,20.64,20.58,21.46,21.33,20.16,21.08,20.04,20.28,20.19,19.91,21.04,19.96,20.1,20.77,20.27,20.18,20.47,20.88,20.96,19.72,19.41,19.94,19.7,19.94,18.83,19.91,20.01,19.17,19.34,19.26,19.14,19.04,18.97,18.49,20.48,19.61,19.75,19.88,19.54,19.78,19.33,19.21,20.1,19.81,19.72,18.8,19.06,18.78,19.32,19.62,19.39,20.12,20.25,20.01,19.88,19.9,20.57,20.38,19.66,20.26,19.81,19.89,20.72,20.34,19.96,18.81,19.32,19.46,19.59,19.53,19.18
"Jul",19.78,19.81,19.52,19.26,18.81,19.65,19.68,19.43,19.75,20.08,19.45,19.79,20.01,19.99,20.63,20.58,19.47,19.5,19.44,20.15,19.11,19.14,19.31,18.92,20.01,19.71,20.09,19.05,19.37,20.13,19.15,19.05,18.47,18.88,19.13,18.83,19.11,19.17,19.09,18.48,18.3,18.25,19.15,18.82,18.82,18.5,18.67,18.57,19.19,18.83,18.31,19.25,18.43,18.33,20.03,18.96,18.83,18.24,18.77,18.39,18.51,18.94,18.69,19.46,19.48,18.92,18.41,18.18,19.78,19.54,19.3,19.36,19.13,19.1,19.16,19.25,18.86,18.34,18.85,18.6,19,18.85,18
"Aug",19.51,19.09,19.43,19.13,18.27,19.34,19.5,18.99,18.92,18.95,19.12,18.96,19.29,19.25,19.75,19.56,19.09,19.17,19.1,19.55,18.55,19.09,19.05,18.96,19.24,19.53,19.14,18.55,18.71,19.48,19.2,18.49,17.76,18.53,18.67,18.61,18.36,18.89,18.39,17.93,18.08,17.71,18.06,18.37,18.67,17.81,18.93,17.82,18.03,18.09,18.17,18.78,17.68,17.84,19.33,18.35,17.65,17.47,18,17.69,18.36,18.22,17.76,18.99,19.01,18.54,17.97,18.01,19.01,19.01,18.86,19.09,18.16,18.33,18.31,18.35,17.94,18.06,17.61,17.8,18.13,18.12,17.26
"Sep",19.11,18.31,19.03,18.92,18.24,18.98,19.11,18.73,18.54,18.56,18.18,18.64,18.98,19.18,19.23,19.63,19.08,19.29,19.03,19.28,18.44,18.67,19.36,18.69,18.98,19.27,19.1,18.21,19.23,19.02,19.2,18.39,17.82,18.2,17.9,18.26,18.32,18.53,18.41,18.21,18.18,17.55,17.96,18.24,18.45,17.48,18.48,17.61,17.85,17.78,18.48,18.6,18.2,17.78,19.19,18.78,17.74,17.6,17.98,18.04,18.3,17.47,17.97,18.87,18.92,18.31,17.74,17.97,18.49,18.85,18.66,18.66,18.36,18.88,18.09,18.02,18.41,17.77,17.51,17.75,18.23,18.05,17.73
"Oct",18.76,19.12,19.55,19.38,18.73,19.51,19.48,18.63,18.05,18.39,18.37,17.99,18.97,19.27,19.05,18.78,19.64,19.33,19.18,19.02,18.32,18.26,18.99,18.52,18.56,19.73,19.06,18.09,18.73,19.43,20.02,18.31,18.5,18.18,18.79,18.52,18.8,18.78,18.85,18.12,18.46,18.12,17.83,18.44,18.53,18.29,19.06,17.79,18.71,17.58,18.4,18.28,18.36,18.8,18.9,18.53,18.15,17.93,18.02,18.31,18.43,18.09,18.24,18.91,18.66,18.35,17.89,18.05,18.28,19.09,18.92,18.73,18.92,19.33,18.79,19.16,18.01,18.44,17.86,18.21,18.46,18.27,18.1
