"","2003","2002","2001","2000","1999","1998","1997","1996","1995","1994","1993","1992","1991","1990","1989","1988","1987","1986","1985","1984","1983","1982","1981","1980","1979","1978","1977","1976","1975","1974","1973","1972","1971","1970","1969","1968","1967","1966","1965","1964","1963","1962","1961","1960","1959","1958","1957","1956","1955","1954","1953","1952","1951","1950","1949","1948","1947","1946","1945","1944","1943","1942","1941","1940","1939","1938","1937","1936","1935","1934","1933","1932","1931"
"Jan",20.88,20.68,21.39,22.23,20.92,21.28,21.85,21.34,21.29,21.06,20.66,20.94,20.93,20.88,21.55,20.69,19.84,21.14,20.46,21.47,21.48,20.32,20.71,21.19,20.81,21.55,20.63,20.67,20.93,20.99,21.36,20.4,20.88,20.29,20.77,20.36,20.85,21.08,20.93,20.59,20.76,21.42,21.21,20.02,20.68,21.21,20.62,20.83,20.65,20.49,19.75,20.63,20.35,21.28,20.78,20.73,20.14,21.09,21.33,21.03,20.97,20.69,21.34,20.51,20.63,20.56,20.53,20.11,20.12,20.77,20.26,20.71,20.71
"Feb",21.75,21.38,21.85,22.7,21.83,22.2,22.05,22.52,22.11,21.03,21,21.94,21.4,21.92,22.58,22.3,20.75,21.34,21.73,22.59,22.01,21.08,20.95,21.75,20.95,21.53,21.35,21.6,21.52,21.27,21.39,21.93,21.55,21.15,20.51,20.86,22.04,21.36,21.21,21.07,21.41,22.36,22.37,20.72,21.29,22.31,21.09,21.44,21.05,21.09,20.69,21.1,20.76,22,21.52,21.42,21.29,21.4,21.72,21.42,21.54,21.06,21.65,20.7,21.33,21.56,21.47,21,20.72,21.81,21.8,21.85,21.15
"Mar",21.92,21.66,21.7,22.42,21.77,22.61,21.88,22.44,22.02,22.15,21,21.95,21.55,22.24,22.85,22.27,21.62,21.39,22.35,21.91,22.52,21.23,21.09,22.1,21.17,22.15,20.5,21.8,21.32,21.32,21.19,21.9,21.45,21.29,20.73,20.21,21.45,21.43,21.27,21.21,22,21.7,22.5,20.74,21.8,21.81,21.31,21.38,21.04,21.1,20.95,21.31,20.58,21.8,21.52,21.95,20.75,21.68,21.79,20.45,21.61,21.58,21.7,21.15,21.13,21.48,21.41,21.5,20.8,21.38,21.71,21.5,21.05
"Apr",21.45,21.65,21.55,22.19,22.32,22.22,21.73,21.67,22.17,21.67,20.78,21.63,21.51,21.83,22.22,22.4,21.62,20.83,21.61,21.86,22.26,20.53,21.06,21.29,20.79,21.94,20.31,21.16,21.09,21.01,20.29,20.91,20.88,20.69,20.38,19.53,21.11,20.68,20.98,20.55,22.13,21.54,21.02,20.37,21.02,21.07,20.8,20.79,20.86,20.2,20.67,20.89,20.26,21.47,21.43,21.37,20.5,21.57,21.86,21.07,21.36,21.09,21.16,20.82,20.82,21.24,21.11,21.03,20.63,20.69,20.98,21.02,20.97
"May",21.51,20.69,21.34,21.46,22.71,21.77,21.26,21.25,21.4,21.79,20.46,20.63,20.7,20.74,21.99,21.14,20.4,20.24,20.35,20.87,21.3,19.98,21.12,20.55,20.28,21.12,19.08,20.91,20.63,20.41,19.4,20.46,20.06,19.44,19.9,18.94,20.69,20.18,20.44,20.1,21.01,21.25,20.6,19.42,20.62,20.61,20.38,19.77,20.27,19.34,20.23,20.56,20.01,21.16,20.23,20.84,20.3,20.47,21.22,20.35,20.71,20.94,20.28,20.63,20.25,20.98,20.33,20.06,20.22,19.76,20.4,20.28,19.86
"Jun",20,20.01,20.15,20.16,20.92,20.68,19.81,20.62,19.59,19.76,19.72,19.47,20.59,19.63,19.9,20.37,19.76,19.81,20.09,20.56,20.53,19.23,18.96,19.54,19.24,19.54,18.31,19.73,19.67,18.79,18.93,18.9,18.64,18.47,18.58,18.04,19.87,19,19.27,19.67,19.2,19.32,19.02,18.69,19.64,19.53,19.29,18.47,18.73,18.29,18.87,19.29,18.97,19.88,19.88,19.6,19.47,19.5,20.17,19.98,19.25,19.85,19.41,19.48,20.31,19.94,19.56,18.4,18.91,19.06,19.19,19.12,18.77
"Jul",18.86,19.34,19.54,19.6,20.27,20.11,19.05,18.99,19.13,19.71,18.55,18.44,18.74,18.36,19.56,19.21,19.53,18.75,18.81,19.32,18.77,18.35,17.83,18.3,18.63,18.46,18.51,18.61,18.63,17.87,17.75,17.79,18.65,18.27,18.28,18.2,18.06,18.08,18.72,18.36,17.86,18.76,17.93,17.92,19.66,18.49,18.42,17.88,18.49,17.99,18.02,18.59,18.27,19.02,19,18.46,17.95,17.72,19.33,19.08,18.84,18.9,18.67,18.65,18.7,18.8,18.4,17.89,18.39,18.15,18.55,18.39,17.54
"Aug",18.68,18.66,18.85,18.84,19.29,19.04,18.77,18.52,18.77,19.21,17.98,18.52,18.47,18.56,18.92,18.98,18.66,17.96,18.28,18.84,18.74,17.88,17.23,18.03,18.16,18.23,17.78,18.43,17.89,17.46,17.66,17.3,17.47,17.86,18.13,17.37,18.41,17.62,17.51,17.6,17.71,18.27,17.39,17.37,18.86,17.88,17.31,16.96,17.59,17.33,17.94,17.84,17.37,18.59,18.54,18.1,17.54,17.57,18.57,18.57,18.42,18.65,17.72,17.89,17.87,17.92,17.5,17.62,17.17,17.36,17.7,17.68,16.83
"Sep",17.67,18.2,18.5,18.75,18.78,19.21,18.68,18.74,18.49,18.89,17.9,18.14,18.86,18.26,18.6,18.74,18.56,17.67,18.87,18.54,18.71,17.78,17.19,17.63,17.31,17.88,17.76,18.05,17.97,17.8,17.61,17.01,17.38,17.73,17.91,16.97,17.97,17.18,17.47,17.44,18.12,18.14,17.73,17.25,18.64,18.3,17.34,17.21,17.53,17.63,17.91,17.05,17.45,18.42,18.5,17.85,17.29,17.51,18.03,18.39,18.2,18.2,17.9,18.42,17.63,17.56,17.95,17.32,17.06,17.3,17.77,17.59,17.27
"Oct",17.83,17.47,18.32,18.88,18.84,18.36,19.25,18.86,18.7,18.59,17.9,17.82,18.45,18.01,18.15,19.22,18.53,17.6,18.22,18.89,19.61,17.89,17.93,17.64,18.17,18.14,18.51,18.36,18.45,17.64,17.94,17.62,17.29,18.02,18.06,17.82,18.53,17.24,18.29,17.21,18.01,17.95,17.89,18.35,18.43,17.98,17.7,17.49,17.57,17.84,17.89,17.7,17.86,18.46,18.17,17.9,17.44,17.6,17.82,18.64,18.47,18.28,18.47,18.88,18.34,18.71,17.56,17.99,17.41,17.76,18,17.81,17.65
